"PSA_1","PSA_2","Article","Web Description","Brand","Colour","Pack Qty","Washable","Age","DQ Score"
"TOY","ACT","448256","Grossery Gang 10pk Assortment","Grossery Gang","Multi","1",NA,"5 Years +",0.891666666666667
"TOY","ACT","448257","Grossery Gang Surprise Blind Bag","Grossery Gang","Multi","1",NA,"5 Years +",0.891666666666667
"TOY","ACT","448258","Grossery Gang Assortment 5pk","Grossery Gang","Multi","1",NA,"5 Years +",0.891666666666667
"TOY","ACT","332872","Turtles Mix and Match Action Figures Assortment","Teenage Mutant Ninja Turtles","Multi","1",NA,"3 Years +",0.891666666666667
"TOY","ACT","428326","Turtles Half-Shell Heroes Figure 2pk Assortment","Teenage Mutant Ninja Turtles","Multi","2",NA,"3 Years +",0.891666666666667
"TOY","FAN","428006","Shopkins 5pk","Shopkins","Multi","5","Wipe Clean Only","5 Years +",0.9
"TOY","FAN","428007","Shopkins Deluxe Pack Asst","Shopkins","Multi","1","Wipe Clean Only","5 Years +",0.95
"TOY","FAN","428008","Shopkins Shoppies Doll Asst","Shopkins","Multi","1","Wipe Clean Only","5 Years +",0.95
"TOY","FAN","448259","Shopkins 12pk","Shopkins","Multi","1",NA,"5 Years +",0.9
"TOY","POC","409218","Shopkins Basket Collectable Characters 2pk","Shopkins",NA,"2 Pack",NA,"5+",0.883333333333333
"TOY","PRE","448264","Plasticine Tool Kit","Plasticine","Multi","1",NA,"5 Years +",0.941666666666667
"TOY","PRE","438912","Stickle Bricks Beginners Box","Stickle Bricks",NA,"1",NA,"3Y+",0.883333333333333
