"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","DQ Score"
"PET","CAT","431491","Wilko Cat Toy Tunnel","Wilko","24cm high, 20.5cm high, 36cm long",NA,"1",NA,"No",NA,0.65
"PET","CAT","431493","Wilko Laser Mouse Cat Toy","Wilko","6.5cm long, 3cm wide, 2.1cm deep",NA,"1",NA,NA,NA,0.93
"PET","CAT","453027","Wilko Cat Treat Catnip Drops 75g","Wilko","75g",NA,"1",NA,NA,NA,1
"PET","CAT","9531040","Wilko Cat Bowl Assorted Colours Small","Wilko Functional","16.5cm x 16.5cm x 3.5cm","Multi","1",NA,NA,NA,0.95
"PET","DOM","70477","Wilko Caged Bird Sand Sheets 5pk 28 x 43cm","Wilko","43x28cm",NA,"5",NA,NA,NA,1
"PET","GEN","350230","Dog Toy Plush No Stuffing","Raggy",NA,NA,"1",NA,NA,NA,0.81
"PET","GEN","412376","Wilko Raggy Animal Dog Toy","Wilko",NA,NA,"1",NA,NA,NA,0.86
"PET","GEN","439389","Wilko Gnaw a Bone Dog Toy Medium","Wilko","3cm x 16cm","Yellow","1",NA,NA,NA,1
"PET","GEN","439392","Wilko Hug Tug Dog Toy Large","Wilko","Large",NA,"1","TPR","No",NA,0.65
"PET","GEN","439398","Wilko Knitted Dog Toy","Wilko","34cm","Multi","1","Plush","No","Hand Wash Only",0.65
"PET","GEN","439400","Wilko Chewies Assorted Dog Toy","Wilko",NA,"Multi","1","TPR","No","Hand Wash Only",0.65
"PET","GEN","439402","Wilko Giant Rope Tug 1m Dog Toy","Wilko","1m","Multi","1",NA,NA,NA,1
"PET","GEN","439403","Wilko Figure 8 Rope Tugger Dog Toy","Wilko",NA,"Multi","1","Rope","No","Hand Wash Only",0.65
"PET","GEN","439404","Wilko Character Tug Dog Toy","Wilko",NA,"Multi","1","Plush","No","Hand Wash Only",0.65
"PET","GEN","453413","Wilko Furry Face Ball Dog Toy","Wilko","10cm x 11cm x 11cm",NA,"1",NA,NA,NA,0.93
"PET","GEN","453414","Wilko 5 Ring Chain Dog Toy","Wilko","2cm x 15cm x 58cm",NA,"1",NA,NA,NA,0.93
"PET","GEN","453923","Wilko Chewy Character Dog Toy","Wilko","15cm x 5.5cm x 5.5cm",NA,"1",NA,NA,NA,0.93
"PET","GEN","453924","Wilko Spikey Hedgehog Dog Toy","Wilko","19cm x 12cm x 12cm",NA,"1",NA,NA,NA,0.93
"PET","GEN","455418","Wilko Moppy Balls","Wilko","Moppy Ball - 14cm x 14cm x 12cm",NA,"1",NA,NA,NA,1
"PET","GEN","455419","Wilko Squeaky Toy Assorted","Wilko","Squeaky TPR 16cm x 6cm x 6cm",NA,"1",NA,NA,NA,0.93
"PET","GEN","455420","Wilko Thread Toy Assorted","Wilko","Threads Rope 55cm x 4cm x 4cm",NA,"1",NA,NA,NA,0.93
"PET","GEN","9531640","Wilko Double Plastic Dog Dinner Assorted Small","Wilko","24.8cm x 13.4cm x 48cm","Multi","1","Plastic",NA,NA,0.95
"PET","GEN","70441","Wilko Round Plastic Dog Dinner Bowl Assorted Large","Wilko Functional",NA,NA,NA,NA,NA,NA,0.95
"PET","LIT","9532740","Wilko Cat Litter Tray Assorted Colours Large","Wilko","40cm x 30cm x 10cm",NA,"1",NA,NA,NA,0.93
"PET","SMA","418776","Wilko Small Animal Treats Chocolate Drops","Wilko","75g",NA,"1",NA,NA,NA,1
"PET","SMA","418779","Wilko Small Animal Treats Berry Drop","Wilko","75g",NA,"1",NA,NA,NA,1
"PET","SMA","433696","Wilko Small Animal Treats Apple Drop 75g","Wilko",NA,NA,"1",NA,NA,NA,0.9125
"PET","SPC","43114","Good Boy Christmas Dog Stocking","Good Boy",NA,NA,NA,NA,"No",NA,0.65
"PET","SPC","440835","Wilko Moppy Balls Dog Toy","Wilko","180mm",NA,"1",NA,"No",NA,0.65
"PET","SPC","440838","Wilko Christmas Dog Toy Premium Assorted","Wilko",NA,NA,"1",NA,"No",NA,0.65
"PET","SPC","441355","Wilko Christmas Dog Treat Merry Woofmas Gift Card","Wilko",NA,NA,"1",NA,"No",NA,0.65
"PET","TRT","278057","Good Boy Pigs Ears 2pk","Good Boy","2 x Whole Pigs Ears",NA,"2",NA,NA,NA,1
"PET","TRT","431480","Wilko Dog Treat Rawhide Braid Small 55g","Wilko","55G",NA,"1",NA,NA,NA,1
"PET","TRT","431481","Wilko Dog Treats Chicken or Vegetable Assortment","Wilko",NA,NA,NA,NA,NA,NA,0.825
"PET","TRT","453025","Wilko Veg Twist Dog Treat","Wilko","2cm x 2cm x 30cm",NA,"1",NA,NA,NA,1
"PET","TRT","453026","Wilko Large Chewy Braid Dog Treat","Wilko","7cm x 2cm x 30cm",NA,"1",NA,NA,NA,1
"PET","TRT","453028","Wilko Dog Treat Cheesy Drops 200g","Wilko","6cm x 11cm x 20cm",NA,"1",NA,NA,NA,1
"PET","TRT","453029","Wilko Dog Treat Chicken Drops 200g","Wilko","6cm x 11cm x 20cm",NA,"1",NA,NA,NA,1
"PET","TRT","9522045","Wilko Dog Treats Choc Drops 250g","Wilko","250g",NA,"1",NA,NA,NA,1
