"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Power","Capacity","Coverage","Model Number","DQ Score"
"DEC","WAL","439115","Graham and Brown Wallpaper Vinyl Flamenco Charcoal/Silver","Graham & Brown","10m x 0.52m","Black","1","Paper","Yes",NA,NA,"5.2m²","101409",0.6
"DEC","WAL","439118","Graham and Brown Wallpaper Vinyl Flamenco Taupe/Champagne","Graham & Brown","10m x 0.52m","Brown","1","Paper",NA,NA,NA,"5.2m²",NA,0.95
"DEC","WAL","439125","Graham and Brown Wallpaper Vinyl Moonstone Chocolate/Copper","Graham & Brown","10m x 0.52m","Brown","1","Paper",NA,NA,NA,"5.2m²",NA,0.95
"DEC","WAL","439128","Graham and Brown Wallpaper Vinyl Opal Damask White/Silver","Graham & Brown","10m x 0.52m","Cream","1","Paper",NA,NA,NA,"5.2m²",NA,0.95
"DEC","WAL","439135","Graham and Brown Wallpaper Vinyl Tango White/Silver","Graham & Brown","10m x 0.52m","Cream","1","Paper",NA,NA,NA,"5.2m²",NA,0.95
"DEC","WAL","439138","Graham and Brown Wallpaper Vinyl Twist Ivory/Gold","Graham & Brown","10m x 0.52m","Cream","1","Paper",NA,NA,NA,"5.2m²",NA,0.95
"DEC","WAL","413897","Marvel Superheroes Wallpaper Comic Cover","Marvel","10m x 0.52m","Multi","1","Paper","No",NA,NA,"5.2m²","70-238",0.65
"DEC","WAL","1924740","Superfresco Wallpaper Baroque White 33605","Superfresco","10m x 0.52m","White",NA,NA,NA,NA,NA,"5.2m²",NA,0.9
"DEC","WAL","207925","Superfresco Wallpaper Textured Vinyl White 284","Superfresco","10m x 0.52m","White","1",NA,NA,NA,NA,"5.2m²",NA,0.95
"DEC","WAL","221315","Superfresco Wallpaper Textured Vinyl White 70074","Superfresco","10m x 0.52m","White",NA,NA,NA,NA,NA,"5.2m²",NA,0.9
"DEC","WAL","251726","Superfresco Wallpaper Hessian Textured Vinyl White16134","Superfresco","10m x 0.52m","White",NA,NA,NA,NA,NA,"5.2m²",NA,0.9
"DEC","WAL","263635","Superfresco Wallpaper Ribbed Textured Paintable White 17775","Superfresco","10m x 0.52m","White","1",NA,NA,NA,NA,"5.2m²",NA,0.95
"DEC","WAL","277206","Superfresco Wallpaper Colours Java Textured VinylChocolate 18942","Superfresco","10m x 0.52m","Brown","1",NA,"No",NA,NA,"5.2m²","18942",0.65
"DEC","WAL","290011","Superfresco Wallpaper Cherry Blossom White","Superfresco","10m x 0.52m","White","1",NA,"No",NA,NA,"5.2m²","19887",0.65
"DEC","WAL","315290","Superfresco Wallpaper Brick Textured Vinyl White93744","Superfresco","10m x 0.52m","White","1",NA,NA,NA,NA,"5.2m²",NA,0.95
"DEC","WAL","315291","Superfresco Wallpaper Pure Textured Vinyl White 10-014","Superfresco","10m x 0.52m","White","1",NA,NA,NA,NA,"5.2m²",NA,0.95
"DEC","WAL","332106","Superfresco Reed Wallcovering Green 20-375","Superfresco","10m x 0.52m","Green","1",NA,"No",NA,NA,"5.2m²",NA,0.65
"DEC","WAL","344141","Superfresco White Wallpaper","Superfresco","10m x 0.52m","White",NA,NA,NA,NA,NA,"5.2m²",NA,0.9
"DEC","WAL","405410","Superfresco Wallpaper Black Floral 23307","Superfresco","10m x 0.52m","Black","1",NA,"No",NA,NA,"5.2m²",NA,0.65
"DEC","WAL","413894","Superfresco Wallpaper Cherry Blossom Plum","Superfresco","10m x 0.52m","Purple","1","Paper","No",NA,NA,"5.2m²","20-788",0.65
"DEC","WAL","424012","Superfresco Easy Wallpaper Prairie Charcoal Grey","Superfresco","10m x 0.52m","Grey","1","Paper",NA,NA,NA,"5.2m2",NA,1
"DEC","WAL","424151","Superfresco Colours Wallpaper Apollo Duck Egg","Superfresco","10m x 0.52m",NA,"1","Paper",NA,NA,NA,"5.2m²",NA,0.95
"DEC","WAL","424152","Superfresco Colours Wallpaper Aurora Gold/Beige","Superfresco","10m x 0.52m",NA,"1","Paper",NA,NA,NA,"5.2m²",NA,0.95
"DEC","WAL","424158","Superfresco Colours Wallpaper Aurora Red/Gold","Superfresco","10m x 0.52m",NA,"1","Paper",NA,NA,NA,"5.2m²",NA,0.95
"DEC","WAL","424159","Superfresco Colours Wallpaper Ariadne Beige/Gold","Superfresco","10m x 0.52m",NA,"1","Paper",NA,NA,NA,"5.2m²",NA,0.95
"DEC","WAL","424160","Superfresco Colours Wallpaper Ariadne Black/Grey","Superfresco","10m x 0.52m",NA,"1","Paper","No",NA,NA,"5.2m²","20-715",0.65
"DEC","WAL","424196","Superresco Colours Wallpaper Aurora Green","Superfresco","10m x 0.52m",NA,"1","Paper",NA,NA,NA,"5.2m²",NA,0.9
"DEC","WAL","424259","Superfresco Easy Wallpaper Nature Trail White andGrey Mica","Superfresco","10m x 0.52m","Grey","1","Paper","No",NA,NA,"5.2m²","33-008",0.65
"DEC","WAL","436877","Superfresco Wallpaper Aria Neutral","Superfresco","10m x 0.52m","Cream","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","436882","Superfresco Wallpaper Milan Taupe","Superfresco","10m x 0.52m","Gold","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","436884","Superfresco Wallpaper Milan Silver","Superfresco","10m x 0.52m","Silver","1","Paper","No",NA,NA,"5.2m²","100491",0.65
"DEC","WAL","436888","Superfresco Wallpaper Matrix Taupe","Superfresco","10m x 0.52m","Brown","1","Paper",NA,NA,NA,"5.2m²",NA,1
