"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","DQ Score"
"DIY","DOO","343219","Wilko Flat Dimpled Handle Chrome 120mm","Wilko","96mm","Metal",NA,NA,0.883333333333333
"DIY","DOO","343220","Wilko Dimple Handle Satin Effect 120mm","Wilko","96mm","Red",NA,NA,0.883333333333333
"DIY","DOO","343318","Wilko T Bar Style Handle Chrome 190mm","Wilko","190mm","Metal",NA,NA,0.883333333333333
"DIY","DOO","343319","Wilko T Bar Style Handle Chrome 233mm","Wilko","233mm","Metal","1",NA,0.941666666666667
"DIY","DOO","343458","Wilko T Bar Style Handle Chrome 150mm","Wilko","96mm","Metal",NA,NA,0.883333333333333
"DIY","DOO","343504","Wilko T Bar Handle Satin 233mm","Wilko","160mm","Metal",NA,NA,0.883333333333333
"DIY","DOO","343505","Wilko T Bar Handle satin 190mm","Wilko","158mm",NA,"1",NA,0.883333333333333
"DIY","DOO","343506","Wilko T Bar Style Handle Satin 150mm","Wilko","96mm",NA,NA,NA,0.825
"DIY","DOO","343509","Wilko Dimpled Knob Chrome  Effect 28mm","Wilko","28mm","Metal","1","Metal",1
"DIY","DOO","343510","Wilko Dimpled Knob Satin 28mm","Wilko","28mm","Red",NA,NA,0.883333333333333
"DIY","DOO","343511","Wilko Pumpkin Style Knob 30mm","Wilko","30mm",NA,"1",NA,0.883333333333333
"DIY","DOO","343512","Wilko Pumpkin Style Knob 40mm","Wilko","40mm",NA,NA,NA,0.825
"DIY","DOO","343513","Wilko Round Knob Bright Chrome 25mm","Wilko","25mm",NA,"1","Zinc",0.941666666666667
"DIY","DOO","343514","Wilko Round Knob  Ceramic Cracked 40mm","Wilko","40mm",NA,"1",NA,0.883333333333333
"DIY","DOO","343515","Wilko Round Antique Brass Effect Metal Knob 25mm","Wilko","25mm","Wood",NA,NA,0.883333333333333
"DIY","DOO","343516","Wilko Round Knob Glass Crystal 30mm","Wilko","30mm",NA,NA,NA,0.825
"DIY","DOO","343517","Wilko Round Knob Glass Crystal 40mm","Wilko","40mm",NA,NA,NA,0.825
"DIY","DOO","343521","Wilko Knob Brass Victorian 32mm","Wilko","32mm","Metal","1",NA,0.941666666666667
"DIY","DOO","343524","Wilko Door Knob Satin Victorian 32mm","Wilko","32mm","Red",NA,NA,0.883333333333333
"DIY","DOO","343525","Wilko Fleur Handle Black 175mm","Wilko","175mm","Metal",NA,NA,0.883333333333333
"DIY","DOO","343526","Wilko D Sash Type Handle 100mm","Wilko","100mm",NA,"1",NA,0.883333333333333
"DIY","DOO","343527","Wilko Door Handle Bright Chrome 155mm","Wilko","128mm","Metal",NA,NA,0.883333333333333
"DIY","DOO","343553","Wilko Dimpled Handle Satin 155mm","Wilko","128mm",NA,NA,NA,0.825
"DIY","DOO","343554","Wilko Fleur Handle 100mm","Wilko","100mm",NA,NA,NA,0.825
"DIY","DOO","343558","Wilko Knob Brass Victorian 25mm","Wilko","25mm","Metal","1",NA,0.941666666666667
"DIY","DOO","343563","Wilko Knob Brass Victorian 38mm","Wilko","38mm","Metal",NA,NA,0.883333333333333
"DIY","DOO","343670","Wilko Glide Bolt Brass  4in","Wilko","4in",NA,"1","Brass",0.941666666666667
"DIY","DOO","343672","Wilko Glide Bolt Chrome 4in","Wilko","4in",NA,"1","Brass",0.941666666666667
"DIY","DOO","343690","Wilko Bow Handle Satin 150mm","Wilko","150mm",NA,NA,NA,0.825
"DIY","DOO","343691","Wilko Bo Handle Matt   Nickel 96mm","Wilko","105mm",NA,NA,NA,0.825
"DIY","DOO","343694","Wilko Door Knob Chrome  Button 25mm","Wilko","25mm","Metal","1",NA,0.941666666666667
"DIY","DOO","343695","Wilko Door Knob Chrome Button 38mm","Wilko","38mm","Metal",NA,NA,0.883333333333333
"DIY","DOO","343696","Wilko Door Knob Chrome  Button 32mm","Wilko","32mm","Metal","1",NA,0.941666666666667
"DIY","DOO","343697","Wilko Door Knob Brass   Georgian 25mm","Wilko","25mm","Metal","1",NA,0.941666666666667
"DIY","DOO","343698","Wilko Door Knob Brass   Georgian 38mm","Wilko","38mm","Metal",NA,NA,0.883333333333333
"DIY","DOO","343699","Wilko Door Knob Brass   Georgian 32mm","Wilko","32mm","Metal",NA,NA,0.883333333333333
"DIY","DOO","343700","Wilko Door Knob Satin   Button 25mm","Wilko","25mm","Red",NA,NA,0.883333333333333
"DIY","DOO","343701","Wilko Door Knob Satin   Button 38mm","Wilko","38mm","Red",NA,NA,0.883333333333333
"DIY","DOO","343933","Wilko Paris Round Rose Chrome","Wilko","2 Pack",NA,"1",NA,0.883333333333333
"DIY","DOO","343934","Wilko Paris Latch Satin Nickel","Wilko","15.5x4.5cm",NA,NA,NA,0.825
"DIY","DOO","343936","Wilko Paris Round Rose Satin Nickel","Wilko","2 Pack",NA,"1",NA,0.883333333333333
"DIY","DOO","343939","Wilko Seville     Latch Satin Nickel","Wilko","2 Pack",NA,"1",NA,0.883333333333333
"DIY","DOO","343992","Wilko Seville Lock Satin Nickel","Wilko","2 Pack",NA,"1",NA,0.883333333333333
"DIY","DOO","343993","Wilko Versailles Latch Chrome Effect","Wilko","2 Pack",NA,NA,NA,0.825
"DIY","DOO","343994","Wilko Versailles Lock Chrome Effect","Wilko","2 Pack",NA,"1",NA,0.883333333333333
"DIY","DOO","343995","Wilko Versailles Round  Rose Chrome Door Handle","Wilko","1 Pack",NA,NA,NA,0.825
