"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Age","DQ Score"
"SBK","KFL","440094","Teenage Mutant Ninja Turtles 10 Colour Pen","Nickelodeon","25.5 x 3 x 3cm","Green","1",NA,0.95
"SBK","KFL","440095","Turtles PVC Barrel Pencil Case","Nickelodeon","8 x 20 x 8cm","Green","1",NA,0.95
"SBK","KFL","440096","Turtles Mini Erasers 12pk","Teenage Mutant Ninja Turtles","3 x 3.5cm","Green","12",NA,0.95
"SBK","KFL","440097","Turtles Pop Up Pencils 4pk","Teenage Mutant Ninja Turtles","20 x 20 x 0.6cm","Multi","4",NA,0.95
"SBK","KFL","440098","Turtles Pencils and Toppers 3pk","Teenage Mutant Ninja Turtles","21 x 1.3 x 1.3cm","Green","3",NA,0.95
"SBK","KFL","440099","Turtles A5 Hardback Spiral Notebook","Teenage Mutant Ninja Turtles","A5","Multi","1",NA,0.95
"SBK","KFL","440100","Turtles Stationery Set Ball Pen 5pcs","Teenage Mutant Ninja Turtles","Stationery Set","Multi","5",NA,0.95
"SBK","KID","448879","Disney Princess Complete Art Case","Disney","Assorted Sizes","Pink","1",NA,1
"SBK","KID","449340","Disney Princess Bumper Stationery Set","Disney",NA,"Pink","1",NA,0.93
"SBK","KID","449341","Disney Princess Colour Your Own Totebag","Disney",NA,"Pink","1","3+ Years",1
"SBK","KID","448874","Paw Patrol Carry Along Art Case","Paw Patrol",NA,"Blue","1","3+ Years",1
"SBK","KID","448876","Paw Patrol Complete Art Case","Paw Patrol",NA,"Blue","1","3+ Years",1
"SBK","KID","449338","Paw Patrol Colour Your Own Backpack","Paw Patrol",NA,"Blue","1","3+ Years",1
"SBK","KID","449339","Paw Patrol Bumper Colouring Set","Paw Patrol",NA,"Blue","1","3+ Years",1
