"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Power","DQ Score"
"HOM","LIG","239442","Wilko Monsoon Light Fitting Ceiling Silver NickelEffect 5 Light","Wilko","Single","Silver",NA,"Yes",NA,0.9
"HOM","LIG","326070","Wilko 3 Arm Dome Spotlight Ceiling Light Silver","Wilko","Single","Silver",NA,"Yes",NA,0.9
"HOM","LIG","326072","Wilko Spotlight Ceiling Light Silver","Wilko","Single","Silver",NA,"Yes",NA,0.9
"HOM","LIG","326077","Wilko Ceiling Light Fitting 3 Arm Chrome","Wilko","Single","Silver",NA,"Yes","Mains",0.95
"HOM","LIG","326380","Wilko Ceiling Light Fitting Chrome","Wilko","Single","Metal",NA,"Yes",NA,0.9
"HOM","LIG","436635","Wilko 3 Arm Fitting Chrome","Wilko",NA,NA,"1","No",NA,0.85
"HOM","LIG","436636","Wilko 3 Arm Fitting Antique Brass","Wilko",NA,NA,"1","No",NA,0.85
"HOM","LIG","436637","Wilko 5 Arm Fitting Chrome","Wilko",NA,NA,"1","No",NA,0.85
"HOM","LIG","436638","Wilko 5 Arm Fitting Antique Brass","Wilko",NA,NA,"120cm x 170cm","No",NA,0.85
"HOM","LIG","436639","Wilko Large Glass Industrial Pendant Pewter","Wilko",NA,NA,"1","No",NA,0.85
"HOM","LIG","436640","Wilko Triple Glass Industrial Pendant Pewter","Wilko",NA,NA,"1","No",NA,0.85
"HOM","LIG","456317","Wilko Table Lamp Industrial","Wilko",NA,NA,"1","No",NA,0.85
