"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Material","Assembly","DQ Score"
"PET","DOM","183174","Wilko Budgie Treats Exotic Fruits 2pk","Boredom Breaker","55g","2",NA,NA,0.95
"PET","DOM","150101","Wilko Parakeet and Cockatiel Seed 1kg","Wilko","1kg",NA,NA,NA,0.9125
"PET","DOM","152450","Wilko Canary Seed 1kg","Wilko","1kg",NA,NA,NA,0.9125
"PET","DOM","183388","Wilko Parrots and Cockatiels Nut Treats 2pk","Wilko","90g","2",NA,NA,1
"PET","DOM","303731","Wilko Parrot Seed 1.5kg","Wilko","1.5kg","1",NA,NA,1
"PET","DOM","450772","Wilko Aviary Mix for Caged Birds 12.75kg","Wilko","12.75kg","1",NA,NA,1
"PET","DOM","450773","Wilko Conditioning Mix for Caged Birds 900g","Wilko","900g","1",NA,NA,1
"PET","DOM","450774","Wilko Finch Mix for Caged Birds 1kg","Wilko","1kg","1",NA,NA,1
"PET","DOM","70472","Wilko Budgie Seed 1kg","Wilko","1kg",NA,NA,NA,0.9125
"PET","DOM","76333","Wilko Caged Bird Sand 1kg","Wilko","1kg","1",NA,NA,1
"PET","DOM","76334","Wilko Caged Bird Grit 1kg","Wilko","1kg",NA,NA,NA,0.9125
"PET","DOM","80620","Wilko Budgie Treats Honey 2pk","Wilko","55g","2",NA,NA,1
"PET","DOM","80621","Wilko Canary Treats Honey 2pk","Wilko","55g","2",NA,NA,1
"PET","DOM","9525840","Wilko Caged Bird Millet Spray 3pk","Wilko",NA,"3",NA,NA,0.9125
"PET","SMA","149600","Wilko Small Animal Fruity Stick Treats forRabbits and Guinea Pigs 2pk","Wilko","50g","2",NA,NA,1
"PET","SMA","150084","Wilko Small Animal Carrot Bar Treat","Wilko",NA,"1",NA,NA,0.9125
"PET","SMA","150085","Wilko Small Animal Treat Nut and Berry Bar ForHamsters","Wilko",NA,"1",NA,NA,0.9125
"PET","SMA","150088","Wilko Rabbit and Guinea Pig Apple Bar","Wilko",NA,"1",NA,NA,0.9125
"PET","SMA","183096","Wilko Rabbits and Guinea Pig Treats Honey Sticks2pk","Wilko","80g",NA,NA,NA,0.9125
"PET","SMA","436452","Wilko Small Animal Snack Bowl Treat 180g","Wilko",NA,"1","Seeds and Grains","No",0.65
"PET","SMA","80646","Wilko Small Animal Treats Fruity Sticks 2pk","Wilko","80g",NA,NA,NA,0.9125
"PET","WIL","195071","Wilko Wild Bird Seed Block","Wilko",NA,"1",NA,NA,0.9125
"PET","WIL","229003","Wilko Wild Bird Suet with Mealworm 300g","Wilko","300g",NA,NA,NA,0.9125
"PET","WIL","249527","Wilko Wild Bird Suet with insect 300g","Wilko","300g","1",NA,NA,1
"PET","WIL","249528","Wilko Wild Bird Suet with Fruit Mix 300g","Wilko","300g",NA,NA,NA,0.9125
"PET","WIL","301032","Wilko Wild Bird Seed 12.75kg","Wilko","12.75kg","1",NA,NA,1
"PET","WIL","303756","Wilko Wild Bird Finch Special Mix Seed 900g","Wilko","900g","1",NA,NA,1
"PET","WIL","303757","Wilko Wild Bird Special Mix Seed for Small Birds900g","Wilko","900g","1",NA,NA,1
"PET","WIL","407642","Wilko Wild Bird Seed 5kg","Wilko","5kg","1",NA,NA,1
"PET","WIL","81426","Wilko Wild Bird Seed 2kg","Wilko","2kg","1",NA,NA,1
