"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","DQ Score"
"HOM","DIN","p200042","Brompton Dining Set 3 Piece Walnut","Brompton","T 74x75x75cm, C 96x41.5x57cm","Wood",NA,"Chair - Faux Leather","Yes",1
"HOM","DIN","420757","Lisbon Chair Beige Pair","Wilko",NA,NA,NA,NA,NA,0.95
"HOM","DIN","420758","Lisbon Chair Grey  Pair","Wilko",NA,NA,NA,NA,NA,0.95
"HOM","DIN","421545","Oakhurst Dining Set with 4 Black Faux LeatherChairs","Wilko",NA,NA,NA,"MDF with melamine, rubber wood legs","Yes",0.833333333333333
"HOM","FUR","p200120","Boston-Lyon Wardrobe White and Ash 2 Door","Boston-Lyon",NA,"Wood",NA,"Ash Veneer Top and Plywood","Yes",0.941666666666667
"HOM","FUR","p200121","Boston-Lyon Wardrobe White + Ash 3 Door","Boston-Lyon",NA,"Wood",NA,"Ash Veneer Top and Plywood","Yes",0.941666666666667
"HOM","FUR","p200123","Boston-Lyon 3 + 2 Drawer Chest White And  Ash","Boston-Lyon",NA,"Wood",NA,"Ash Veneer Top and Plywood","Yes",0.941666666666667
"HOM","FUR","p200125","Boston-Lyon 3 Drawer Chest White + Ash","Boston-Lyon",NA,"Wood",NA,"Ash Veneer Top and Plywood","Yes",0.941666666666667
"HOM","FUR","420761","Diamante Single Bed Frame Black","Diamante",NA,NA,NA,NA,NA,1
"HOM","FUR","420762","Diamante Double Bed Frame White","Diamante",NA,NA,NA,NA,NA,1
"HOM","FUR","420763","Diamante Double Bed Frame Black","Diamante",NA,NA,NA,NA,NA,1
"HOM","FUR","420764","Diamante Kingsize Bed Frame White","Diamante","2115 x 1600 x 995",NA,NA,"FAUX LEATHER","Yes",0.941666666666667
"HOM","FUR","420765","Diamante Kingsize Bed Frame Black","Diamante","2115 x 1600 x 995",NA,NA,"FAUX LEATHER","Yes",0.941666666666667
"HOM","FUR","p100139","Florence Double Bed White","Florence",NA,NA,NA,NA,NA,1
"HOM","FUR","p100141","Florence Double Bed Black","Florence",NA,NA,NA,NA,NA,1
"HOM","FUR","p100124","Boston-Lyon Bedside Chest 2 Drawers","Lyon",NA,"Wood",NA,"Ash Veneer Top and Plywood","Yes",0.941666666666667
"HOM","FUR","p200122","Boston-Lyon Wardrobe White + Ash 1 Door","Lyon",NA,"Wood",NA,"Ash Veneer Top and Plywood","Yes",0.941666666666667
"HOM","FUR","p100126","Boston-Lyon Bed Single","New Boston","Single","Wood",NA,"Ash Veneer","Yes",0.95
"HOM","FUR","p100128","Boston-Lyon Bed Kingsize","New Boston","Kingsize","Wood",NA,"Ash Veneer","Yes",0.95
"HOM","FUR","p200020","Oakridge 3 + 2 Drawer Chest","Oakleigh","5 Drawer","Wood",NA,"Oak Finish","Yes",0.95
"HOM","FUR","p200036","Oakridge 2 Door Wardrobe","Oakleigh",NA,"Wood",NA,"Oak Finish","Yes",0.891666666666667
"HOM","FUR","p200017","Soho Dining Set Oak","Soho","T 75cm, C 85x47x51cm","Wood",NA,"Oak Veneer","Yes",1
"HOM","FUR","p200018","Soho Dining Set White","Soho","T 75cm, C 85x47x51cm","White",NA,"Wood","Yes",1
"HOM","FUR","p200147","Vogue Sofa White","Vogue","B 39x110x185cm, S 93x55x185cm","White",NA,"Faux Leather","Yes",0.95
"HOM","FUR","420737","Wilko Scandinavia Ladder Bookcase Oak","Wilko","1754x640x386mm",NA,"1","PARTICAL BOARD","Yes",0.9125
"HOM","FUR","420738","Wilko Scandinavia Ladder Corner Unit Oak","Wilko","1754x386x386mm",NA,"1","PARTICAL BOARD","Yes",0.9125
"HOM","FUR","420739","Wilko Scandinavia Ladder Desk Oak","Wilko","1754x840x500mm",NA,NA,"PARTICAL BOARD","Yes",0.941666666666667
"HOM","FUR","420740","Wilko Scandinavia Ladder TV Unit Oak","Wilko",NA,NA,NA,NA,"No",0.825
"HOM","FUR","420741","Wilko Scandinavia Ladder Bookcase White","Wilko",NA,NA,NA,NA,"No",0.78125
"HOM","FUR","420742","Wilko Scandinavia Ladder Corner Unit White","Wilko",NA,NA,NA,NA,"No",0.78125
"HOM","FUR","420744","Wilko Scandinavia Ladder TV Unit White","Wilko","1754 x 640 x 386mm",NA,NA,"PARTICAL BOARD","Yes",0.941666666666667
"HOM","FUR","p100156","Havana Bedside Cabinet","Wilko",NA,"Wood",NA,"Pine","Yes",0.891666666666667
"HOM","FUR","p100157","Havana 5 Drawer Chest","Wilko","5Drawer","Wood",NA,"Pine","Yes",0.95
"HOM","FUR","p200154","Havana Double Wardrobe","Wilko","2Door","Wood",NA,"Pine","Yes",0.95
