"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Capacity","DQ Score"
"KIT","FIL","284142","Aqua Optima Cartridges 3pk","Aqua Optima","3 Pack","White","1",NA,0.941666666666667
"KIT","FIL","196657","Wilko Universal Water Filter Cartridges 3pk","Wilko","3 Pack","White","1",NA,0.941666666666667
"KIT","FIL","238284","Wilko Filter Jug Capacity 2.4L","Wilko","2.4L","Clear","1","2.4L",1
"KIT","FIL","301859","Wilko Aqua Advanced Filter Jug 1.5L","Wilko","1.5L","Clear","1","1.5L",1
"KIT","FIL","301907","Wilko Aqua Advanced Water Filter Cartridge 30 Days","Wilko","1 Pack","Clear","1",NA,0.941666666666667
"KIT","FIL","302071","Wilko Aqua Advanced Water Filter Cartridges 30Days 3 Pack","Wilko","3 Pack","White","1",NA,0.941666666666667
"KIT","FIL","3176840","Wilko Universal Water Filter Cartridge","Wilko","1 Pack","White","1",NA,0.941666666666667
"KIT","FIL","318397","Wilko AquaAdvanced Water Filter Cartridges 30 Days6pk","Wilko","6 Pack",NA,"1",NA,0.883333333333333
"KIT","FIL","318398","Wilko AquaAdvanced Water Filter Cartridges 60 Days4pk","Wilko","4 Pack","White","4pk",NA,0.941666666666667
