"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","DQ Score"
"PET","CAT","314381","Pet Qwerks Cat Toy Kitty Incredibubbles","Pet Qwerks","141g",NA,"1",NA,0.93
"PET","GEN","255840","Flexi Tape Retractable Leash Standard Large 5m/16ft","Flexi","5m",NA,"1",NA,0.93
"PET","GEN","255841","Flexi Standard 2 Cord Retractable Leash Medium 5m/16ft Assorted","Flexi","5m",NA,"1",NA,0.93
"PET","GEN","255842","Flexi Cord Retractable Leash Standard Small5m/16ft Assorted","Flexi","5m","Multi","1",NA,1
"PET","GEN","303588","Talking Babble Ball Medium","James & Steel","Medium",NA,"1",NA,0.88
"PET","GEN","313697","Dog Toy Plush Pheasant","James & Steel","31 x 13 x 12cm",NA,"1",NA,0.88
"PET","GEN","303587","Pet Qwerks, Inc. Doggy IncrediBubbles Peach Flavored","Pet Qwerks",NA,NA,"1",NA,0.9125
"PET","GEN","245625","Pet Inc Tennis Ball on Rope Dog Toy Assorted","Wilko",NA,NA,"1","No",0.6
"PET","GEN","255754","Wilko Interact Knotted Dog Toy Assorted","Wilko",NA,NA,NA,NA,0.79
"PET","GEN","303608","Wilko Dog Seat Belt 12-24in","Wilko","12-24in",NA,"1",NA,0.93
"PET","GEN","350252","Thermoplastic Rubber Dog Treat Bone Large","Wilko","Large",NA,NA,"No",0.6
"PET","GEN","350299","Wilko Dog Plush Bobble Animals","Wilko","31 x 21 x 14cm",NA,"1",NA,0.93
"PET","GEN","454018","Wilko Wild Animal Dog Toy","Wilko","1 Toy",NA,"1",NA,0.93
"PET","GEN","454019","Wilko Tough Bone Dog Toy","Wilko","1 Toy",NA,"1",NA,0.93
"PET","TRT","454020","Scooby Snacks Dog Treat Adult","Scooby Doo","100g",NA,"1",NA,0.95
"PET","TRT","454021","Scooby Snacks Dog Treat Puppy","Scooby Doo","100g",NA,"1",NA,0.95
"PET","TRT","454022","Scooby Doo Activity Ball","Scooby Doo","Small",NA,"1",NA,1
