"PSA_1","PSA_2","Article","Web Description","Brand","Pack Qty","Assembly","DQ Score"
"FOO","XMS","444673","Classic Kitchen Strawberry White Choc Muffin","Wilko","1","No",0.6
"FOO","XMS","444674","Classic Kitchen Raspberry and Chocolate Muffin","Wilko","1","No",0.6
"FOO","XMS","444675","Classic Kitchen Strawberry Chocolate Brownie","Wilko","1","No",0.6
"FOO","XMS","444676","Classic Kitchen Raspberry and White ChocolateBrownie","Wilko","1","No",0.6
"FOO","XMS","444677","Classic Kitchen Trip Choc Shortbread","Wilko","1","No",0.6
"TOI","SMO","254601","Crafe Away Mini Filters 10pk","Crafe Away",NA,NA,1
