"PSA_1","PSA_2","Article","Web Description","Brand","Pack Qty","DQ Score"
"HOM","CLO","453155","Jones Darwin Clock 30cm","Jones","1",0.825
"HOM","CLO","453156","Jones The Teapot Clock","Jones","1",0.825
"HOM","CLO","453157","Jones Alarm Clock","Jones","1",0.825
