"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Model Number","DQ Score"
"KIT","BAP","436216","Wilko Cotton Apron Reminisce Design","Wilko",NA,NA,NA,NA,NA,NA,NA,0.79
"KIT","BAP","436217","Wilko Cotton Oven GloveReminisce Design","Wilko",NA,NA,NA,NA,NA,NA,NA,0.79
"KIT","BAP","436218","Wilko Cotton Double Oven GloveReminisce Design","Wilko",NA,NA,NA,NA,NA,NA,NA,0.79
"KIT","DIN","427755","Wilko Padded Seat Pad Hearts Design","Wilko",NA,NA,NA,NA,NA,NA,NA,0.79
"KIT","TEX","427756","Wilko Tea Towels Love Heart Design3pk","Wilko",NA,NA,NA,NA,NA,NA,NA,0.79
"KIT","TEX","427757","Wilko Oven Glove Love Heart Design","Wilko",NA,NA,NA,NA,NA,NA,NA,0.79
"KIT","TEX","427758","Wilko Single Oven Mitt Love Heart Design","Wilko",NA,NA,NA,NA,NA,NA,NA,0.79
"KIT","TEX","427759","Wilko Adult Apron Love Heart Design","Wilko",NA,NA,NA,NA,NA,NA,NA,0.79
"KIT","TEX","445598","Wilko Apron Oriental Blossom","Wilko",NA,NA,NA,NA,NA,NA,NA,1
"KIT","TEX","445599","Wilko Oven Glove Double Oriental Blossom","Wilko",NA,NA,NA,NA,NA,NA,NA,1
"KIT","TEX","445600","Wilko Oven Glove Single Mitt Oriental Blossom","Wilko",NA,NA,NA,NA,NA,NA,NA,1
"KIT","TEX","445601","Wilko Tea Towel Oriental Blossom 3 Pack","Wilko",NA,NA,NA,NA,NA,NA,NA,1
"KIT","TEX","445602","Wilko Apron Blue Check","Wilko","61x84","Multi","1",NA,NA,NA,NA,1
"KIT","TEX","445603","Wilko Oven Glove Double Blue Check","Wilko","17x90","Multi","1",NA,NA,NA,NA,1
"KIT","TEX","445604","Wilko Oven Glove Single Mitt Blue Check","Wilko","15x34","Multi","1",NA,NA,NA,NA,1
"KIT","TEX","445605","Wilko Tea Towel Blue Check 3 Pack","Wilko",NA,NA,NA,NA,NA,NA,NA,1
"KIT","TEX","445611","Wilko Double Oven Glove Flutter","Wilko",NA,"Brown","1","Cotton Outer Polyester Inner","No","Wash at 40","WIL/AW17/FLDG",0.65
"KIT","TEX","445613","Wilko Tea Towels Flutter 3 Pack","Wilko","45 x 65cm",NA,"3","Cotton","No","Wash at 40","WIL/AW17/FLT3",0.65
