"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Assembly","DQ Score"
"FOO","CHO","278054","Lindt Lindor Milk 200g","Lindt","200g","1","No",0.65
"FOO","CHO","278861","Lindt Lindor Assorted 200g","Lindt","200g","1","No",0.65
"FOO","SXM","259889","Lindt Milk Chocolate Santa 125g","Lindt","125g","1","No",0.65
"FOO","SXM","259890","Lindt Milk Chocolate Reindeer 100g","Lindt","100g","1","No",0.65
"FOO","SXM","270999","Lindt Lindor Milk 337g","Lindt","337g","1","No",0.65
"FOO","SXM","271000","Lindt Lindor Assorted 337g","Lindt","337g","1",NA,1
"FOO","SXM","309879","Lindt Milk Chocolate Teddy Bear 100g","Lindt","100g","1","No",0.65
"FOO","SXM","309886","Lindt Chocolate Santa Sleigh 50g","Lindt","50g","1","No",0.65
"FOO","SXM","309887","Lindt Milk Chocolate Teddy Bears x 5","Lindt",NA,"50g","No",0.65
"FOO","SXM","338943","Lindt Lindor Milk 100g","Lindt","100g","1","No",0.65
"FOO","SXM","338945","Lindt Lindor My Melting Moment Star 20g","Lindt","20g","1","No",0.65
"FOO","SXM","406117","Lindor Cornet White 200g","Lindt","200g","1","No",0.6
"FOO","SXM","425624","Lindt Lindor Orange 200g","Lindt",NA,"1","No",0.65
"FOO","SXM","441934","Lindt Lindor Hazlenut 200g","Lindt","200g","1","No",0.65
"FOO","SXM","443330","Lindt Teddy Adorable Advent Calendar 250g","Lindt","250g","1","No",0.6
"FOO","SXM","445281","Lindt Selection 428g","Lindt","428g","1","No",0.65
