"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","DQ Score"
"DEC","PRP","342716","Wilko Nitrile Gloves","Wilko",NA,"Blue","1",NA,NA,0.85
"DEC","PRP","159223","Wilko Decorator Disposable Gloves Polythene One Size 25pk","Wilko Functional","OneSize",NA,"25pk","Polythene",NA,0.85
"DIY","MOT","158457","Wilko Disposable Vinyl Gloves One Size 10pk","Wilko","One Size",NA,"1",NA,NA,0.93
"DIY","MOT","343422","Wilko Latex Car Wash Gloves Blue","Wilko",NA,NA,"1",NA,"No",0.65
"DIY","TOO","343418","Wilko Poly Coated Knitted Gloves Medium/Large","Wilko",NA,NA,"1",NA,NA,0.86
"DIY","TOO","343419","Wilko Nylon Knitted Glove","Wilko",NA,NA,"1",NA,NA,0.86
"DIY","TOO","343420","Wilko Knitted Fleecy Liner Glove","Wilko",NA,NA,"1",NA,NA,0.86
"DIY","TOO","343421","Wilko High Grain Leather Glove","Wilko",NA,NA,"1",NA,NA,0.86
"HOU","SCO","328243","Wilko Extra Wear Rubber Gloves Medium Yellow","Wilko","Medium",NA,"1",NA,NA,0.93
"HOU","SCO","328244","Wilko  Extra Wear Rubber Gloves Large Yellow","Wilko","Large","Yellow","1",NA,NA,1
"HOU","SCO","454080","Wilko Latex Free Vinyl Disposable Gloves 30pk","Wilko",NA,NA,"30",NA,NA,0.86
"HOU","SCO","454081","Wilko Natural Rubber Latex Disposable Gloves 30pk","Wilko",NA,NA,"30",NA,NA,0.86
"HOU","SCO","82974","Wilko Heavy Duty Rubber Gloves Medium","Wilko","Medium","Yellow","1",NA,NA,1
"HOU","SCO","82975","Wilko Heavy Duty rubber Gloves Large","Wilko","Large","Yellow","1",NA,NA,1
"HOU","SCO","87681","Wilko Gloves Washing Up Latex Rubber Pink/Yellow Small","Wilko","Small","Yellow",NA,NA,NA,0.93
"HOU","SCO","87682","Wilko Gloves Washing Up Rubber Medium","Wilko","Medium","Yellow",NA,NA,NA,0.93
"HOU","SCO","87683","Wilko Wash Up Rubber Gloves Large","Wilko","Large","Yellow",NA,NA,NA,0.93
"HOU","SCO","269238","Wilko Functional Rubber Gloves One Size 2pk","Wilko Functional","Medium","Multi","2pk",NA,NA,1
