"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Assembly","Power","DQ Score"
"DIY","TOO","342300","Draper VDE long Nose Plier Draper","Draper",NA,"1",NA,NA,0.9125
"DIY","TOO","342301","Draper VDE Side Cutting Plier","Draper",NA,"1",NA,NA,0.9125
"DIY","TOO","342302","Draper VDE Wire Combi Plier","Draper",NA,"1",NA,NA,0.9125
"DIY","TOO","342303","Draper VDE Screwdriver 2.5 x 75mm Slotted","Draper","2.5x75mm",NA,NA,NA,0.9125
"DIY","TOO","342304","Draper VDE Screwdriver 3 x 100mm Slotted","Draper","3x100mm","1",NA,NA,1
"DIY","TOO","342305","Draper VDE Screwdriver Pozi No.2 x 100mm","Draper","2x100mm",NA,NA,NA,0.9125
"DIY","TOO","342306","Draper VDE Screwdriver 4 x 100mm Slotted","Draper","4x100mm","1",NA,NA,1
"DIY","TOO","450809","Draper Brad Nails 15mm 5000pk","Draper","15mm","5000pk",NA,NA,0.93
"DIY","TOO","209428","Wilko Brick Bolster With Guard 75mm","Wilko","75mm",NA,NA,NA,0.9125
"DIY","TOO","209429","Wilko Brick Bolster Chisel 225 x 100mm","Wilko","225x100mm","1",NA,NA,1
"DIY","TOO","209430","Wilko Cold Chisel 12mm","Wilko","12mm","1",NA,NA,1
"DIY","TOO","209432","Wilko Cold Chisel Black 19 x 250mm","Wilko","250mm",NA,NA,NA,0.9125
"DIY","TOO","342289","Wilko Hammer Drill 230V 810W","Wilko","230v",NA,NA,NA,0.86
"DIY","TOO","342291","Wilko 230V Jigsaw 710W  Orbital","Wilko","230v",NA,NA,NA,0.86
"DIY","TOO","342292","Wilko 230V Tri-Palm Sander 125W","Wilko","230v",NA,NA,NA,0.86
"DIY","TOO","342316","Wilko Multi-Tool Kit 135W","Wilko","135w",NA,NA,NA,0.86
"DIY","TOO","342320","Wilko 230V Glue Gun 200W","Wilko","200w",NA,NA,NA,0.86
"DIY","TOO","344465","Wilko Glue Sticks 6pk","Wilko",NA,"6pk",NA,NA,0.86
"DIY","TOO","345071","Wilko Cored Solder Wire","Wilko",NA,"1",NA,NA,0.86
"DIY","TOO","345086","Wilko Soldering Iron 30W 230V","Wilko","30w","1",NA,"30W 230V",1
"DIY","TOO","345088","Wilko 4 Way Chuck Key","Wilko",NA,"1",NA,NA,0.9125
"DIY","TOO","449405","Wilko Cordless Drill Lithium Ion 14.4V","Wilko",NA,NA,NA,"14.4v",0.86
"DIY","TOO","449406","Wilko Screwdriver Lithium Ion 3.6V","Wilko",NA,"1","No","3.6v",0.65
"DIY","TOO","449407","Wilko Orbital Sander 230V 200W 1/3 Sheet","Wilko",NA,"1",NA,NA,0.86
"DIY","TOO","449408","Wilko Cordless Hammer Drill Lithium Ion 18V","Wilko",NA,"1","No","18v Li Ion",0.65
"DIY","TOO","449409","Wilko Angle Grinder 115mm 900W","Wilko",NA,NA,NA,NA,0.825
"DIY","TOO","449410","Wilko Screwdriver Set Lithium Ion 3.6V 44 Piece","Wilko",NA,NA,NA,"3.6v",0.86
"DIY","TOO","449411","Wilko Multi Cutter 89mm","Wilko",NA,NA,NA,NA,0.79
"DIY","TOO","449412","Wilko Electric Stapler and Nailer 230V","Wilko",NA,NA,NA,"230v",0.86
"DIY","TOO","342284","Wilko Functional Hammer Drill 500W","Wilko Functional","500w",NA,NA,NA,0.86
"DIY","TOO","342285","Wilko Functional Jigsaw 230V 400W","Wilko Functional","230v",NA,NA,NA,0.86
"DIY","TOO","342286","Wilko Functional Orbital Sander 230V 1/3 Sheet","Wilko Functional","230v",NA,NA,NA,0.86
