"PSA_1","PSA_2","Article","Web Description","Brand","Pack Qty","Material","Assembly","Power","DQ Score"
"TOI","XMS","437610","Gizmo USB Animal Shapes","Wilko","1","PVC and Metal","No",NA,0.6
"TOI","XMS","437954","Gizmo Pug Nodding Dogs","Wilko","1","Plastic and Metal","No",NA,0.6
"TOI","XMS","437979","Gizmo Robot Hub","Wilko","1","Plastic and Metal","No",NA,0.6
"TOI","XMS","456972","Gizmo Mini Powerbank 2200mAh","Wilko","1","Plastic and Metal","No","DC5V, 800mah",0.6
"TOI","XMS","456973","Gizmo Book Light","Wilko","1","Plastic and Metal","No",NA,0.6
"TOI","XMS","456974","Gizmo Eco Torch Owl","Wilko","1","Plastic and Metal","No",NA,0.6
"TOI","XMS","456976","Gizmo Disco Light","Wilko","1","Plastic and Metal","No",NA,0.6
"TOI","XMS","456977","Gizmo Gel Anti Stress Ball","Wilko","1","Soft Gel","No",NA,0.6
"TOI","XMS","456980","Gizmo Christmas Pudding Head Butt","Wilko","1","Cloth","No",NA,0.6
"TOI","XMS","457493","Gizmo Counting Jar","Wilko","1","Plastic and Metal","No",NA,0.6
