"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Material","Washable","Coverage","DQ Score"
"HOM","BLI","446138","Square Eyelet Blind Blue 150 wide x 165cm drop","Global","Width 150cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446139","Square Eyelet Blind Blue 180 wide x 165cm drop","Global","Width 180cm x Drop 165cm",NA,NA,NA,NA,0.75
"HOM","BLI","446140","Square Eyelet Blind Blue 210 wide x 165cm drop","Global","Width 210cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446141","Square Eyelet Blind Coffere 60 wide x 165cm drop","Global","Width 60cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446142","Square Eyelet Blind Coffee 90 wide x 165cm drop","Global","Width 90cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446143","Square Eyelet Blind Coffee 120 wide x 165cm drop","Global","Width 120cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446144","Square Eyelet Blind Coffee 150 wide x 165cm drop","Global","Width 150cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446145","Square Eyelet Blind Coffee 180 wide x 165cm drop","Global","Width 180cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446146","Square Eyelet Blind Coffee 210 wide x 165cm drop","Global","Width 210cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446147","Square Eyelet Blind Cream 60 wide x 165cm drop","Global","Width 60cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446148","Square Eyelet Blind Cream 90 wide x 165cm drop","Global","Width 90cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446150","Square Eyelet Blind Cream 150 wide  x 165cm drop","Global","Width 150cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446151","Square Eyelet Blind Cream 180 wide x 165cm drop","Global","Width 180cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446152","Square Eyelet Blind Cream 210 wide x 165cm drop","Global","Width 210cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446153","Square Eyelet Blind Duck Egg 60 wide x 165cm drop","Global","Width 60cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446156","Square Eyelet Blind Duck Egg 150 x 165cm","Global","Width 150cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446157","Square Eyelet Blind Duck Egg 180 wide x 165cm drop","Global","Width 180cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446158","Square Eyelet Blind Duck Egg 210 wide x 165cm drop","Global","Width 210cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446163","Square Eyelet Blind Grey 180 wide x 165cm drop","Global","Width 180cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446165","Square Eyelet Blind Olive 60 wide x 165cm drop","Global","Width 60cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446166","Square Eyelet Blind Olive 90 wide x 165cm drop","Global","Width 90cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446167","Square Eyelet Blind Olive 120 wide x 165cm drop","Global","Width 120cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446168","Square Eyelet Blind Olive 150 wide x 165cm drop","Global","Width 150cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446169","Square Eyelet Blind Olive 180 wide x 165cm drop","Global","Width 180cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446170","Square Eyelet Blind Olive 210 wide x 165cm drop","Global","Width 210cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446171","Square Eyelet Blind Red 60 wide x 165cm drop","Global","Width 60cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446173","Square Eyelet Blind Red 120 wide x 165cm drop","Global","Width 120cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446174","Square Eyelet Blind Red 150 wide x 165cm drop","Global","Width 150cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446175","Square Eyelet Blind Red 180 wide x 165cm drop","Global","Width 180cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446176","Square Eyelet Blind Red 210 wide x 165cm drop","Global","Width 210cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446177","Square Eyelet Blind Royal Blue60 wide x 165cm drop","Global","Width 60cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446178","Square Eyelet Blind Royal Blue90 wide x 165cm drop","Global","Width 90cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
