"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Capacity","DQ Score"
"KIT","FOO","285244","Sistema Slimline Quadale Assorted Colours","Sistema",NA,"Multi","1",NA,0.85
"KIT","FOO","285248","Sistema Davina Sports Bottle 700ml","Sistema","700ml","Multi",NA,NA,0.85
"KIT","FOO","285250","Sistema Container 400ml","Sistema","400ml","Multi","1",NA,0.9
"KIT","FOO","285251","Sistema Container 1L","Sistema","1L","Multi","1",NA,0.9
"KIT","FOO","285252","Sistema Container 2L","Sistema","2L","Multi",NA,NA,0.85
"KIT","FOO","298844","Sistema Food Box Assorted Colours","Sistema","450ml","Multi","1",NA,0.9
"KIT","FOO","332162","Sistema Soup To Go Mug 656ml","Sistema",NA,NA,NA,NA,0.75
"KIT","FOO","332163","Sistema Klip It Container 200ml","Sistema","200ml","Clear","1",NA,0.9
"KIT","FOO","332166","Sistema Klip It Container Square 1.2L","Sistema","1.2L","Clear","1","1.2L",0.95
"KIT","FOO","400454","Sistema Noodle Bowl","Sistema","Single","Multi","1",NA,0.9
"KIT","FOO","433370","Sistema Easy Eggs To Go","Sistema",NA,NA,NA,NA,0.75
"KIT","FOO","433376","Sistema Klip It Container 3L","Sistema",NA,NA,NA,NA,0.75
"KIT","FOO","435828","Sistema Lunch Cube","Sistema",NA,NA,NA,NA,0.75
