"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Power","DQ Score"
"HOM","LIG","325667","Wilko Desk Lamp White","Wilko","Single","White",NA,"No","Mains",0.95
"HOM","LIG","325668","Wilko Desk Lamp Black","Wilko","Single","Black",NA,"No","Mains",0.95
"HOM","LIG","325669","Wilko Desk Lamp Grey","Wilko","Single","Grey",NA,"No","Mains",0.95
"HOM","LIG","325671","Wilko Desk Lamp Chilli Pepper","Wilko","Single","Red",NA,"No","Mains",0.95
"HOM","LIG","325724","Wilko Task Angle Lamp Black","Wilko","Single","Black",NA,"No","Mains",0.95
"HOM","LIG","436970","Wilko Angle Task Lamp Chrome Effect","Wilko",NA,"Silver","1","No",NA,0.9
"HOM","LIG","436971","Wilko Angle Task Lamp Red","Wilko",NA,"Red","1","No",NA,0.9
"HOM","LIG","436972","Wilko LED Task Lamp Chrome","Wilko",NA,"Silver","1","No",NA,0.9
"HOM","LIG","436974","Wilko Designo Lamp Grey","Wilko",NA,"Grey","1","No",NA,0.9
"HOM","LIG","456315","Wilko Desk Lamp Blue","Wilko",NA,NA,"1","No",NA,0.85
"HOM","LIG","456316","Wilko Angle Task Lamp Copper","Wilko",NA,NA,"1","No",NA,0.85
"HOM","LIG","456443","Wilko Desk Lamp Designo White","Wilko",NA,NA,"1","No",NA,0.85
