"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","DQ Score"
"HOU","PEG","327979","Wilko Peg Bag","Wilko",NA,"Multi","1pcs",NA,NA,NA,0.93
"HOU","PEG","328210","Wilko Lingerie Washing Bag White","Wilko",NA,"White","1",NA,NA,NA,0.93
"HOU","PEG","328211","Wilko Delicates Washing Bag White","Wilko",NA,"Black","1",NA,NA,NA,0.93
"KIT","FOO","317739","Wilko Lunch Bag Black","Wilko",NA,"Black","1",NA,NA,NA,0.85
"SES","LUG","456367","Wilko Cross Body Velcro Bag","Wilko","36X26X11CM","Multi","1","Polyester","No","Wipe Clean Only",0.65
