"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Assembly","Power","Capacity","Coverage","DQ Score"
"PET","CAT","173537","Wilko Tinned Cat Food Feast Selection in Jelly 6 x6 x 400g","Wilko","6x400g",NA,NA,NA,NA,NA,0.9125
"PET","CAT","453030","Wilko Fish Selection Cat Food Chunks in Jelly6x400g","Wilko","400g x 6","6",NA,NA,NA,NA,1
"PET","CAT","303555","Wilko Functional Tinned Cat Food Chicken inJelly 400g","Wilko Functional","400g","1",NA,NA,NA,NA,1
"PET","DOG","270388","Wilko Tinned Dog Food Chicken Lamb and BeefChunks in Jelly 6 x 400g","Wilko","6x400g",NA,NA,NA,NA,NA,0.9125
"PET","DOG","303620","Wilko Tinned Dog Food Tripe Mix 6 x 400g","Wilko","6x400g","6",NA,NA,NA,NA,1
"PET","DOG","431494","Wilko Tinned Dog Food Meaty Feast Chicken Lamband Beef Chunks in Gravy 6 x 400g","Wilko","6x400g","6",NA,NA,NA,NA,1
"PET","DOG","431495","Wilko Working Dog Food Chicken Lamb Beef andTurkey in Jelly 12 x 400g","Wilko","12x400g","12",NA,NA,NA,NA,1
"PET","DOG","453031","Wilko Working Dog Chunks in Jelly 6x400g","Wilko","400g x 6","6",NA,NA,NA,NA,1
"PET","DOG","453032","Wilko Best Dog Food Grain Free Chicken 395g","Wilko Best","395g","1",NA,NA,NA,NA,1
"PET","DOG","453033","Wilko Best Dog Food Grain Free Turkey 395g","Wilko Best","395g","1","No","N/A","N/A","N/A",0.65
"PET","DOG","453034","Wilko Best Dog Food Grain Free Chicken 142g","Wilko Best","142g","1",NA,NA,NA,NA,1
"PET","DOG","453035","Wilko Best Dog Food Grain Free Turkey 142g","Wilko Best","142g","1",NA,NA,NA,NA,1
"PET","DOG","243644","Wilko Functional Tinned Dog Food Chicken inJelly 400g","Wilko Functional","400g",NA,NA,NA,NA,NA,0.9125
