"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Coverage","DQ Score"
"PAI","GLO","2228240","Dulux Liquid Gloss PaintPure Brilliant White 2.5L","Dulux","2.5L","White","1","No","45m²",0.65
"PAI","GLO","257993","Dulux Once Satinwood PaintPure Brilliant White 750ml","Dulux","750ml","White",NA,"No","9m²",0.65
"PAI","GLO","257995","Dulux Once Gloss PaintPure Brilliant White 750ml","Dulux","750ml","White",NA,"No","8m²",0.65
"PAI","GLO","332476","Dulux Quick Dry Satinwood PaintAlmond White 750ml","Dulux","750ml","White",NA,"No","12m2",0.65
"PAI","GLO","332481","Dulux Quick Dry Satinwood PaintNatural Hessian 750ml","Dulux","750ml","Cream",NA,"No","12m2",0.65
"PAI","GLO","332483","Dulux Quick Dry Satinwood PaintTimeless 750ml","Dulux","750ml","Cream",NA,"No","12m2",0.65
"PAI","GLO","332484","Dulux Quick Dry Satinwood PaintWhite Cotton 750ml","Dulux","750ml","White",NA,"No","12m2",0.65
"PAI","GLO","340962","Dulux Quick Dry Gloss PaintPure Brilliant White 750ml","Dulux","750ml","White","1","No","12sq m",0.65
"PAI","GLO","340963","Dulux Quick Dry Gloss PaintPure Brilliant White 2.5L","Dulux","2.5L","White","1","No","40sq m",0.65
"PAI","GLO","344361","Dulux Quick Dry Eggshell PaintPure Brilliant White 750ml","Dulux","750ml","White","1","No",NA,0.65
"PAI","GLO","344363","Dulux Quick Dry Gloss PaintMagnolia 750ml","Dulux","750ml","Cream",NA,"No",NA,0.65
"PAI","GLO","344365","Dulux Quick Dry Satinwood PaintPure Brilliant White 2.5L","Dulux","2.5L","White",NA,"No",NA,0.65
"PAI","GLO","344366","Dulux Quick Dry Satinwood PaintPure Brilliant White 750ml","Dulux","750ml","White",NA,"No",NA,0.65
"PAI","GLO","49015","Dulux Once Gloss PaintPure Brilliant White 2.5L","Dulux","2.5L","White","1","No","27mandsup2;",0.65
"PAI","GLO","7449","Dulux Non Drip Gloss PaintPure Brilliant White 2.5L","Dulux","2.5L","White",NA,"No","30m²",0.65
"PAI","GLO","99700","Dulux Gloss Liquid Pure Brilliant White 750ml","Dulux","750ml","White",NA,"No","14m²",0.65
"PAI","GLO","99701","Dulux Non Drip Gloss PaintPure Brilliant White 750ml","Dulux","750ml","White","1","No","9m²",0.65
"PAI","GLO","99702","Dulux Professional UndercoatPure Brilliant White 750ml","Dulux","750ml","White","1","No","24m²",0.65
"PAI","ICI","148615","Dulux Silk Emulsion PaintViolet White 2.5L","Dulux","2.5L","White","1",NA,"32m²",1
"PAI","ICI","148618","Dulux Silk Emulsion PaintJade White 2.5L","Dulux","2.5L","White",NA,NA,"32m²",0.941666666666667
"PAI","ICI","148625","Dulux Silk Emulsion PaintIvory 2.5L","Dulux","2.5L","Cream","1",NA,"32m²",1
"PAI","ICI","166435","Dulux Silk Emulsion PaintBlue Babe 2.5L","Dulux","2.5L","Blue",NA,NA,"32m²",0.941666666666667
