"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Coverage","DQ Score"
"PAI","ICI","341378","Dulux Bathroom+ Soft Sheen Emulsion PaintJasmine White 2.5L","Dulux","2.5L","White","1",NA,NA,0.941666666666667
"PAI","ICI","341379","Dulux Bathroom+ Soft Sheen Emulsion PaintMagnolia 2.5L","Dulux","2.5L","Cream","1",NA,NA,0.941666666666667
"PAI","ICI","341381","Dulux Bathroom+ Soft Sheen Emulsion PaintMineral Mist 2.5L","Dulux","2.5L","Blue","1",NA,NA,0.941666666666667
"PAI","ICI","341382","Dulux Bathroom+ Soft Sheen Emulsion PaintNatural Hessian 2.5L","Dulux","2.5L","Brown",NA,NA,NA,0.883333333333333
"PAI","ICI","341383","Dulux Bathroom+ Soft Sheen Emulsion PaintNatural Calico 2.5L","Dulux","2.5L","Brown",NA,NA,NA,0.883333333333333
"PAI","ICI","341384","Dulux Bathroom+ Soft Sheen Emulsion PaintTester Pot Frosted Steel 50ml","Dulux","50ml","Metal","1",NA,NA,0.941666666666667
"PAI","ICI","341387","Dulux Bathroom+ Soft Sheen Emulsion PaintTester Pot Jasmine White 50ml","Dulux","50ml","White",NA,NA,NA,0.883333333333333
"PAI","ICI","341389","Dulux Bathroom+ Soft Sheen Emulsion PaintTester Pot Mineral Mist 50ml","Dulux","50ml","Blue","1",NA,NA,0.941666666666667
"PAI","ICI","341391","Dulux Bathroom+ Soft Sheen Emulsion PaintTester Pot Natural Hessian 50ml","Dulux","50ml","Brown",NA,NA,NA,0.883333333333333
"PAI","ICI","341392","Dulux Bathroom+ Soft Sheen Emulsion PaintTester Pot Natural Calico 50ml","Dulux","50ml","Brown","1",NA,NA,0.941666666666667
"PAI","ICI","341393","Dulux Kitchen+ Matt Emulsion PaintFrosted Steel 2.5L","Dulux","2.5L","Metal",NA,NA,NA,0.883333333333333
"PAI","ICI","341395","Dulux Kitchen+ Matt Emulsion PaintJasmine White 2.5L","Dulux","2.5L","White","1",NA,NA,0.941666666666667
"PAI","ICI","341396","Dulux Kitchen+ Matt Emulsion PaintLuscious Lime 2.5L","Dulux","2.5L","Green","1",NA,NA,0.941666666666667
"PAI","ICI","341397","Dulux Kitchen+ Matt Emulsion PaintMagnolia 2.5L","Dulux","2.5L","Cream","1",NA,NA,0.941666666666667
"PAI","ICI","341438","Dulux Kitchen+ Matt Emulsion PaintNatural Calico 2.5L","Dulux","2.5L","Brown","1",NA,NA,0.941666666666667
"PAI","ICI","341439","Dulux Kitchen+ Matt Emulsion PaintNatural Hessian 2.5L","Dulux","2.5L","Brown",NA,NA,NA,0.883333333333333
"PAI","ICI","341440","Dulux Kitchen+ Matt Emulsion PaintOvertly Olive 2.5L","Dulux","2.5L","Green",NA,NA,NA,0.883333333333333
"PAI","ICI","341447","Dulux Kitchen+ Matt Emulsion PaintSoft Vanilla 2.5L","Dulux","2.5L","Cream",NA,NA,NA,0.883333333333333
"PAI","ICI","341448","Dulux Kitchen+ Matt Emulsion PaintWillow Tree 2.5L","Dulux","2.5L","Green",NA,NA,NA,0.883333333333333
"PAI","ICI","341450","Dulux Kitchen+ Matt Emulsion Paint Tester PotFrosted Steel 50ml","Dulux","50ml","Metal",NA,NA,NA,0.883333333333333
"PAI","ICI","341466","Dulux Kitchen+ Matt Emulsion Paint Tester PotMagnolia 50ml","Dulux","50ml","Cream",NA,NA,NA,0.883333333333333
"PAI","ICI","341470","Dulux Kitchen+ Matt Emulsion Paint Tester PotNatural Hessian 50ml","Dulux","50ml","Brown",NA,NA,NA,0.883333333333333
"PAI","ICI","341534","Dulux Kitchen+ Matt Emulsion Paint Tester PotSoft Vanilla 50ml","Dulux","50ml","Cream",NA,NA,NA,0.883333333333333
"PAI","ICI","341535","Dulux Kitchen+ Matt Emulsion Paint Tester PotWillow Tree 50ml","Dulux","50ml","Green",NA,NA,NA,0.883333333333333
"PAI","ICI","434256","Dulux Endurance+ Matt Emulsion Paint Tester PotPepper Red 50ml","Dulux","50ml","Red","1",NA,NA,0.941666666666667
"PAI","ICI","434257","Dulux Bathroom+ Soft Sheen Emulsion PaintTester Pot Blissful Blue 50ml","Dulux","50ml","Blue","1",NA,NA,0.941666666666667
"PAI","ICI","434260","Dulux Endurance+ Matt Emulsion Paint Tester PotCopper Blush 50ml","Dulux","50ml","Orange","1",NA,NA,0.941666666666667
"PAI","ICI","434261","Dulux Endurance+ Matt Emulsion Paint Tester PotGoose Down 50ml","Dulux","50ml","Grey","1",NA,NA,0.941666666666667
"PAI","ICI","434262","Dulux Endurance+ Matt Emulsion Paint Tester PotLavender Quartz 50ml","Dulux","50ml","Purple","1",NA,NA,0.941666666666667
"PAI","ICI","434265","Dulux Endurance+ Matt Emulsion Paint Tester PotRock Salt 50ml","Dulux","50ml","Grey","1",NA,NA,0.941666666666667
"PAI","ICI","434267","Dulux Matt Emulsion PaintBlue Opal 2.5L","Dulux","2.5L","Blue","1",NA,"13sm per litre",1
"PAI","ICI","434269","Dulux Matt Emulsion PaintGoose Down 2.5L","Dulux","2.5L","Grey","1",NA,"13sm per litre",1
"PAI","ICI","434271","Dulux Matt Emulsion PaintMuted Sage 2.5L","Dulux","2.5L","Green","1",NA,"13sm per litre",1
"PAI","ICI","434272","Dulux Matt Emulsion PaintNordic Sky 2.5L","Dulux","2.5L","Blue","1",NA,"13sm per litre",1
"PAI","ICI","434273","Dulux Matt Emulsion PaintRock Salt 2.5L","Dulux","2.5L","Grey","1",NA,"13sm per litre",1
"PAI","ICI","434274","Dulux Matt Emulsion PaintSummer Linen 2.5L","Dulux","2.5L","Cream","1",NA,"13sm per litre",1
"PAI","ICI","434277","Dulux Silk Emulsion PaintGoose Down 2.5L","Dulux","2.5L","Grey","1",NA,"13sm per litre",1
"PAI","ICI","434279","Dulux Silk Emulsion PaintMuted Sage 2.5L","Dulux","2.5L","Green","1",NA,"13sm per litre",1
"PAI","ICI","434280","Dulux Silk Emulsion PaintNordic Sky 2.5L","Dulux","2.5L","Blue","1",NA,"13sm per litre",1
"PAI","ICI","434281","Dulux Silk Emulsion PaintRock Salt 2.5L","Dulux","2.5L","Grey","1",NA,"13sm per litre",1
"PAI","ICI","434282","Dulux Silk Emulsion PaintSummer Linen 2.5L","Dulux","2.5L","Cream","1",NA,"13sm per litre",1
"PAI","ICI","434293","Dulux Kitchen+ Matt Emulsion PaintPepper Red 2.5L","Dulux","2.5L","Red","1",NA,"13sm per litre",1
"PAI","ICI","434295","Dulux Bathroom+ Soft Sheen Emulsion PaintRock Salt 2.5L","Dulux","2.5L","Grey","1",NA,"13sm per litre",1
"PAI","ICI","449373","Dulux Easycare Matt Emulsion Paint Timeless 2.5L","Dulux","2.5L","White","1",NA,"13 sq m per litre",0.95
"PAI","ICI","449374","Dulux Easycare Matt Emulsion Paint Blush Pink 2.5L","Dulux","2.5L","Pink","1",NA,"13 sq m per litre",0.95
"PAI","ICI","449375","Dulux Easycare Matt Emulsion Paint Chic Shadow2.5L","Dulux","2.5L","Grey","1",NA,"13 sq m per litre",0.95
"PAI","ICI","449376","Dulux Easycare Matt Emulsion Paint Denim Drift2.5L","Dulux","2.5L","Blue","1",NA,"13 sq m per litre",1
"PAI","ICI","449377","Dulux Easycare Matt Emulsion Paint Egyptian Cotton2.5L","Dulux","2.5L","Cream","1",NA,"13 sq m per litre",0.95
"PAI","ICI","449379","Dulux Easycare Matt Emulsion Paint Magnolia 2.5L","Dulux","2.5L","Cream","1",NA,"13 sq m per litre",0.95
"PAI","ICI","449380","Dulux Easycare Matt Emulsion Paint Natural Hessian2.5L","Dulux","2.5L","Cream","1",NA,"13 sq m per litre",1
"PAI","ICI","449381","Dulux Easycare Matt Emulsion Paint Natural Calico2.5L","Dulux","2.5L","Cream","1",NA,"13 sq m per litre",1
"PAI","ICI","449383","Dulux Easycare Matt Emulsion Paint Polished Pebble2.5L","Dulux","2.5L","Grey","1",NA,"13 sq m per litre",1
"PAI","ICI","449384","Dulux Easycare Matt Emulsion Tester Pot PolishedPebble 50ml","Dulux","50ml","Grey","1",NA,"13 sq m per litre",1
"PAI","ICI","449385","Dulux Easycare Matt Emulsion Tester Pot Timeless50ml","Dulux","50ml","White","1",NA,"13 sq m per litre",1
"PAI","ICI","449386","Dulux Easycare Matt Emulsion Tester Pot Blush Pink50ml","Dulux","50ml","Pink","1",NA,"13 sq m per litre",1
"PAI","ICI","449387","Dulux Easycare Matt Emulsion Tester Pot ChicShadow 50ml","Dulux","50ml","Grey","1",NA,"13 sq m per litre",1
"PAI","ICI","449388","Dulux Easycare Matt Emulsion Tester Pot DenimDrift 50ml","Dulux","50ml","Blue","1",NA,"13 sq m per litre",1
"PAI","ICI","449389","Dulux Easycare Matt Emulsion Tester Pot EgyptianCotton 50ml","Dulux","50ml","Cream","1",NA,"13 sq m per litre",1
"PAI","ICI","449390","Dulux Easycare Matt Emulsion Tester Pot Mineral MMist 50ml","Dulux","50ml","White","1",NA,"13 sq m per litre",1
"PAI","ICI","449391","Dulux Easycare Matt Emulsion Tester Pot Magnolia50ml","Dulux","50ml","Cream","1",NA,"13 sq m per litre",1
"PAI","ICI","449392","Dulux Easycare Matt Emulsion Tester Pot NaturalHessian 50ml","Dulux","50ml","Cream","1",NA,"13 sq m per litre",1
"PAI","ICI","449393","Dulux Easycare Tester Natural Calico 50ml","Dulux","50ml","Cream","1",NA,"13 sq m per litre",1
"PAI","ICI","71496","Dulux Natural Hints Silk Emulsion PaintBlossom White 2.5L","Dulux","2.5L","White",NA,NA,"32m²",0.941666666666667
"PAI","ICI","71498","Dulux Silk Emulsion PaintCornflower White 2.5L","Dulux","2.5L","White",NA,NA,"32m²",0.941666666666667
"PAI","ICI","9856","Dulux Natural Hints Silk Emulsion PaintAlmond White 2.5L","Dulux","2.5L","White",NA,NA,"32m²",0.941666666666667
"PAI","ICI","99629","Dulux Natural Hints Silk Emulsion PaintJasmine White 2.5L","Dulux","2.5L","White",NA,NA,"32m²",0.941666666666667
"PAI","WAP","139827","Dulux Silk Emulsion PaintPure Brilliant White 5L","Dulux","5L","White",NA,NA,NA,0.883333333333333
"PAI","WAP","139828","Dulux Matt Emulsion Paint Pure Brilliant White 5ltr","Dulux","5L","White",NA,NA,"76m²",0.941666666666667
"PAI","WAP","231065","Dulux Matt Emulsion PaintPure Brilliant White 2.5L","Dulux","2.5l","White","1",NA,"32m²",1
"PAI","WAP","231084","Dulux Bathroom+ Soft Sheen Emulsion PaintPure Brilliant White 2.5L","Dulux","2.5L","White",NA,NA,"35m²",0.941666666666667
"PAI","WAP","340557","Dulux Primer and Undercoat Multi Surface PaintWhite 750ml","Dulux","750ml","White","1","No",NA,0.65
"PAI","WAP","449382","Dulux Easycare Matt Emulsion Paint Pure BrilliantWhite 2.5L","Dulux","2.5L","White","1",NA,"13 sq m per litre",1
"PAI","WAP","65253","Dulux Matt Emulsion PaintPure Brilliant White 2.5L","Dulux","2.5L","White","1",NA,"32m²",1
"PAI","WAP","65255","Dulux Silk Emulsion PaintPure Brilliant White 2.5L","Dulux","2.5L","White","1",NA,"32m²",1
"PAI","WAP","105560","Polycell Crack-Free Ceiling Smooth Flexible MattEmulsion Paint White 2.5L","Polycell","2.5L","White","1",NA,NA,0.941666666666667
