"PSA_1","PSA_2","Article","Web Description","Brand","Colour","Pack Qty","Material","Assembly","Washable","Age","DQ Score"
"TOY","PRE","438656","Wilko Safari Soft Building Bricks 4pk","Wilko","Multi","4",NA,NA,NA,"From Birth",0.941666666666667
"TOY","PRE","438657","Wilko Safari Play Gym","Wilko","Multi","1","Fabric","No","Hand Wash Only","From Birth",0.65
"TOY","PRE","438658","Wilko Safari Baby Book","Wilko","Multi","1",NA,NA,NA,"From Birth",0.941666666666667
"TOY","PRE","438659","Wilko Safari Soft Ball","Wilko","Multi","1",NA,NA,NA,"From Birth",0.941666666666667
