"Article","Web Description","Brand","Type","Colour","Size","DQ Score"
"430513","Scheurich Indoor Plant Pot Dark Red 16cm","Scheurich","Plant Pots","Red","16cm",1
"444493","Scheurich Indoor Plant Pot Pannacotta 12cm","Scheurich","Plant Pots","White","Planter 12cm",1
