"Article","Web Description","Brand","Type","Colour","Size","DQ Score"
"267700","Rimmel Extra Super Lash Mascara Black","Rimmel","Mascara","Black","8ml",1
"268405","Rimmel Extra Super Lash Mascara Brown Black","Rimmel","Mascara","Brown","8ml",1
"268426","Rimmel 100% Waterproof Mascara Black","Rimmel","Mascara","Black","8ml",1
"269130","Rimmel 100 Percent Waterproof Mascara Brown","Rimmel","Mascara","Brown","8ml",1
"270421","Rimmel 1000 Kisses LipLiner Capuccino","Rimmel","Lip Liner","Brown","1.2g",1
"270488","Rimmel Professional Eyebrow Pencil Dark Brown","Rimmel","Brows","Brown","1.4g",1
"270490","Rimmel Professional Eyebrow Pencil Black/Brown","Rimmel","Brows","Black","1.4g",1
"270493","Rimmel Soft Kohl Eye Pencil Sable Brown","Rimmel","Eye Liner","Brown","1.2g",1
"270495","Rimmel Soft Kohl Eye Pencil Jungle Green","Rimmel","Eye Liner","Green","1.2g",1
"270496","Rimmel Soft Kohl Eye Pencil Jet Black","Rimmel","Eye Liner","Black","1.2g",1
"270497","Rimmel Soft Kohl Eye Pencil Stormy Grey","Rimmel","Eye Liner","Grey","1.2g",1
"280948","Rimmel Exaggerate Eye Definer Noir Waterproof","Rimmel","Eye Liner","Black",".28g",1
"280965","Rimmel Clear Complex Powder Transparent","Rimmel","Powder Foundation","Clear","16g",1
"280967","Rimmel Natural Bronzer Sun Bronze","Rimmel","Bronzer","Brown","14g",1
"280969","Rimmel Natural Bronzer Sun Glow","Rimmel","Bronzer","Brown","14g",1
"284315","Rimmel Stay Matte Powder Peach Glow","Rimmel","Powder Foundation","Brown","14g",1
"284318","Rimmel Stay Matte Powder Silky Beige","Rimmel","Powder Foundation","Brown","14g",1
"284416","Rimmel Volume Flash x10 Mascara Black","Rimmel","Mascara","Black","8ml",1
"291098","Rimmel Match Perfect Concealer Classic Beige","Rimmel","Concealer","Brown","15ml",1
"291099","Rimmel Match Perfect Concealer Soft Beige","Rimmel","Concealer","Cream","15ml",1
"291100","Rimmel Match Perfect Concealer Ivory","Rimmel","Concealer","Cream","15ml",1
"295117","Rimmel Lasting Finish Lipstick Drop of Sherry","Rimmel","Lipstick","Red","4g",1
"295118","Rimmel Lasting Finish Lipstick Heather Shim","Rimmel","Lipstick","Purple","4g",1
"295120","Rimmel Lasting Finish Lipstick Asia","Rimmel","Lipstick","Brown","4g",1
"295121","Rimmel Lasting Finish Lipstick Amethyst","Rimmel","Lipstick","Purple","4g",1
"295127","Rimmel Lasting Finish Lipstick Sugar Plum","Rimmel","Lipstick","Purple","4g",1
"295129","Rimmel Lasting Finish Lipstick Nude Pink","Rimmel","Lipstick","Pink","4g",1
"295130","Rimmel Lasting Finish Lipstick Coral in Gold","Rimmel","Lipstick","Orange","4g",1
"295131","Rimmel Lasting Finish Lipstick Birthday Suit","Rimmel","Lipstick","Cream","4g",1
"295132","Rimmel Lasting Finish Lipstick Coffee","Rimmel","Lipstick","Brown","4g",1
"301339","Rimmel Lasting Finish Foundation Soft Beige","Rimmel","Liquid Foundation","Cream","30ml",1
"312583","Rimmel Kate Lasting Finish Lipstick 001","Rimmel","Lipstick","Red","4g",1
"312584","Rimmel Kate Lasting Finish Lipstick 005","Rimmel","Lipstick","Pink","4g",1
"318720","Rimmel Wake me up Foundation Ivory","Rimmel","Liquid Foundation","Cream","30ml",1
"318721","Rimmel Wake Me Up Foundation True Ivory","Rimmel","Liquid Foundation","Brown","30ml",1
"318722","Rimmel Wake me up Foundation Soft Beige","Rimmel","Liquid Foundation","Cream","30ml",1
"325944","Rimmel Mono Blush Live Pink","Rimmel","Blusher","Pink","5g",1
"325946","Rimmel Mono Blush Pink Rose","Rimmel","Blusher","Pink","5g",1
"332756","Rimmel Scandal Eyes Eyeshadow Black Mail","Rimmel","Eye Shadow","Black","3.25g",1
"332759","Rimmel Scandal Eyes Eyeshadow Bad Bronze","Rimmel","Eye Shadow","Metal","3.25g",1
"332782","Rimmel Exaggerate Liquid Liner Black Waterproof","Rimmel","Eye Liner","Black","12ml",1
"333668","Rimmel Endless Accelerator Mascara Black","Rimmel","Mascara","Black","12ml",1
"400614","Rimmel Wonder'Full Mascara","Rimmel","Mascara","Black","11ml",1
"432724","Rimmel Volume Colourist Mascara Extreme Black","Rimmel","Mascara","Black","11ml",1
