"Article","Web Description","Brand","Type","Colour","Pack Qty","Washable","Size","Material","DQ Score"
"417725","Wilko Fleece Heart Design Red 125 x 150cm","Wilko","Throws",NA,"1","Wash at 40","125 x 150cm","100% Polyester",0.95
"417726","Wilko Fleece Heart Design Beige 125 x 150cm","Wilko","Throws",NA,"1","Wash at 40","125 x 150cm","100% Polyester",0.95
"417727","Wilko Fleece Star Design Grey 125 x 150cm","Wilko","Throws",NA,"1","Wash at 40","125 x 150cm","100% Polyester",0.95
"426763","Wilko Knitted Throw Duck Egg 127 x 152cm","Wilko","Throws","Blue","1",NA,"127 x 152cm",NA,0.9
"426768","Wilko Knitted Throw Plum 127 x 152cm","Wilko","Throws","Purple","1",NA,"127 x 152cm",NA,0.9
"426816","Wilko Knitted Throw Taupe 127 x 152cm","Wilko","Throws","Brown","1",NA,"127 x 152cm",NA,0.9
"426821","Wilko Knitted Throw Charcoal 127 x 152cm","Wilko","Throws","Grey","1",NA,"127 x 152cm",NA,0.9
"428252","Wilko Supersoft Throw Black 200 x 200cm","Wilko","Throws","Black","1",NA,"200 x 200cm",NA,0.9
"428253","Wilko Supersoft Throw Cream 200 x 200cm","Wilko","Throws",NA,"1",NA,"200 x 200cm",NA,0.85
"428254","Wilko Supersoft Throw Silver 200 x 200cm","Wilko","Throws",NA,"1",NA,"200 x 200cm",NA,0.85
"438065","Wilko Faux Fur Print Throw Grey 150 x 200cm","Wilko","Throws",NA,"1",NA,"150 x 200cm",NA,0.85
"438066","Wilko Faux Fur Print Throw Natural 150 x 200cm","Wilko","Throws",NA,"1",NA,"150 x 200cm",NA,0.85
"456444","Wilko Soft Velvet Effect Throw Duck EggBlue 145 x 200cm","Wilko","Throws",NA,"1","Wash at 30","145X200CM","100 % polyester",0.95
"456446","Wilko Matt Quilted Throw Duck Egg Blue 200 x 200cm","Wilko","Throws",NA,"1","Wash at 30","200X200CM","100 % polyester , wadding 100 % cotton",0.95
"456448","Wilko Soft Velvet Effect Throw Pink 145 x 200cm","Wilko","Throws",NA,"1","Wash at 30","145X200CM","100 % polyester",0.95
"456449","Wilko Matt Quilted Throw Taupe 200 x 200cm","Wilko","Throws",NA,"1","Wash at 30","200X200CM","100 % polyester , wadding 100 % cotton",0.95
"456450","Wilko Matt Quilted Throw Silver 200 x 200cm","Wilko","Throws",NA,"1","Wash at 30","200X200CM","100 % polyester , wadding 100 % cotton",0.95
"456453","Wilko Soft Velvet Effect ThrowCream 145 x 200cm","Wilko","Throws",NA,"1","Wash at 30","145X200CM","100 % polyester",0.95
"456455","Wilko Supersoft Throw Duck Egg Blue 200 x 200cm","Wilko","Throws",NA,"1","Wash at 40","200X200CM","100 % polyester",0.95
"456456","Wilko Supersoft Throw Soft Pink 200 x 200cm","Wilko","Throws",NA,"1","Wash at 40","200X200CM","100 % polyester",0.95
"456457","Wilko Black Waffle Throw 200 x 240cm","Wilko","Throws",NA,"1","Wash at 40","200X240CM","100 % polyester",0.95
"456459","Wilko Chenille Throw Navy Blue 125 x 150cm","Wilko","Throws",NA,"1","Wash at 30","125 x 150cm","100% Polyester",0.95
"456460","Wilko Chenille Throw Grey 125 x 150cm","Wilko","Throws",NA,"1","Wash at 30","120X150CM","100% Polyester",0.95
"456464","Wilko Crushed Velvet Effect ThrowSilver 150 x 200cm","Wilko","Throws",NA,"1","Wash at 30","150X200CM","100% Polyester",0.95
"456465","Wilko Faux Fur Throw Cream 150 x 200cm","Wilko","Throws",NA,"1","Wash at 30","150X200CM","100% Polyester",0.95
"426766","Wilko Chenille Throw Teal 125 x 150cm","Wilko Functional","Throws",NA,"1",NA,"125 x 150cm",NA,0.8
"426771","Wilko Chenille Throw Cream 125 x 150cm","Wilko Functional","Throws","Cream","1",NA,"125 x 150cm",NA,0.85
"426819","Wilko Chenille Throw Taupe 125 x 150cm","Wilko Functional","Throws",NA,"1",NA,"125 x 150cm",NA,0.8
"426824","Wilko Chenille Throw Black 125 x 150cm","Wilko Functional","Throws",NA,"1",NA,"125 x 150cm",NA,0.8
"426873","Wilko Chenille Throw Chocolate 125 x 150cm","Wilko Functional","Throws",NA,"1",NA,"125 x 150cm",NA,0.8
"426878","Wilko Chenille Throw Red 125 x 150cm","Wilko Functional","Throws",NA,"1",NA,"125 x 150cm",NA,0.8
"428256","Wilko Teddy Throw Mink and Latte 200 x 200cm","Wilko Functional","Throws",NA,"1",NA,"200 x 200cm",NA,0.8
"428257","Wilko Teddy Throw Black 200 x 200cm","Wilko Functional","Throws",NA,"1",NA,"200 x 200cm",NA,0.8
