"Article","Web Description","DQ Score"
"311016","Wilko Fleece Throw Red 122 x 152cm",1
"311448","Wilko Fleece Throw Cream 122 x 152cm",1
"417739","Wilko Waffle Throw Chocolate 200 x 240cm",1
"455642","Wilko Herringbone Throw Duck Egg 127 x 152cm",1
"456458","Wilko Chenille Throw Soft Pink 125 x 150cm",1
