"Article","Web Description","Brand","Type","Colour","Size","DQ Score"
"325439","Wilko Tamara Rug Green 120 x 170cm","Wilko","Block Pattern Rugs","Green","120x170cm",1
"325441","Wilko Tamara Rug Plum 120 x 170cm","Wilko","Block Pattern Rugs","Purple","120x170cm",1
"445697","Wilko Rug Carved Geo Natural 120x170cm","Wilko","Block Pattern Rugs","Cream","120 x 170cm",1
