"Article","Web Description","Brand","Type","Colour","Size","DQ Score"
"457136","Wilko Garden Weather Vane","Wilko","Weather Vane","Silver","Weather vane 43x33x170cm",1
"457148","Wilko Garden Station Clock","Wilko","Clocks","Gold","Length 4cm, Width 20cm, Height 25cm",1
"457149","Wilko Garden Thermometer","Wilko","Thermometer","Gold","Length 10cm, Width 5cm, Height 25cm",1
