"Article","Web Description","Brand","Type","Pack Qty","Size","Colour","Power","Model Number","DQ Score"
"170184","Adidas Body Spray Ice Dive 150ml","Adidas","Mens Bodysprays",NA,"150ml",NA,NA,NA,0.9125
"313503","Adidas Shower Gel Ice Dive 250ml","Adidas","Male Shower Gel and Body Wash",NA,"250ml",NA,NA,NA,0.9125
"426896","Adidas Extreme Power Body Spray 150ml","Adidas","Mens Deodorant","1",NA,NA,NA,NA,0.8625
"449633","Adidas Champions League 3 Body Spray 150ml","Adidas","Mens Deodorant","1",NA,NA,NA,NA,0.9125
"449634","Adidas Champions League 3 Shower Gel 250ml","Adidas","Male Shower Gel and Body Wash","1",NA,NA,NA,NA,0.9125
"336833","Beckham Deodorant Homme 150ml","Beckham","Mens Bodysprays",NA,"150ml",NA,NA,NA,0.9125
"336858","Beckham Instinct  Aftershave 50ml","Beckham","Aftershave",NA,"50ml",NA,NA,NA,0.9125
"320727","Bic 2 Sensitive Disposables Soft Shave 10pk","Bic","Mens Razors","10",NA,"Multi","NONE","838530",0.95
"434302","Bic Flex 4 Comfort Razors 3pk","Bic","Disposable Razors",NA,NA,NA,NA,NA,0.75
"58185","Bic 1 Disposable Razor Sensitive 10pk","Bic","Mens Razors","1","10 Pack","Multi",NA,NA,0.9
"449511","Brut Deo Attraction Deodorant 200ml","Brut","Mens Deodorant","1",NA,NA,NA,NA,0.9125
"449512","Brut Roll On Deodorant 50ml","Brut","Mens Deodorant","1",NA,NA,NA,NA,0.9125
"286241","Dove Men+Care Extra FreshAnti-Perspirant 250ml","Dove","Mens Deodorant",NA,"250ml",NA,NA,NA,0.9125
"286461","Dove Men+Care Body and Face Wash Clean Comfort250ml","Dove","Male Shower Gel and Body Wash",NA,"250ml",NA,NA,NA,0.9125
"450369","Dove For Men Shower Gel Minerals And Sage 250ml","Dove","Male Shower Gel and Body Wash","1",NA,NA,NA,NA,0.9125
"147317","Gillette Mach 3 Men's Razor Blades 4pk","Gillette","Razor Blades","1",NA,"Multi",NA,NA,0.85
"147318","Gillette Mach3 Men's Razor Blades 8 Refills","Gillette","Razor Blades","1",NA,"Multi",NA,NA,0.85
"199624","Gillette Mach3 Turbo Mens Razor Blades 4pk","Gillette","Razor Blades","1","4 Pack","Multi",NA,NA,0.9
"210390","Gillette Mach3 Men's Razor","Gillette","Mens Razors","1",NA,"Multi",NA,NA,0.85
"214467","Gillette Shaving Foam Sensitive Skin 200ml","Gillette","Mens Shaving Gel","1","200ml","Multi",NA,NA,0.9
"225958","Gillette Contour Plus Replacement Cartridges10pk","Gillette","Razor Blades","1","10 Pack","Multi",NA,NA,0.9
"247676","Gillette Fusion Mens Razor","Gillette","Mens Razors","1",NA,"Multi",NA,NA,0.85
"247678","Gillette Fusion Hydra Gel Sensitive Skin 200ml","Gillette","Mens Shaving Gel","1","200ml","Multi",NA,NA,0.9
"247680","Gillette Fusion Mens Razor Blades 4pk","Gillette","Razor Blades","1",NA,"Multi",NA,NA,0.85
"278842","Gillette Mach3 Disposable Razor 3pk","Gillette","Mens Razors","1",NA,"Multi",NA,NA,0.85
"286209","Gillette Blue III Disposibles 4pk","Gillette","Mens Razors","4",NA,"Multi",NA,NA,0.85
"302123","Gillette Fusion Proglide Hydrating Shave Gel 200ml","Gillette","Mens Shaving Gel","1","200ml","Multi",NA,NA,0.9
"323304","Gillette Fusion Proglide Mens Razor Blades4pk","Gillette","Razor Blades","1",NA,"Multi",NA,NA,0.85
"323307","Gillette Fusion Proglide Power Mens Razor Blades4pk","Gillette","Razor Blades","1","4 Pack","Multi",NA,NA,0.9
"332715","Gillette Sensor 3 Sensitive Mens DisposableRazors 4pk","Gillette","Mens Razors","1","4 Pack","Multi",NA,NA,0.9
"333108","Gillette Fusion Power Mens Razor Blades 4pk","Gillette","Razor Blades","1",NA,"Multi",NA,NA,0.85
"33777","Gillette Shaving Foam Regular 200ml","Gillette","Mens Shaving Gel","1","200ml","Multi",NA,NA,0.941666666666667
"402966","Gillette Sensor 3 Disposable Razors 8pk","Gillette","Mens Razors","8",NA,"Multi",NA,NA,0.85
"412360","Gillette Fusion Proglide Sensitive Ocean BreezeShaving Gel 170ml","Gillette","Mens Shaving Gel","1",NA,NA,NA,NA,0.8
"412364","Gillette Fusion Proglide Sensitive Active SportShaving Gel 170ml","Gillette","Mens Shaving Gel","1",NA,NA,NA,NA,0.8
"413174","Gillette Fusion Proglide Razor with FlexBallTechnology","Gillette","Mens Razors","1",NA,NA,NA,NA,0.8
"413176","Gillette Fusion Proglide Power Razor withFlexBall Technology","Gillette","Mens Razors","1",NA,NA,NA,NA,0.8
"427806","Gillette Mach 3 Sensitive  Gel 200ml","Gillette","Mens Shaving Gel","1",NA,NA,NA,NA,0.8
"430638","Gillette Fushion Proshield Chill Blades 4pk","Gillette","Razor Blades",NA,NA,NA,NA,NA,0.75
"430640","Gillette Fusion Proshield Manual Razor","Gillette","Mens Razors","1",NA,NA,NA,NA,0.86
"430641","Gillette Fusion Proshield Manual Chill Razor","Gillette","Mens Razors","1",NA,NA,NA,NA,0.8
"431266","Gillette Blue 2 Disposable Razor 8pk","Gillette","Mens Razors","8pk",NA,NA,NA,NA,0.8
"433592","Gillette Mach 3 Turbo Mens Razor","Gillette","Mens Razors",NA,NA,NA,NA,NA,0.766666666666667
"438806","Gillette Mach 3 Razor + 11 Blades","Gillette","Mens Razors",NA,NA,NA,NA,NA,0.75
"450094","Gillette Fusion Razor and 10 Blades","Gillette","Mens Razors","10",NA,NA,NA,NA,0.8
"450095","Gillette Fusion Proshield Razor 3 Blades","Gillette","Mens Razors","3",NA,NA,NA,NA,0.8
"451677","Gillette Blue II Disposable Razors 20pk","Gillette","Mens Razors","20",NA,NA,NA,NA,0.8
"453461","Gillette ProShield Razor and 8 Blades","Gillette","Mens Razors","1",NA,NA,NA,NA,0.8
"47690","Gillette Blue II Disposable Razor 5pk","Gillette","Mens Razors","5pk",NA,"Multi",NA,NA,0.883333333333333
"63196","Gillette Sensitive Skin Shave Gel 200ml","Gillette","Mens Shaving Gel","1","195g","Multi",NA,NA,0.941666666666667
"71935","Gillette Series Moisturizing Shaving Gel 200ml","Gillette","Mens Shaving Gel","1","200ml","Multi",NA,NA,0.9
"71936","Gillette Series Sensitive Skin Shaving Gel 200ml","Gillette","Mens Shaving Gel","1","200ml","Multi",NA,NA,0.9
"78871","Gillette Sensor Excel 5 Refill Blades","Gillette","Razor Blades","1",NA,"Multi",NA,NA,0.85
"100436","Just for Men Medium Brown","Just For Men","Mens Hair Dye","1",NA,"Brown",NA,NA,0.93
"100437","Just for Men Dark Brown","Just For Men","Mens Hair Dye","1",NA,"Brown",NA,NA,0.93
"125972","Just for Men Black","Just For Men","Mens Hair Dye","1",NA,"Black",NA,NA,0.93
"162342","Just for Men Light Brown","Just For Men","Mens Hair Dye","1",NA,"Brown",NA,NA,0.93
"450561","Control GX Shampoo 147ml","Just For Men","Shampoo","1",NA,NA,NA,NA,0.81
"450562","Control GX Shampoo & Conditioner 147ml","Just For Men","Shampoo","1",NA,NA,NA,NA,0.81
"169920","Loreal Studio Line Style Rework 150ml","L'Oreal","Hair Gel and Wax","1","150ml",NA,NA,NA,0.88
"338316","Studio Mineral Control Invisi'gel 150ml","L'Oreal","Hair Gel and Wax","1","150ml",NA,NA,NA,0.88
"346424","L'Oreal Men Expert Hydra Energetic Anti-FatigueMoisturiser 50ml","L'Oreal","Mens Moisturisers",NA,"50ml",NA,NA,NA,0.9125
"346425","L'Oreal Men Expert Hydra Energetic DailyMoisturiser 50ml","L'Oreal","Mens Moisturisers",NA,"50ml",NA,NA,NA,0.9125
"346428","L'Oreal Men Expert Hydra Energetic Face Wash150ml","L'Oreal","Mens Face Wash",NA,"150ml",NA,NA,NA,0.9125
"352580","L’Oreal Men Expert Carbon Protect 48HAnti-Perspirant Deodorant 250ml","L'Oreal","Mens Deodorant","1",NA,NA,NA,NA,0.8625
"411985","L'Oreal Studio Matt and Messy Putty 150ml","L'Oreal","Hair Gel and Wax","1",NA,NA,NA,NA,0.86
"445546","L’Oreal Men Expert Hydra Energetic Shower Gel300ml","L'Oreal","Male Shower Gel and Body Wash","1",NA,NA,NA,NA,0.8625
"445547","L’Oreal Men Expert Total Clean Shower Gel 300ml","L'Oreal","Male Shower Gel and Body Wash","1",NA,NA,NA,NA,0.8625
"450667","L’Oreal Men Expert Hydra Sensitive Shower Gel300ml","L'Oreal","Male Shower Gel and Body Wash","1",NA,NA,NA,NA,0.8625
"450668","L’Oreal Men Expert Invincible Sport Shower Gel300ml","L'Oreal","Male Shower Gel and Body Wash","1",NA,NA,NA,NA,0.8625
"450669","L’Oreal Men Expert Sensitive Control 48HDeodorant 250ml","L'Oreal","Mens Deodorant","1",NA,NA,NA,NA,0.8625
"450670","L’Oreal Men Expert Invincible Sport 96HAnti-Perspirant Deodorant 250ml","L'Oreal","Mens Deodorant","1",NA,NA,NA,NA,0.8625
"304363","Lynx Body Spray Africa 200ml","Lynx","Mens Bodysprays","1",NA,NA,NA,NA,0.8625
"412042","Lynx XL Bodyspray Black 200ml","Lynx","Mens Bodysprays","1",NA,NA,NA,NA,0.9125
"412047","Lynx Dry Black Anti-Perspirant 200ml","Lynx","Mens Deodorant","1",NA,NA,NA,NA,0.9125
"412050","Lynx Dry Black Anti-Perspirant 150ml","Lynx","Mens Deodorant","1",NA,NA,NA,NA,0.9125
"412051","Lynx Deodorant Bodyspray Black 150ml","Lynx","Mens Bodysprays","1",NA,NA,NA,NA,0.9125
"438752","Lynx Daily Fragrance Wood and Dark Vanilla 100ml","Lynx","Mens Deodorant","1",NA,NA,NA,NA,0.9125
"438753","Lynx Daily Fragrance Urban Black 100ml","Lynx","Mens Deodorant","1",NA,NA,NA,NA,0.9125
"438754","Lynx Urban Anti-Perspirant 150ml","Lynx","Mens Deodorant","1",NA,NA,NA,NA,0.9125
"438755","Lynx Daily Fragrance Adrenaline Iced Musk andGinger 100ml","Lynx","Mens Deodorant","1",NA,NA,NA,NA,0.9125
"450368","Lynx Be You Body Spray 200ml","Lynx","Mens Deodorant","1",NA,NA,NA,NA,0.9125
