"Article","Web Description","Brand","Capacity","Type","Colour","Pack Qty","Size","Material","DQ Score"
"303603","Beaphar Toothpaste 100g","Beaphar",NA,"Dental Care",NA,"1","100g",NA,0.93
"350234","Beaphar Wound Ointment 30ml","Beaphar",NA,"Wound Ointment",NA,NA,"30ml",NA,0.86
"350235","Beaphar Calming Spot On Dog","Beaphar",NA,"Calming Aids",NA,"1",NA,NA,0.86
"80419","Beaphar Ear Drops for Cats and Dogs 15ml","Beaphar",NA,"Ear Drops",NA,"1","15ml",NA,0.93
"122026","Bob Martin Vetzyme Cond Tabs 240pk","Bob Martin",NA,"Vitamins",NA,"240pk",NA,NA,0.86
"336186","Bob Martin FleaClear Spot On Solution for Small Dogs 67mg","Bob Martin",NA,"Flea and Worming Control",NA,"1","67ml",NA,0.93
"336187","Bob Martin FleaClear Spot On Solution for Medium Dogs 134mg","Bob Martin",NA,"Flea and Worming Control",NA,"1","134mg",NA,0.93
"336188","Bob Martin FleaClear Spot On Solution for Large Dogs 268mg","Bob Martin",NA,"Flea and Worming Control",NA,"1","268mg",NA,0.93
"255840","Flexi Tape Retractable Leash Standard Large 5m/16ft","Flexi",NA,"Dog Leads",NA,"1","5m",NA,0.93
"255841","Flexi Standard 2 Cord Retractable Leash Medium 5m/16ft Assorted","Flexi",NA,"Dog Leads",NA,"1","5m",NA,0.93
"303588","Talking Babble Ball Medium","James & Steel",NA,"Balls",NA,"1","Medium",NA,0.88
"313697","Dog Toy Plush Pheasant","James & Steel",NA,"Character Toys",NA,"1","31 x 13 x 12cm",NA,0.88
"439520","Naturel Promise Fresh Breath Dental Drops","Natural Promise",NA,"Dental Care",NA,"1","65ml",NA,0.88
"454201","Natural Promise Oral Care Kit","Natural Promise",NA,"Dental Care",NA,"1","10.75cmx2.5cmx2.5cm",NA,0.93
"416957","OUT No Chew for Dogs and Puppies 500ml","OUT!",NA,"Training Aids",NA,"1","500ml",NA,0.88
"303587","Pet Qwerks, Inc. Doggy IncrediBubbles Peach Flavored","Pet Qwerks",NA,"Puppy Toys",NA,"1",NA,NA,0.9125
"350230","Dog Toy Plush No Stuffing","Raggy",NA,"Character Toys",NA,"1",NA,NA,0.81
"350258","Dog Guillotine Clipper","Rosewood",NA,"Dog Nail Trimmers",NA,"1",NA,NA,0.81
