"Article","Web Description","Brand","DQ Score"
"346492","AmbiPur Plug In Diffuser Refill Vanilla Harmony 2x 20ml","Ambi Pur",0.88
"bh00001","Better Home Rotary Airer Green 30m","Better Home Products",0.95
"bh00002","Better Home Rotary Airer Silver 40m","Better Home Products",0.95
"bh00005","Better Home Rotary Airer with Hoist 60m","Better Home Products",0.95
"bh00007","Better Home Gentle Grip Pegs 100pk","Better Home Products",0.88
"bh00008","Better Home Wall Mount Airer Silver","Better Home Products",0.88
"bh00009","Better Home Heavy Duty Retractable 5 Line","Better Home Products",0.95
"bh00010","Better Home Heavy Duty Retractable 2 Line","Better Home Products",0.8625
"bh00003","Better Home Rotary Airer Silver 50m","British Ceramic Tile",0.95
"bh00004","Better Home Rotary Airer Silver 60m","British Ceramic Tile",0.95
"431010","Fabreze Fabric Refresher Thai 375ml","Febreze",0.95
"400003","Ironing Tidy 6 Arms with 4 Folding Legs","Wilko",0.95
"403886","MobiDri Portable Washing Line","Wilko",0.88
"1285040","Wilko Rotary Airer 3 Arm 30m","Wilko Functional",0.95
