"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Material","Power","DQ Score"
"276780","Wilko Window Handle UVPC White","Sterling","Window Handles",NA,"1",NA,NA,NA,0.775
"4477046","Wilko Security Door Chain Chrome Effect","Sterling","Door Chain",NA,"1","1 Pack",NA,NA,0.783333333333333
"324582","Stoppy Ultimate Door and Window Stopper Assorted","Stoppy","Door Stops",NA,"1",NA,NA,NA,0.86
"10360","Wilko Roller Catch Double Zinc Plated","Wilko","Door Catches",NA,"1","1 Pack",NA,NA,0.93
"154206","Wilko Mortice Latch 75mm","Wilko","Mortice Latch and Locks",NA,NA,"6x7.5cm",NA,NA,0.825
"154209","Wilko Security Door Chain Brass Effect","Wilko","Door Chain",NA,"1","1 Pack","Steel",NA,0.941666666666667
"154214","Wilko Dead Lock Mortice 3 Lever 65mm","Wilko","Door Locks",NA,NA,"65mm",NA,NA,0.825
"159371","Wilko Door Wedge White PVC","Wilko","Door Stops",NA,"1",NA,NA,NA,0.86
"159406","Wilko Backflap Hinge 25mm 2pk","Wilko","Door Hinges",NA,"2pk","25mm",NA,NA,0.883333333333333
"159419","Wilko Cabinet Hinge Concealed Sprung 35mm","Wilko","Door Hinges",NA,NA,"35mm",NA,NA,0.86
"159496","Wilko Hinge Butt Brass 25mm","Wilko","Door Hinges",NA,"2pk","25mm",NA,NA,0.93
"159500","Wilko Door Bolt Aluminium 50mm","Wilko","Door Bolts",NA,"1","50mm","Aluminium",NA,0.941666666666667
"159501","Wilko Door Bolt Straight Aluminium 75mm","Wilko","Door Bolts",NA,"1","75mm","Aluminium",NA,0.941666666666667
"159502","Wilko Bolt Door Brass 38mm","Wilko","Door Bolts",NA,NA,"38mm","Brass",NA,0.883333333333333
"159503","Wilko Bolt Door Brass 50mm","Wilko","Door Bolts",NA,NA,"50mm","Brass",NA,0.883333333333333
"159504","Wilko Door Bolt Straight Brass 75mm","Wilko","Door Bolts",NA,NA,"75mm","Brass",NA,0.883333333333333
"159505","Wilko Door Bolt Necked Brass 75mm","Wilko","Door Bolts",NA,NA,"75mm","Brass",NA,0.883333333333333
"159506","Wilko Door Bolt Straight Brass 100mm","Wilko","Door Bolts",NA,"1","100mm","Brass",NA,0.941666666666667
"159508","Wilko Door Bolt Chrome Effect 38mm","Wilko","Door Bolts",NA,NA,"38mm","Aluminium",NA,0.883333333333333
"159509","Wilko Door Bolt Straight Chrome Plated Effect 50mm","Wilko","Door Bolts",NA,NA,"50mm",NA,NA,0.825
"159510","Wilko Door Bolt Straight Chrome Plated Effect 75mm","Wilko","Door Bolts",NA,NA,"75mm",NA,NA,0.825
"161280","Wilko Hinge Easy On Sprung Zinc Plated 104 x 42mm","Wilko","Door Hinges",NA,"1","1 Pack",NA,NA,0.93
"1862","Wilko Night Latch Standard Width Door","Wilko","Door Locks",NA,"1","1 Pack",NA,NA,0.883333333333333
"1863","Wilko Night Latch Narrow Width Door","Wilko","Door Locks",NA,"1","1 Pack",NA,NA,0.883333333333333
"1864","Wilko Replacement Cylinder","Wilko","Door Locks",NA,"1","1 Pack",NA,NA,0.883333333333333
"188002","Wilko Deadlocking Night Latch Standard Style","Wilko","Door Locks",NA,NA,"Standard",NA,NA,0.825
"188003","Wilko Deadlocking Night Latch Narrow Style","Wilko","Door Locks",NA,NA,"Narrow",NA,NA,0.825
"190343","Wilko Kiddy Catch Small Plastic","Wilko","Door Catches",NA,NA,"Small",NA,NA,0.825
"190460","Wilko Cabin Hook Polished Brass 100mm","Wilko","Cabin Hooks",NA,NA,"100mm","Brass",NA,0.883333333333333
"261102","Wilko Door Wedge Rubber Grey","Wilko","Door Stops",NA,"1","1 Pack",NA,NA,0.93
"26442","Wilko Door Security Bolts 2pk","Wilko","Door Bolts",NA,"2pk","2 Pack",NA,NA,0.883333333333333
"26443","Wilko Security Bolt Keys 2pk","Wilko","Door Locks",NA,"2pk","3x8cm",NA,NA,0.883333333333333
"276776","Sterling Rim Sashlock And Knobs Set Black","Wilko","Door Locks",NA,NA,"152x101mm, 6x4in",NA,NA,0.775
"279892","Wilko Round Door Stop  Aluminium Finish","Wilko","Door Stops",NA,"1","1 Pack",NA,NA,0.93
"307153","Wilko Mortice Latch Nickel Plated 63mm","Wilko","Mortice Latch and Locks",NA,NA,"63mm",NA,NA,0.825
"307154","Wilko Mortice Latch Nickel Plated 75mm","Wilko","Mortice Latch and Locks",NA,NA,"75mm",NA,NA,0.825
"343219","Wilko Flat Dimpled Handle Chrome 120mm","Wilko","Cupboard Handles","Metal",NA,"96mm",NA,NA,0.883333333333333
"343220","Wilko Dimple Handle Satin Effect 120mm","Wilko","Cupboard Handles","Red",NA,"96mm",NA,NA,0.883333333333333
"343223","Wilko Snail Shaped Door Wedge","Wilko","Door Stops",NA,"1",NA,NA,NA,0.86
"343224","Wilko Stop Shaped Door Wedge","Wilko","Door Stops",NA,"1",NA,NA,NA,0.86
"343225","Cheese Shaped Door Wedge","Wilko","Door Stops",NA,"1",NA,NA,NA,0.81
"343318","Wilko T Bar Style Handle Chrome 190mm","Wilko","Cupboard Handles","Metal",NA,"190mm",NA,NA,0.883333333333333
"343319","Wilko T Bar Style Handle Chrome 233mm","Wilko","Cupboard Handles","Metal","1","233mm",NA,NA,0.941666666666667
"343341","Wilko Cylinder Lock Nickel 45 x 55mm","Wilko","Euro Cyclinder","Metal",NA,"45x55mm",NA,NA,0.883333333333333
"343342","Wilko Cylinder  Lock Nickel 40 x 50mm","Wilko","Euro Cyclinder","Metal","1","40x50mm",NA,NA,0.941666666666667
"343343","Wilko Cylinder Lock  Nickel 45 x 45mm","Wilko","Euro Cyclinder","Metal","1","45x55mm",NA,NA,0.941666666666667
"343344","Wilko Cylinder Lock  Nickel 35 x 45mm","Wilko","Euro Cyclinder","Metal","1","35x45mm",NA,NA,0.941666666666667
"343458","Wilko T Bar Style Handle Chrome 150mm","Wilko","Cupboard Handles","Metal",NA,"96mm",NA,NA,0.883333333333333
"343504","Wilko T Bar Handle Satin 233mm","Wilko","Cupboard Handles","Metal",NA,"160mm",NA,NA,0.883333333333333
"343505","Wilko T Bar Handle satin 190mm","Wilko","Cupboard Handles",NA,"1","158mm",NA,NA,0.883333333333333
"343506","Wilko T Bar Style Handle Satin 150mm","Wilko","Cupboard Handles",NA,NA,"96mm",NA,NA,0.825
"343510","Wilko Dimpled Knob Satin 28mm","Wilko","Cupboard Knobs","Red",NA,"28mm",NA,NA,0.883333333333333
"343511","Wilko Pumpkin Style Knob 30mm","Wilko","Cupboard Knobs",NA,"1","30mm",NA,NA,0.883333333333333
"343512","Wilko Pumpkin Style Knob 40mm","Wilko","Cupboard Knobs",NA,NA,"40mm",NA,NA,0.825
