"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Material","Power","DQ Score"
"343513","Wilko Round Knob Bright Chrome 25mm","Wilko","Cupboard Knobs",NA,"1","25mm","Zinc",NA,0.941666666666667
"343514","Wilko Round Knob  Ceramic Cracked 40mm","Wilko","Cupboard Knobs",NA,"1","40mm",NA,NA,0.883333333333333
"343515","Wilko Round Antique Brass Effect Metal Knob 25mm","Wilko","Cupboard Knobs","Wood",NA,"25mm",NA,NA,0.883333333333333
"343516","Wilko Round Knob Glass Crystal 30mm","Wilko","Cupboard Knobs",NA,NA,"30mm",NA,NA,0.825
"343517","Wilko Round Knob Glass Crystal 40mm","Wilko","Cupboard Knobs",NA,NA,"40mm",NA,NA,0.825
"343519","Wilko Patio Door Bolt - Satin Chrome","Wilko","Patio Door Bolts",NA,"1","1 Pack",NA,NA,0.93
"343520","Wilko Patio Door Bolt   White","Wilko","Patio Door Bolts",NA,"1","1 Pack",NA,NA,0.93
"343521","Wilko Knob Brass Victorian 32mm","Wilko","Door Knobs","Metal","1","32mm",NA,NA,0.941666666666667
"343524","Wilko Door Knob Satin Victorian 32mm","Wilko","Door Knobs","Red",NA,"32mm",NA,NA,0.883333333333333
"343525","Wilko Fleur Handle Black 175mm","Wilko","Door Handles","Metal",NA,"175mm",NA,NA,0.883333333333333
"343526","Wilko D Sash Type Handle 100mm","Wilko","Door Handles",NA,"1","100mm",NA,NA,0.883333333333333
"343527","Wilko Door Handle Bright Chrome 155mm","Wilko","Cupboard Handles","Metal",NA,"128mm",NA,NA,0.883333333333333
"343553","Wilko Dimpled Handle Satin 155mm","Wilko","Cupboard Handles",NA,NA,"128mm",NA,NA,0.825
"343554","Wilko Fleur Handle 100mm","Wilko","Door Handles",NA,NA,"100mm",NA,NA,0.825
"343558","Wilko Knob Brass Victorian 25mm","Wilko","Door Knobs","Metal","1","25mm",NA,NA,0.941666666666667
"343563","Wilko Knob Brass Victorian 38mm","Wilko","Door Knobs","Metal",NA,"38mm",NA,NA,0.883333333333333
"343670","Wilko Glide Bolt Brass  4in","Wilko","Door Bolts",NA,"1","4in","Brass",NA,0.941666666666667
"343671","Wilko Glide Bolt Brass  6in","Wilko","Door Bolts",NA,NA,"6in",NA,NA,0.825
"343672","Wilko Glide Bolt Chrome 4in","Wilko","Door Bolts",NA,"1","4in","Brass",NA,0.941666666666667
"343673","Wilko Glide Bolt Chrome 6in","Wilko","Door Bolts",NA,NA,"6in",NA,NA,0.825
"343690","Wilko Bow Handle Satin 150mm","Wilko","Cupboard Handles",NA,NA,"150mm",NA,NA,0.825
"343691","Wilko Bo Handle Matt   Nickel 96mm","Wilko","Cupboard Handles",NA,NA,"105mm",NA,NA,0.825
"343694","Wilko Door Knob Chrome  Button 25mm","Wilko","Door Knobs","Metal","1","25mm",NA,NA,0.941666666666667
"343695","Wilko Door Knob Chrome Button 38mm","Wilko","Door Knobs","Metal",NA,"38mm",NA,NA,0.883333333333333
"343696","Wilko Door Knob Chrome  Button 32mm","Wilko","Door Knobs","Metal","1","32mm",NA,NA,0.941666666666667
"343697","Wilko Door Knob Brass   Georgian 25mm","Wilko","Door Knobs","Metal","1","25mm",NA,NA,0.941666666666667
"343698","Wilko Door Knob Brass   Georgian 38mm","Wilko","Door Knobs","Metal",NA,"38mm",NA,NA,0.883333333333333
"343699","Wilko Door Knob Brass   Georgian 32mm","Wilko","Door Knobs","Metal",NA,"32mm",NA,NA,0.883333333333333
"343700","Wilko Door Knob Satin   Button 25mm","Wilko","Door Knobs","Red",NA,"25mm",NA,NA,0.883333333333333
"343701","Wilko Door Knob Satin   Button 38mm","Wilko","Door Knobs","Red",NA,"38mm",NA,NA,0.883333333333333
"343933","Wilko Paris Round Rose Chrome","Wilko","Door Handles",NA,"1","2 Pack",NA,NA,0.883333333333333
"343934","Wilko Paris Latch Satin Nickel","Wilko","Door Handles",NA,NA,"15.5x4.5cm",NA,NA,0.825
"343936","Wilko Paris Round Rose Satin Nickel","Wilko","Door Handles",NA,"1","2 Pack",NA,NA,0.883333333333333
"343939","Wilko Seville     Latch Satin Nickel","Wilko","Door Handles",NA,"1","2 Pack",NA,NA,0.883333333333333
"343992","Wilko Seville Lock Satin Nickel","Wilko","Door Handles",NA,"1","2 Pack",NA,NA,0.883333333333333
"343993","Wilko Versailles Latch Chrome Effect","Wilko","Door Handles",NA,NA,"2 Pack",NA,NA,0.825
"343994","Wilko Versailles Lock Chrome Effect","Wilko","Door Handles",NA,"1","2 Pack",NA,NA,0.883333333333333
"343995","Wilko Versailles Round  Rose Chrome Door Handle","Wilko","Door Handles",NA,NA,"1 Pack",NA,NA,0.825
"343996","Wilko Versailles Latch Matt Chrome Effect","Wilko","Door Handles",NA,"1","2 Pack",NA,NA,0.883333333333333
"343997","Wilko Versailles Lock Matt Chrome Effect","Wilko","Door Handles",NA,"1","2 Pack",NA,NA,0.883333333333333
"343999","Wilko Toulouse Latch Chrome Effect","Wilko","Door Handles",NA,"1","2 Pack",NA,NA,0.883333333333333
"344000","Wilko Toulouse Lock Chrome Effect","Wilko","Door Handles",NA,"1","2 Pack",NA,NA,0.883333333333333
"344001","Wilko Toulouse Round Rose Door Handle Chrome","Wilko","Door Handles",NA,"1","2 Pack",NA,NA,0.883333333333333
"344003","Wilko Toulouse Lock Matt Chrome Effect","Wilko","Door Handles",NA,"1","2 Pack",NA,NA,0.883333333333333
"344005","Wilko S Shaped Round Rose Handle Satin Nickel","Wilko","Door Handles",NA,"1","2 Pack",NA,NA,0.883333333333333
"344010","Wilko Escutcheon Brass","Wilko","Escutcheon",NA,"1","2 Pack",NA,NA,0.883333333333333
"344011","Wilko Escutcheon Chrome","Wilko","Escutcheon",NA,"1","2 Pack",NA,NA,0.883333333333333
"344014","Wilko Door Stopper Floor Mounted Chrome","Wilko","Door Stops",NA,"1","1 Pack",NA,NA,0.883333333333333
"344015","Wilko Door Stopper Floor Mounted Brass","Wilko","Door Stops",NA,"1","1 Pack",NA,NA,0.883333333333333
"344021","Wilko Casement Stay Chrome  Effect 10in","Wilko","Casement Stay",NA,"1","10in",NA,NA,0.93
"344022","Wilko Cylinder Pull Chrome","Wilko","Euro Cyclinder",NA,"1","1 Pack",NA,NA,0.883333333333333
"344023","Wilko Cylinder Pull Brass","Wilko","Euro Cyclinder",NA,"1","1 Pack",NA,NA,0.883333333333333
"344025","Wilko Slim Door Knocker Chrome Plated","Wilko","Door Knockers",NA,"1","1 Pack",NA,NA,0.883333333333333
"344026","Wilko Standard Brass Door Knocker","Wilko","Door Knockers",NA,"1","1 Pack",NA,NA,0.883333333333333
"344027","Wilko Brass Letter Plate 10in","Wilko","Letter Box",NA,NA,"10in",NA,NA,0.825
"344029","Wilko Casement Stay Brass 10in","Wilko","Casement Stay",NA,NA,"10in",NA,NA,0.86
"344030","Wilko Letter Plate Chrome 10in","Wilko","Letter Box",NA,NA,"10in",NA,NA,0.825
"344031","Wilko Number 2 Chrome","Wilko","Chrome Numbers",NA,NA,"1 Pack",NA,NA,0.825
"344032","Wilko Number 3 Chrome","Wilko","Chrome Numbers",NA,NA,"1 Pack",NA,NA,0.825
"344033","Wilko Number 4 Chrome","Wilko","Chrome Numbers",NA,NA,"1 Pack",NA,NA,0.825
"344034","Wilko Number 5 Chrome","Wilko","Chrome Numbers",NA,NA,"8cmx4cm",NA,NA,0.825
"344035","Wilko Number 6/9 Chrome","Wilko","Chrome Numbers",NA,NA,"1 Pack",NA,NA,0.825
"344036","Wilko Number 7 Chrome","Wilko","Chrome Numbers",NA,NA,"1 Pack",NA,NA,0.825
"344037","Wilko Number 8 Chrome","Wilko","Chrome Numbers",NA,NA,"1 Pack",NA,NA,0.825
"344038","Wilko Number 0 Chrome","Wilko","Chrome Numbers",NA,"1","1 Pack",NA,NA,0.883333333333333
"344060","Wilko Seville Latch  Black Nickel","Wilko","Door Handles",NA,"1","2 Pack",NA,NA,0.883333333333333
"344062","Wilko Seville Round Rose Sat/Black","Wilko","Door Handles","Black","1","2 Pack",NA,NA,0.941666666666667
"344067","Wilko Chateau Latch Matt Chrome Effect","Wilko","Door Handles",NA,"1","2 Pack",NA,NA,0.883333333333333
"344068","Wilko Chateau Round Rose Mat Crome","Wilko","Door Handles",NA,"1","2 Pack",NA,NA,0.883333333333333
"344070","Wilko Belmont Round Rose Satin","Wilko","Door Handles",NA,"1","2 Pack",NA,NA,0.883333333333333
"344072","Wilko Ambassador  Round Rose","Wilko","Door Handles",NA,"1","2 Pack",NA,NA,0.883333333333333
"344073","Wilko Paris Latch Chrome Effect","Wilko","Door Handles",NA,"1","2 Pack",NA,NA,0.883333333333333
"344074","Wilko Paris Lock Chrome Effect","Wilko","Door Handles",NA,"1","2 Pack",NA,NA,0.883333333333333
"344253","Wilko Light Butt Hinge Chrome Plated 25mm","Wilko","Door Hinges",NA,NA,"25mm",NA,NA,0.86
"344254","Wilko Light Butt Hinge Chrome Plated 38mm","Wilko","Door Hinges",NA,NA,"38mm",NA,NA,0.86
"344255","Wilko Light Butt Hinge Chrome Plated 50mm","Wilko","Door Hinges",NA,NA,"50mm",NA,NA,0.86
"344256","Wilko Light Butt Hinge Chrome Plated 65mm","Wilko","Door Hinges",NA,NA,"65mm",NA,NA,0.86
"344257","Wilko Light Butt Hinge Chrome Plated 75mm","Wilko","Door Hinges",NA,NA,"75mm",NA,NA,0.86
"344258","Wilko Butt hinge Stainless Steel Satin 75mm","Wilko","Door Hinges",NA,"1","75mm",NA,NA,0.93
"344259","Wilko Light Butt Hinge Chrome Plated 100mm","Wilko","Door Hinges",NA,NA,"100mm",NA,NA,0.86
"344261","Wilko Butt Hinge Satin Stainless Steel 100mm","Wilko","Door Hinges",NA,NA,"100mm",NA,NA,0.86
"344264","Wilko Brass Number 1","Wilko","Brass Numbers",NA,"1","1 Pack",NA,NA,0.883333333333333
"344265","Wilko Brass Number 2","Wilko","Brass Numbers",NA,"1","1 Pack",NA,NA,0.883333333333333
"344266","Wilko Brass Number 3","Wilko","Brass Numbers",NA,NA,"1 Pack",NA,NA,0.825
"344267","Wilko Brass Number 4","Wilko","Brass Numbers",NA,NA,"1 Pack",NA,NA,0.825
"344275","Wilko Brass Number 5","Wilko","Brass Numbers",NA,NA,"1 Pack",NA,NA,0.825
"344276","Wilko Brass Number 6/9","Wilko","Brass Numbers",NA,NA,"1 Pack",NA,NA,0.825
"344277","Wilko Brass Number 7","Wilko","Brass Numbers",NA,"1","1 Pack",NA,NA,0.883333333333333
"344430","Wilko Brass Number 8","Wilko","Brass Numbers",NA,NA,"1 Pack",NA,NA,0.825
"344557","Wilko Brass Number 0","Wilko","Brass Numbers",NA,NA,"1 Pack",NA,NA,0.825
"344584","Wilko Curved Bar Matt Chrome 128mm","Wilko","Cupboard Handles",NA,NA,"128mm",NA,NA,0.825
"344585","Wilko Curved Bar Matt Chrome 96mm","Wilko","Cupboard Handles",NA,"1","Medium 96mm",NA,NA,0.883333333333333
"344589","Wilko Curved Bar Chrome 96mm","Wilko","Cupboard Handles","Red",NA,"96mm",NA,NA,0.883333333333333
"344604","Wilko Flat/Curve Satin Finish Handle 96mm","Wilko","Cupboard Handles",NA,NA,"96mm",NA,NA,0.825
"344650","Wilko U Shape Knocker   Antique","Wilko","Door Knockers","Metal","1","1 Pack",NA,NA,0.941666666666667
"344656","Wilko Spiral D Pewter Knob","Wilko","Cupboard Handles","Metal","1","1 Pack",NA,NA,0.941666666666667
"344657","Wilko Handle Antique 96mm","Wilko","Cupboard Handles","Metal",NA,"96mm",NA,NA,0.883333333333333
"344658","Wilko Handle Pewter 96mm","Wilko","Cupboard Handles","Metal",NA,"96mm",NA,NA,0.883333333333333
"344669","Wilko Shell Handle  Pewter","Wilko","Cupboard Handles","Metal",NA,"1 Pack",NA,NA,0.883333333333333
"344684","Wilko Number 1 Chrome","Wilko","Chrome Numbers",NA,NA,"1 Pack",NA,NA,0.825
"344723","Wilko Square Knob Satin 25mm","Wilko","Cupboard Knobs","Red",NA,"28mm",NA,NA,0.883333333333333
"344726","Wilko Curve Square Chrome Handle 32mm","Wilko","Cupboard Knobs",NA,NA,"28mm",NA,NA,0.825
"344731","Wilko Glitter Heart Knob","Wilko","Door Knobs",NA,"1","1 Pack",NA,NA,0.883333333333333
"344733","Wilko Button Knob","Wilko","Cupboard Knobs",NA,NA,"1 Pack",NA,NA,0.825
"344735","Wilko Antique Shell Handle","Wilko","Cupboard Handles","Metal","1","1 Pack",NA,NA,0.941666666666667
"344916","Wilko Cranked Hinge Brassed 50 x 10mm","Wilko","Door Hinges",NA,"1","50x10mm",NA,NA,0.883333333333333
"344917","Wilko Butt Hinge  Brassed 38mm","Wilko","Door Hinges","Metal",NA,"38mm",NA,NA,0.883333333333333
"344918","Wilko Butt Hinge  Brassed 50mm","Wilko","Door Hinges","Metal","1","50mm",NA,NA,0.941666666666667
"344920","Wilko Butt Hinge  Brassed 75mm","Wilko","Door Hinges","Metal","1","75mm",NA,NA,0.941666666666667
"344921","Wilko Butt Hinge  Brassed 100mm","Wilko","Door Hinges","Metal",NA,"100mm",NA,NA,0.883333333333333
"344923","Wilko Butt Hinge Steel Self Colour 38mm","Wilko","Door Hinges","Metal","1","38mm",NA,NA,0.941666666666667
"344924","Wilko Butt Hinge Steel Self Colour 100mm","Wilko","Door Hinges","Metal",NA,"100mm",NA,NA,0.883333333333333
"344926","Wilko Flush Hinge Brassed 40mm","Wilko","Door Hinges",NA,"1","40mm",NA,NA,0.883333333333333
"344930","Wilko Cabinet Hinge Concealed Spring 26mm","Wilko","Door Hinges",NA,NA,"26mm",NA,NA,0.86
"344932","Magnetic Catch White Single Plate","Wilko","Door Catches",NA,NA,"1 Pack",NA,NA,0.81
"344969","Wilko Belmont Lock Brass Satin Nickel","Wilko","Door Handles",NA,"1","2 Pack",NA,NA,0.883333333333333
"345044","Wilko Door Stop Spring Brass","Wilko","Door Stops",NA,NA,"1 Pack",NA,NA,0.86
"345045","Wilko Door Stop Spring Chrome Plated","Wilko","Door Stops",NA,NA,"1 Pack",NA,NA,0.86
"345046","Wilko Rubber Door Stop  Black Round","Wilko","Door Stops",NA,"1","3cm",NA,NA,0.93
"345064","Wilko Door Stop Projection Chrome Effect","Wilko","Door Stops",NA,"1","1 Pack",NA,NA,0.93
"345454","Wilko Paris Latch Black Satin Nickel","Wilko","Door Handles",NA,"1","2 Pack",NA,NA,0.883333333333333
"345456","Wilko Ambassador Latch Chrome","Wilko","Door Handles",NA,"1","2 Pack",NA,NA,0.883333333333333
"345457","Wilko Ambassador Lock Chrome","Wilko","Door Handles",NA,"1","2 Pack",NA,NA,0.883333333333333
"345458","Wilko Chrome Night Latch","Wilko","Door Locks",NA,"1","1 Pack",NA,NA,0.883333333333333
"4495440","Wilko Rim Lock 101 x 76mm","Wilko","Door Locks",NA,NA,"4in",NA,NA,0.825
"4495840","Wilko Door Lock 3 Lever Mortice 65mm","Wilko","Door Locks",NA,NA,"2.5in",NA,NA,0.825
"4537940","Wilko Bales Catch Number 7 19mm","Wilko","Door Catches",NA,NA,"19mm",NA,NA,0.86
"4538343","Wilko Ball Catch Adjustable Double Brass","Wilko","Door Catches",NA,"1","1 Pack",NA,NA,0.93
"4543740","Wilko Roller Door Catch Adjustable Brass Effect","Wilko","Door Catches",NA,"1","1 Pack",NA,NA,0.93
"59348","Wilko 5 Lever Mortice lock 65mm","Wilko","Door Locks",NA,NA,"65mm",NA,NA,0.825
"59349","Wilko 5 Lever Mortice Sashlock 65mm","Wilko","Door Locks",NA,NA,"65mm",NA,NA,0.825
"59351","Wilko Door Security Bolts 2pk","Wilko","Door Bolts",NA,"2pk","2 Pack",NA,NA,0.883333333333333
"343132","Wilko Plastic D Shape Handles White 100mm","Wilko Functional","Cupboard Handles","White","4pk","105mm",NA,NA,0.891666666666667
"343507","Wilko Plastic Knob White 32mm 8pk","Wilko Functional","Cupboard Knobs","White","1","32mm",NA,NA,0.891666666666667
"343508","Wilko Plastic Knob White 48mm 8pk","Wilko Functional","Cupboard Knobs","White","1","48mm",NA,NA,0.891666666666667
"344049","Wilko Functional Lever Latch Aluminium","Wilko Functional","Door Handles",NA,"1","2 Pack",NA,NA,0.883333333333333
"344050","Wilko Functional Lever Lock Aluminium","Wilko Functional","Door Handles",NA,"1","2 Pack",NA,NA,0.883333333333333
"344051","Wilko Functional Georgian Latch Brass","Wilko Functional","Door Handles",NA,NA,"2 Pack",NA,NA,0.825
"344052","Wilko Functional  Georgian Lock Brass","Wilko Functional","Door Handles",NA,"1","2 Pack",NA,NA,0.883333333333333
"344053","Wilko Functional Victorian Scroll Latch","Wilko Functional","Door Handles",NA,NA,"2 Pack",NA,NA,0.825
"344054","Wilko Functional  Victorian Scroll Lock","Wilko Functional","Door Handles",NA,"1","2 Pack",NA,NA,0.883333333333333
"344055","Wilko Victorian Functional Latch Chrome","Wilko Functional","Door Handles",NA,NA,"2 Pack",NA,NA,0.775
"344056","Wilko  Functional  Victorian lock Chrome","Wilko Functional","Door Handles",NA,"1","2 Pack",NA,NA,0.833333333333333
"344057","Wilko Functional Victorian Knob Chrome","Wilko Functional","Door Knobs",NA,"1",NA,NA,NA,0.825
"344058","Wilko Functional Victorian Knob Brass","Wilko Functional","Door Knobs",NA,"1",NA,NA,NA,0.825
"344059","Wilko  Functional Georgian knob Brass","Wilko Functional","Door Knobs",NA,"1",NA,NA,NA,0.775
"276978","Yale Deadlocking Nightlatch High Security 40mmPart Number P85 DMG","Yale","Door Locks",NA,NA,"2.5in, 64mm",NA,NA,0.825
"276996","Yale Lock Replacement Rim Cylinder with KeysPart Number P1109","Yale","Door Locks",NA,NA,"1 Pack","Brass",NA,0.883333333333333
"336919","Yale Replacement Window Handle PVCu White","Yale","Window Handles","White","1","2 Pack",NA,NA,0.941666666666667
"345430","Yale Traditional Nightlatch Standard Security60mm Part Number P77","Yale","Door Locks",NA,"1","60mm",NA,NA,0.883333333333333
"345431","Yale Deadlocking Nightlatch High Security ChromeEffect 40mm Part Number P85","Yale","Door Locks",NA,"1","1 Pack",NA,NA,0.883333333333333
"345432","Yale Deadlocking Nightlatch High Security ChromeEffect 60mm Part Number P89","Yale","Door Locks",NA,"1","1 Pack",NA,NA,0.883333333333333
"345433","Yale Sashlock British Standard Maximum SecurityChrome Effect 64mm Part Number PM560","Yale","Door Locks",NA,"1","1 Pack",NA,NA,0.883333333333333
"345434","Yale Deadlock British Standard 5 Lever ChromeEffect 64mm Part Number PM562","Yale","Door Locks",NA,"1","1 Pack",NA,NA,0.883333333333333
"345435","Yale Sashlock 2 lever Standard Security BrassEffect 64mm Part Number PM246","Yale","Door Locks",NA,"1","1 Pack",NA,NA,0.883333333333333
"345436","Yale Sashlock 2 Lever Standard Security ChromeEffect 64mm Part Number PM246","Yale","Door Locks",NA,"1","1 Pack",NA,NA,0.883333333333333
"345437","Yale Bathroom Mortice Lock 2 1/2 Chrome","Yale","Door Handles",NA,"1","10cm x 6cm",NA,NA,0.883333333333333
"345438","Yale Sashlock Bathroom Standard Security BrassFinish Part Number PM236","Yale","Door Handles",NA,"1","1 Pack",NA,NA,0.883333333333333
"345439","Yale Rim Cylinder Replacement Standard SecurityChrome Effect Part Number P1109","Yale","Euro Cyclinder",NA,"1","1 Pack",NA,NA,0.883333333333333
"345441","Yale Replacement Door Lock Cylinder MaximumSecurity Part Number PKM3545","Yale","Euro Cyclinder",NA,"1","35x45mm",NA,NA,0.883333333333333
"345442","Yale Euro Profile Cylinder British Standard HighSecurity Part Number PKM4050","Yale","Euro Cyclinder",NA,NA,"40x50mm",NA,NA,0.825
"345443","Yale Euro Profile Cylinder British Standard HighSecurity Part Number PKM4045","Yale","Euro Cyclinder",NA,"1","40x45mm",NA,NA,0.883333333333333
"345444","Yale Euro Profile Cylinder British Standard HighSecurity Part Number PKM3535","Yale","Euro Cyclinder",NA,NA,"35x35mm",NA,NA,0.825
"345445","Yale PVCu Window Stop Standard Security WhitePart Number VK8k103","Yale","Window Stop",NA,"1","1 Pack",NA,NA,0.93
"345446","Yale Tubular Latch Standard Security Brass Effect64mm Part Number PM888","Yale","Tubular Latch",NA,"1","1 Pack",NA,NA,0.883333333333333
"345447","Yale Tubular Latch Standard Security Chrome Effect64mm/2.5in PM888","Yale","Tubular Latch",NA,NA,"2.5in",NA,NA,0.825
"345448","Yale Tubular Latch Standard Security Brass Effect76mm/3in PM888","Yale","Tubular Latch",NA,"1","3in",NA,NA,0.883333333333333
"345449","Yale Tubular Latch Standard Security Chrome Effect76mm/3in PM888","Yale","Tubular Latch",NA,"1","3in",NA,NA,0.883333333333333
