"Article","Web Description","Brand","Type","Colour","Power","Pack Qty","Size","Model Number","DQ Score"
"447385","Kitchen Craft Slate and Wood Serving Stand 2 Tier","Kitchen Kraft","Serving Stand","Multi","N/A","1","Size of platters: 36cm x 14cm 36cm x 24cm",NA,0.9
"447441","Luxe Lounge Mojito Cocktail Set 4 Pack","Luxe Lounge","Cocktail Kit","Silver",NA,"1","Glass 15.2cm x 8.2cm, Shaker 21.5cm x 8.4cm, Spoon",NA,0.9
"434392","Wilko Chip Bucket","Wilko","Serving Bucket",NA,NA,"1","11cm",NA,0.85
"434393","Wilko Chip Dustbin","Wilko","Serving Bucket",NA,NA,"1","8.5cm",NA,0.85
"434394","Wilko Mini Frypan with Board","Wilko","Serving Pan",NA,NA,"1","Frypan 11.5cm, board 13.7cm",NA,0.85
"435861","Wilko Chopping Board Pizza","Wilko","Chopping Board",NA,NA,NA,NA,NA,0.75
"435862","Wilko Chopping Board With Handle","Wilko","Chopping Board",NA,NA,NA,NA,NA,0.75
"441911","Serving Set Black Script 5 Piece","Wilko","Serving Trays and Dishes","Black",NA,"5",NA,NA,0.8
"441918","Dip Bowls Square on Wooden Tray 4pcs","Wilko","Dip Dishes","White",NA,"4",NA,NA,0.8
"449305","Wilko Pitcher With Fruit Infuser 2.1 Litre","Wilko","Pitcher",NA,NA,"1","21cm x 14cm x 25.7cm",NA,0.85
