"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Assembly","Power","DQ Score"
"SES","BAR","416346","La Hacienda Patio Heater Wall Mounted 2000W","La Hacienda",".0%O",".0%O",".0%O","Outdoor Heaters","25x50","Black","No","electrical 2000w heater",1
"SES","BAR","416347","La Hacienda Patio Heater Adjustable Standing 2000W","La Hacienda",".0%O",".0%O",".0%O","Outdoor Heaters","180-210x50x48","Black","No","electric 200w heater",1
