"PSA_1","PSA_2","Article","Web Description","Brand","Type","Power","Pack Qty","Size","Colour","Assembly","Material","Washable","Model Number","Age","DQ Score"
"SES","BAR","456180","Restaurant Charcoal 12kg","Bar-Be-Quick","Charcoal",NA,"1","12kg",NA,NA,NA,NA,NA,NA,0.88
"SES","BAR","456181","Bar-Be-Quick FSC Lumpwood 8kg","Bar-Be-Quick","Charcoal",NA,"1","8kg",NA,NA,NA,NA,NA,NA,0.88
"SES","BAR","416339","La Hacienda Squat Chimenea Pewter","La Hacienda","Chimineas",NA,NA,"72x36.5x36.5",NA,"Yes",NA,NA,NA,NA,0.883333333333333
"SES","BAR","416341","La Hacienda Colorado Contemporary Chimenea Medium","La Hacienda","Chimineas",NA,NA,"125x45x45","Black","Yes",NA,NA,NA,NA,0.941666666666667
"SES","BAR","416343","La Hacienda Albion Steel Fire Bowl Black","La Hacienda","Firepits",NA,NA,"41x51x51","Black","Yes",NA,NA,NA,NA,0.941666666666667
"SES","BAR","432100","La Hacienda Parasol Patio Heater 2400W","La Hacienda","Outdoor Heaters","2400W",NA,NA,NA,"No",NA,NA,NA,NA,0.883333333333333
"SES","BAR","455203","La Hacienda Universal Cowboy Cookout Stove","La Hacienda","Charcoal Stove",NA,NA,"92cm Height x 45cm Width x 46cm Depth",NA,"Yes",NA,NA,NA,NA,0.833333333333333
"SES","BAR","455204","La Hacienda Garden Tripod with Hanging Grill","La Hacienda","Firepit Grill",NA,NA,"172cm Height x 128cm Width x 108cm Depth",NA,"Yes",NA,NA,NA,NA,0.833333333333333
"SES","BAR","455205","La Hacienda Garden Firepit Kala Oxidised","La Hacienda","Firepits",NA,NA,"38cm Height x 56cm Diameter",NA,"Yes",NA,NA,NA,NA,0.833333333333333
"SES","BAR","455206","La Hacienda Garden Firepit Denver Stainless Steel","La Hacienda","Firepits",NA,NA,"54cm Height  x 61cm Diameter",NA,"Yes",NA,NA,NA,NA,0.833333333333333
"SES","BAR","455207","La Hacienda Garden Firebasket Minnesota Steel","La Hacienda","Firebaskets",NA,NA,"45cm Height x 34cm Width x Depth 34cm",NA,"Yes",NA,NA,NA,NA,0.833333333333333
"SES","BAR","455208","La Hacienda Garden Firebasket Alberta Steel","La Hacienda","Firebaskets",NA,NA,"51cm Height x 43cm Diameter",NA,"Yes",NA,NA,NA,NA,0.833333333333333
"SES","BAR","455209","La Hacienda Chimenea Skyline Contemporary Steel","La Hacienda","Chimneas",NA,NA,"150cm Height x 36cm Width x 36cm Depth",NA,"Yes",NA,NA,NA,NA,0.833333333333333
"SES","BAR","455211","La Hacienda Handmade Chimenea Copper Effect94cm High","La Hacienda","Chimneas",NA,NA,"94cm Height x 40cm Diameter",NA,"Yes",NA,NA,NA,NA,0.833333333333333
"SES","BAR","lh00006","La Hacienda Murcia Steel Chimenea Large","La Hacienda","Chimineas",NA,NA,NA,"Black","Yes",NA,NA,NA,NA,0.833333333333333
"SES","BAR","329407","Wilko DIY Charcoal Grill","Wilko","Charcoal BBQ's",NA,"1","Medium",NA,NA,NA,NA,NA,NA,0.93
"SES","BAR","339412","Wilko Lighting Gel 500ml","Wilko","Lighting Fluid",NA,"1","500ml",NA,NA,NA,NA,NA,NA,0.93
"SES","BAR","408874","Wilko American Charcoal Grill","Wilko","Charcoal BBQ's",NA,"1","112cm x 121cm x 71cm",NA,NA,NA,NA,NA,NA,0.93
"SES","BAR","428600","Wilko Oil Drum Barbecue","Wilko","Charcoal BBQ's",NA,"1","94.5cm x 106cm x 55cm",NA,NA,NA,NA,NA,NA,0.93
"SES","CAM","450505","Yellowstone Dome Tent 4 Man","Yellowstone","Tents",NA,NA,"240x210x130cm",NA,"No","Polyester",NA,NA,NA,0.941666666666667
"SES","GFN","436189","Sorrento Wheeled Sun Lounger Taupe","Amir","Loungers",NA,NA,"103x72x133",NA,NA,NA,NA,NA,NA,0.8625
"SES","GFN","435247","Greenhurst Rose Armchair Patio Set 3pc","Gablemere","Bistro Sets",NA,NA,"Chairs - H89 x W46 x D43cm, Table - H66 x 69cm Dia",NA,"No","Polyurethane",NA,NA,NA,0.891666666666667
"SES","GFN","456340","Greenhurst Garden Seat Glider Single","Gablemere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.775
"SES","GFN","456341","Greenhurst Low Level Garden Glider Table","Gablemere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.775
"SES","GFN","456323","Zest 4 Leisure Dorset Arbour Seat and StorageBox Wooden","Zest 4 Leisure","Benches and Swing Seats",NA,NA,"1.568m x 0.670m x 1.995m",NA,"Yes","Wood",NA,NA,NA,0.941666666666667
"SES","GFN","456324","Zest 4 Leisure Rutland Arbour Seat Wooden","Zest 4 Leisure","Benches and Swing Seats",NA,NA,"1.568m x 0.670m x 1.995m",NA,"Yes","Wood",NA,NA,NA,0.941666666666667
"SES","GFN","456325","Zest 4 Leisure Abbey Garden Bench","Zest 4 Leisure","Benches and Swing Seats",NA,NA,"1.18m x 0.73m x 0.73m",NA,"Yes","Wood",NA,NA,NA,0.941666666666667
"SES","GFN","456326","Zest 4 Leisure Abbey Rocking Chair WoodenFSC Certified Timber","Zest 4 Leisure","Chairs",NA,NA,"0.68m x 0.89m x 0.73m",NA,"Yes","Wood",NA,NA,NA,0.941666666666667
"SES","GFN","456327","Zest 4 Leisure Abbey Square Table and 4 Chair SetFSC Certified Timber","Zest 4 Leisure","4 Seaters",NA,NA,"2.56m x 2.56m x 0.73m",NA,"Yes","Wood",NA,NA,NA,0.941666666666667
"SES","GFN","456328","Zest 4 Leisure Abbey Round Table and 4 Chair SetFSC Certified Timber","Zest 4 Leisure","4 Seaters",NA,NA,"2.36m x 2.36m x 0.73m",NA,"Yes","Wood",NA,NA,NA,0.941666666666667
"SES","GFN","456329","Zest 4 Leisure Abbey Companion Set Wooden","Zest 4 Leisure","Benches and Swing Seats",NA,NA,"1.75m x 0.89m x 0.73m",NA,"Yes","Pressure-treated, FSC-certified timber",NA,NA,NA,0.941666666666667
"SES","GFN","456330","Zest 4 Leisure Lily Wooden Garden Bench","Zest 4 Leisure","Benches and Swing Seats",NA,NA,"1.22m x 0.93m x 0.92m",NA,"Yes","Wood",NA,NA,NA,0.941666666666667
"SES","GFN","456331","Zest 4 Leisure Lily Rocking Chair","Zest 4 Leisure","Chairs",NA,NA,"0.72m x 1.14m x 0.99m",NA,"Yes","Wood",NA,NA,NA,0.941666666666667
"SES","GFN","456332","Zest 4 Leisure Lily Relax Garden Chair","Zest 4 Leisure","Chairs",NA,NA,"0.72m x 0.92m x 0.92m",NA,"Yes","Wood",NA,NA,NA,0.941666666666667
