"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Age","Model Number","DQ Score"
"SES","BAR","456180","Restaurant Charcoal 12kg","Bar-Be-Quick","75.0CM","18.0CM","42.0CM","Charcoal","12kg",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.88
"SES","BAR","456181","Bar-Be-Quick FSC Lumpwood 8kg","Bar-Be-Quick","60.0CM","16.0CM","28.0CM","Charcoal","8kg",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.88
"SES","BAR","416339","La Hacienda Squat Chimenea Pewter","La Hacienda",".0%O",".0%O",".0%O","Chimineas","72x36.5x36.5",NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,0.883333333333333
"SES","BAR","416341","La Hacienda Colorado Contemporary Chimenea Medium","La Hacienda",".0%O",".0%O",".0%O","Chimineas","125x45x45","Black",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,0.941666666666667
"SES","BAR","416343","La Hacienda Albion Steel Fire Bowl Black","La Hacienda",".0%O",".0%O",".0%O","Firepits","41x51x51","Black",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,0.941666666666667
"SES","BAR","416346","La Hacienda Patio Heater Wall Mounted 2000W","La Hacienda",".0%O",".0%O",".0%O","Outdoor Heaters","25x50","Black",NA,NA,"No",NA,"electrical 2000w heater",NA,NA,NA,NA,1
"SES","BAR","416347","La Hacienda Patio Heater Adjustable Standing 2000W","La Hacienda",".0%O",".0%O",".0%O","Outdoor Heaters","180-210x50x48","Black",NA,NA,"No",NA,"electric 200w heater",NA,NA,NA,NA,1
"SES","BAR","432100","La Hacienda Parasol Patio Heater 2400W","La Hacienda","9.0CM","49.0CM","45.0CM","Outdoor Heaters",NA,NA,NA,NA,"No",NA,"2400W",NA,NA,NA,NA,0.883333333333333
"SES","BAR","455203","La Hacienda Universal Cowboy Cookout Stove","La Hacienda","92.0CM","46.0CM","45.0CM","Charcoal Stove","92cm Height x 45cm Width x 46cm Depth",NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,0.833333333333333
"SES","BAR","455204","La Hacienda Garden Tripod with Hanging Grill","La Hacienda","172.0CM","108.0CM","128.0CM","Firepit Grill","172cm Height x 128cm Width x 108cm Depth",NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,0.833333333333333
"SES","BAR","455205","La Hacienda Garden Firepit Kala Oxidised","La Hacienda","38.0CM","56.0CM","56.0CM","Firepits","38cm Height x 56cm Diameter",NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,0.833333333333333
"SES","BAR","455206","La Hacienda Garden Firepit Denver Stainless Steel","La Hacienda","54.0CM","61.0CM","61.0CM","Firepits","54cm Height  x 61cm Diameter",NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,0.833333333333333
"SES","BAR","455207","La Hacienda Garden Firebasket Minnesota Steel","La Hacienda","45.0CM","34.0CM","34.0CM","Firebaskets","45cm Height x 34cm Width x Depth 34cm",NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,0.833333333333333
"SES","BAR","455208","La Hacienda Garden Firebasket Alberta Steel","La Hacienda","51.0CM","43.0CM","43.0CM","Firebaskets","51cm Height x 43cm Diameter",NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,0.833333333333333
"SES","BAR","455209","La Hacienda Chimenea Skyline Contemporary Steel","La Hacienda","150.0CM","36.0CM","36.0CM","Chimneas","150cm Height x 36cm Width x 36cm Depth",NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,0.833333333333333
"SES","BAR","455211","La Hacienda Handmade Chimenea Copper Effect94cm High","La Hacienda","94.0CM","40.0CM","40.0CM","Chimneas","94cm Height x 40cm Diameter",NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,0.833333333333333
"SES","BAR","lh00006","La Hacienda Murcia Steel Chimenea Large","La Hacienda","107.0CM","43.0CM","43.0CM","Chimineas",NA,"Black",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,0.833333333333333
"SES","BAR","329407","Wilko DIY Charcoal Grill","Wilko","6.5CM","67.0CM","37.0CM","Charcoal BBQ's","Medium",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"SES","BAR","339412","Wilko Lighting Gel 500ml","Wilko","27.0CM","7.5CM","7.5CM","Lighting Fluid","500ml",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"SES","BAR","408874","Wilko American Charcoal Grill","Wilko","112.0CM","79.0CM","121.0CM","Charcoal BBQ's","112cm x 121cm x 71cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"SES","BAR","428600","Wilko Oil Drum Barbecue","Wilko","26.5CM","43.5CM","81.5CM","Charcoal BBQ's","94.5cm x 106cm x 55cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"SES","CAM","449314","Bestway Double Couch 5 -in- 1","Bestway","11.5CM","33.0CM","35.0CM","Airbeds",NA,NA,"1","PVC","No",NA,NA,NA,NA,NA,NA,0.65
"SES","CAM","449315","Bestway Restaira Premium Airbed","Bestway","17.5CM","39.3CM","40.0CM","Airbeds",NA,NA,"1","PVC","No",NA,NA,NA,NA,NA,NA,0.65
