"Article","Web Description","Brand","Type","Colour","Size","DQ Score"
"310230","Wilko Shower Curtain Naturals Stripe","Wilko","Shower Curtains","Cream","180cm x180cm",1
"327210","Wilko Butterfly Shower Curtain","Wilko","Shower Curtains","White","180cm x 180cm",1
