"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Capacity","Coverage","Material","DQ Score"
"314273","Arden Grange Adult Complete Dry Dog Food Rich in Lamb and Rice 2kg","Arden Grange","Small Bagged Food",NA,NA,"2kg",NA,NA,NA,0.9125
"303733","Rooster Booster 125g","Battle","Food",NA,NA,"125g",NA,NA,NA,0.8625
"303735","Battle Poultry Stockholm Tar 400g","Battle","Healthcare",NA,NA,"400g",NA,NA,NA,0.9125
"303736","Battle Poultry Drink 250ml","Battle","Housing Accessories",NA,NA,"250ml",NA,NA,NA,0.9125
"303739","Battle Poultry Red Mite Powder 500g","Battle","Healthcare",NA,NA,"500g",NA,NA,NA,0.9125
"303803","Battle Poultry Disinfectant Cleaner 1L","Battle","Healthcare",NA,NA,"1L",NA,NA,NA,0.9125
"314423","Beaphar Shampoo Odour Neutraliser 250ml","Beaphar","Shampoo and Conditioner",NA,NA,"250ml",NA,NA,NA,0.86
"314441","Beaphar Multi Vitamin Paste Duo-Active 100g","Beaphar","Vitamins",NA,NA,"100g",NA,NA,NA,0.86
"314442","Beaphar Hairball Paste 2in1 Remedy 100g","Beaphar","Hairball Paste",NA,NA,"100g",NA,NA,NA,0.9125
"314712","Beaphar Tooth Gel for Dogs and Cats 100g","Beaphar","Dental Care",NA,NA,"100g",NA,NA,NA,0.86
"314893","Beaphar Gentle Leader Large","Beaphar","Dog Collars","Multi",NA,"Large",NA,NA,NA,0.93
"453829","Bob Martin Skin Soother Spray 75ml","Bob Martin","Calming Aids",NA,"1","3.8cm x 3.8cm x 14.5cm",NA,NA,NA,0.93
"453830","Bob Martin Joint Formula High Strength Oil 150ml","Bob Martin","Calming Aids",NA,"1","150ml",NA,NA,NA,0.93
"453831","Bob Martin High Strength Flexible Joint Tablets30 Tablets","Bob Martin","Calming Aids",NA,"30","30s",NA,NA,NA,0.93
"453832","Bob Martin Stay Calm Nutritional Oil 150ml","Bob Martin","Calming Aids",NA,"1","150ml",NA,NA,NA,0.93
"453833","Bob Martin Omega 3 Fish Oil 150ml","Bob Martin","Calming Aids",NA,"1","3.6cm x 5.8cm x 14.2cm",NA,NA,NA,0.93
"453834","Bob Martin Dry Skin Oil 150ml","Bob Martin","Calming Aids",NA,"1","3.6cm x 5.8cm x 14.2cm",NA,NA,NA,0.93
"453914","Felight Cat Litter 20L","Bob Martin","Cat Litter",NA,"1","20L",NA,NA,NA,0.88
