"Article","Web Description","Brand","Type","Colour","Size","Assembly","Material","DQ Score"
"216789","Wilko Magnifying Glass","Wilko","Magnifying Glasses","Black","Width 7.5cm / Height 15.5cm","No",NA,0.941666666666667
"261316","Wilko Box File A4 with Elastic Corners","Wilko","Box File","Multi","A4","No",NA,0.941666666666667
