"Article","Web Description","Brand","Type","DQ Score"
"136420","Glade Candle Bali Sandalwood and Jasmine120g","Glade","Branded Candles",1
"136422","Glade Fragranced Candle With Love 120g","Glade","Branded Candles",1
"237326","Glade Candle Honey and Chocolate 120g","Glade","Branded Candles",1
"296291","Wilko Tealights 8 Hour Burn Time 30pk","Wilko","Tealights",1
"304026","Wilko Candles Taper Ivory 10pk","Wilko","Tapered Candle",1
"341084","Wilko Scented Pillar Candle Lavender Fields7 x 14.5cm","Wilko","Fragranced Candles",1
"341096","Wilko Tealight Lavender Field 30pk","Wilko","Tealights",1
"341102","Wilko Church Candle White 7 x 12.5cm","Wilko","Pillar Candle",1
"341103","Wilko Church Candle White 7 x 20cm","Wilko","Pillar Candle",1
"413634","Wilko Party Numerical Birthday Candle Number 0","Wilko","Candles",1
"413635","Wilko Party Numerical Birthday Candle Number 1","Wilko","Candles",1
"455609","Wilko LED Glitter Tealights Silver 6pk","Wilko","LED Candles",1
"455614","Wilko LED Glitter Tealights Red 6pk","Wilko","LED Candles",1
"455620","Wilko Red Glitter Star Candle","Wilko","Candles",1
"455630","Wilko Scented Tealight Silver Sparkling Winter24pk","Wilko","Tealights",1
