"Article","Web Description","Brand","Type","Colour","Power","Pack Qty","Size","Model Number","DQ Score"
"440860","Energizer Vision Headlight 2 Light Mode","Energizer","Head Torch","Blue","AAA batteries","1","Head torch with 3 x AAA batteries",NA,0.95
"440861","Energizer Vision HD Headlight 4 Light Mode","Energizer","Torch","Green","AAA batteries","1","Head torch with 3 x AAA batteries",NA,0.95
"440862","Energizer Compact Lantern 2 Light Mode","Energizer","Torch","Grey","AA batteries","1","Compact Lantern with 4 x AA Batteries",NA,0.95
"289469","Wilko Torch Ultra Bright LED","Wilko","Torches","Black","Battery","1","Compact",NA,0.95
"292421","Wilko Torch Handy Black LED","Wilko","Torches",NA,"Battery","1",NA,NA,0.85
"341933","Wilko Torch 3 LED Yellow","Wilko","Torches",NA,"Battery","3pk",NA,NA,0.85
"405782","LED Push Lights Silver 2pk","Wilko","Push Lights",NA,NA,"2 Pack",NA,NA,0.75
"420158","Wilko Sensor Light and Torch","Wilko","Safety Lights",NA,NA,"1",NA,NA,0.8
"441027","Wilko LED Spotlight and Lantern","Wilko","Torches","Red",NA,"1","17 x 9.5 x 14 cm",NA,0.9
"441028","Wilko Head Torch COB LED","Wilko",NA,"Black",NA,"1","7 x 4.8 x 3.5 cm",NA,0.85
"441030","Wilko LED Sensor Light Plug In","Wilko",NA,NA,NA,"1","9.5 x 6 x 6 cm",NA,0.8
"441031","Wilko Push Light 3 SMD","Wilko",NA,NA,NA,"1","7.5 x 7.5 x 2.5 cm",NA,0.8
"441032","Wilko PIR Sensor Light 3 SMD","Wilko",NA,NA,NA,"1","9.4 x 9.4 x 2.9 cm",NA,0.8
"441047","Wilko Micro Torch 3 LED","Wilko","Torch","Silver",NA,"1","2.7 x 2.7 x 5.5 cm",NA,0.9
"441076","Wilko Pocket Torch 6 SMD","Wilko",NA,"Black",NA,"1","2.7 x 2.7 x 16 cm",NA,0.85
"441077","Wilko Chip on Board Work Light","Wilko",NA,"Yellow",NA,"1","5.5 x 2.5 x 21 cm",NA,0.85
"454627","Wilko Magnetic Torch","Wilko","Torch","Multi",NA,"1",NA,NA,0.85
"454628","Wilko USB Rechargeable Torch","Wilko","Torch","Multi",NA,"1","1 x 3.7V",NA,0.9
"454629","Wilko COB LED Aluminium Torch","Wilko","Torch","Metal",NA,"1","3 x AAA",NA,0.9
"454630","Wilko LED Aluminium Torch","Wilko","Torch","Metal",NA,"1","3 x AAA",NA,0.9
"454631","Wilko LED Armoured Torch 3W CREE","Wilko","Torch","Black","Batteries not included","1","2 x AA",NA,0.95
"454632","Wilko LED Aluminium Torch 5W CREE","Wilko","Torch","Black","Batteries not included","1","3 x C",NA,0.95
"454637","Wilko Quick Release Keyring Torch","Wilko","Torch","Black",NA,"1","2 x CR2032",NA,0.9
