"Article","Web Description","Brand","Type","Coverage","Colour","Pack Qty","Size","Material","DQ Score"
"438131","Arthouse Wallpaper Woodland Fairies Pink","Arthouse","Kids Wallpaper","5.33m²","Pink","1","10m x 0.53m",NA,0.95
"438132","Arthouse Wallpaper Woodland Fairies White","Arthouse","Kids Wallpaper","5.33m²","White","1","10m x 0.53m",NA,0.95
"438136","Arthouse Wallpaper Bear Hugs Mint","Arthouse","Kids Wallpaper","5.33m²","Green","1","10m x 0.53m",NA,0.95
"438137","Arthouse Wallpaper Dino Doodles Multicoloured","Arthouse","Kids Wallpaper","5.33m²","Multi","1","10m x 0.53m",NA,0.95
"438140","Arthouse Wallpaper Tiffany Stripe Duck Egg","Arthouse","Kids Wallpaper","5.33m²","Blue","1","10m x 0.53m",NA,0.95
"438141","Arthouse Wallpaper Tiffany Stripe White","Arthouse","Kids Wallpaper","5.33m²","White","1","10m x 0.53m",NA,0.95
"438144","Arthouse Wallpaper Cosmos Charcoal","Arthouse","Kids Wallpaper","5.33m²","Black","1","10m x 0.53m",NA,0.95
"438147","Arthouse Wallpaper Graffiti Red","Arthouse","Kids Wallpaper","5.33m²","Red","1","10m x 0.53m",NA,0.95
"424086","Disney Wallpaper Mickey Vintage Episode","Disney","Kids Wallpaper","5.2m2",NA,"1","52cm x 10m","Paper",0.95
"434795","Fine Decor Heart Stickers 18pcs","Fine Decor","Wall Stickers",NA,NA,"1","30cm x 60cm","Vinyl",0.9
