"Article","Web Description","Brand","Capacity","Type","Colour","Pack Qty","Size","Material","DQ Score"
"334093","Curver Pet Life Dry Pet Food Container 10L","Curver","4kg","Food Containers","Multi","1","4kg",NA,0.95
"334098","Curver Pet Life Dry Pet Food Container 35L","Curver","12kg","Food Containers",NA,"1","12kg",NA,0.9
"334099","Curver Pet Life Dry Pet Food Container 54L","Curver","20kg","Food Containers",NA,"1","10kg",NA,0.9
"314875","Rosewood Pet Products Double Diner Set Stainless Steel 2.25L Adjustable","Rosewood",NA,"Bowl","Silver","1","2.25L","Stainless Steel",0.95
"334252","Rosewood Place Settings For Messy Animals Black Stripe","Rosewood",NA,"Placemat",NA,"1","44cmx28cm",NA,0.85
"10765","Stainless Steel Dog Bowl Small","Wilko",NA,"Bowl",NA,"1","Small","Stainless Steel",0.85
"10766","Dog Bowl Metal Medium","Wilko",NA,"Bowl",NA,NA,"Medium","Metal",0.8
"121919","Dog Placemat","Wilko",NA,"Placemat",NA,"1",NA,NA,0.75
"439465","Melamine Twin Pet Bowl Assorted","Wilko",NA,"Bowl",NA,"1","26.5 x 15 x 5cm","Melamine and Wood Pulp",0.85
"439466","Melamine Pet Bowl Assorted","Wilko",NA,"Bowl",NA,"1","Small","Melamine",0.85
"450636","Wilko Chalkboard Dog Bowl Small","Wilko",NA,"Bowl",NA,NA,"Small","Stoneware",0.85
"450637","Wilko Chalkboard Dog Bowl Medium","Wilko",NA,"Bowl",NA,NA,"Medium","Stoneware",0.85
"450638","Wilko Chalkboard Dog Bowl Large","Wilko",NA,"Bowl",NA,NA,"Large","Stoneware",0.85
"70442","Dog Bowl Metal Large","Wilko",NA,"Bowl",NA,"1","Large","Metal",0.85
"9531640","Wilko Double Plastic Dog Dinner Assorted Small","Wilko",NA,"Bowl","Multi","1","24.8cm x 13.4cm x 48cm","Plastic",0.95
