"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Age","DQ Score"
"294172","Wilko Mum to Be Maternity Briefs Medium 5 Briefs","Wilko","Briefs","Multi","5","Medium",NA,0.941666666666667
"294174","Wilko Mum to Be Maternity Towels 10pk","Wilko","Pads","Multi","10",NA,NA,0.883333333333333
"294175","Wilko Mum to Be Maternity Breast Pads 40pk","Wilko","Breast Pads","Multi","40","40 Pads",NA,0.941666666666667
