"Article","Web Description","Brand","Type","DQ Score"
"335664","Evolution Aqua Pure Pond 500ml","Evolution Aqua","Cleaning and Water Control",1
"314433","King British Green Water Control Pond Water Treatment 250ml","King British","Cleaning and Water Control",1
"314435","King British White Spot Control Pond Fish Medicine250ml","King British","Cleaning and Water Control",1
"314437","King British Sludge Remover Pond Water Treatment 250ml","King British","Cleaning and Water Control",1
"335691","King British Barley Straw Extract 250ml","King British","Cleaning and Water Control",1
"335666","Pondnature Fish Treats Mix","Pondnature","Food",1
"335667","Pondnature Freshwater Shrimp","Pondnature","Food",1
"335668","Pondnature Pond Pellets 1L","Pondnature","Food",1
"335669","Pondnature Pond Flake","Pondnature","Food",1
"335671","Pondnature Pond Pellets 5L","Pondnature","Food",1
"335672","Pondnature Pond Sticks 5L","Pondnature","Food",1
"314650","Supa Vacation Pond Fish Food 50g","Supa","Food",1
"418581","Wilko Pond Pellets 1kg","Wilko","Food",1
"418582","Wilko Pond Variety Sticks 1kg","Wilko","Food",1
