"Article","Web Description","Brand","Type","Colour","Power","Pack Qty","Age","Size","DQ Score"
"448314","Fisher Price BeatBo Mini Figure","Fisher Price","Learning Toys","Multi",NA,"1","6 Months +",NA,0.941666666666667
"448304","Mega Bloks Build N Learn Bag","Mega Blocks","Learning Toys","Multi",NA,"1","12 Months +",NA,0.891666666666667
"427495","Paw Patrol Action Pup and Badge Assortment","Paw Patrol","Figure Playsets","Multi",NA,"1","2 Years +",NA,0.941666666666667
"427496","Paw Patrol Pup Racers Assortment","Paw Patrol","Figure Playsets","Multi",NA,"1","2 Years +",NA,0.941666666666667
"427497","Paw Patrol Vehicle with Pup Assortment","Paw Patrol","Figure Playsets","Multi",NA,"1","2 Years +",NA,0.941666666666667
"427498","Paw Patrol Plush Pup Pals Assortment","Paw Patrol","Soft Toys","Multi",NA,"1","12 Months +",NA,0.9
"428063","Paw Patrol Mashems Assortment","Paw Patrol","Collectables","Multi",NA,"1","3 Years +",NA,0.941666666666667
"439768","Paw Patrol Pup Squirters","Paw Patrol","Water Toys","Multi",NA,"1","3 Years +",NA,0.941666666666667
"440513","Paw Patrol Weebles Figures","Paw Patrol","Collectables","Multi",NA,"1","18 Months +",NA,0.941666666666667
"447543","Paw Patrol Walkie Talkie","Paw Patrol","Walkie Talkies","Multi",NA,"1","3 Years +",NA,0.941666666666667
"448345","Paw Patrol Mini Figures Assortment","Paw Patrol","Collectables","Multi",NA,"1","3 Years +",NA,0.941666666666667
"330555","Peppa Pig Music Set","Peppa Pig","Musical Toys","Multi",NA,"1","3 Years +",NA,0.941666666666667
"337556","TY Peppa Pig Key Chain Assortment","Peppa Pig","Soft Toys","Multi",NA,"1","From Birth",NA,0.9
"440514","Peppa Pig Weebles Figures Assortment","Peppa Pig","Figures","Multi",NA,"1","18 Months +",NA,0.941666666666667
"440515","Peppa Pig Vehicle Assortment","Peppa Pig","Figure Playsets","Multi",NA,"1","3 Years +",NA,0.941666666666667
"440518","Peppa Pig Magna Doodle","Peppa Pig","Magnetic Sketcher","Multi",NA,"1","3 Years +",NA,0.941666666666667
"451208","Peppa Pig Mini Buggies Assortment","Peppa Pig","Figure Playsets","Multi",NA,"1","2 Years +",NA,0.941666666666667
"448264","Plasticine Tool Kit","Plasticine","Dough and Modelling","Multi",NA,"1","5 Years +",NA,0.941666666666667
"284458","Play Doh Classic Colours 4pk","Play Doh","Dough and Modelling","Multi",NA,"4","2 Years +",NA,0.941666666666667
"298244","Play Doh Can Assortment","Play Doh","Dough and Modelling","Multi",NA,"1","2 Years +",NA,0.941666666666667
"448200","Play Doh Marvel Can Heads","Play Doh","Dough and Modelling","Multi",NA,"1","3 Years +",NA,0.941666666666667
"439432","Sofia The First Doll Assorted 5in","Sofia","Dolls","Multi",NA,"1","3 Years +",NA,0.9
"438912","Stickle Bricks Beginners Box","Stickle Bricks","Stickle Bricks",NA,NA,"1","3Y+",NA,0.883333333333333
"428047","Teletubbies Collectable Figure Assortment","Teletubbies","Figure Playsets","Multi",NA,"1","18 Months +",NA,0.941666666666667
"428052","Teletubbies Collectable Soft Toy Assortment","Teletubbies","Soft Toys","Multi",NA,"1","18 Months +",NA,0.941666666666667
"409167","Thomas Mighty Minis Blind Bag","Thomas & Friends","Collectables","Multi",NA,"1","3 Years +",NA,0.891666666666667
"428506","Thomas The Tank Engine Soft Ball","Thomas & Friends","Play Balls","Multi",NA,"1","12 Months +",NA,0.891666666666667
"448309","My First Thomas Roll n Pop Engine","Thomas & Friends","Learning Toys","Multi",NA,"1","12 Months +",NA,0.891666666666667
"448311","Thomas & Friends Small Engine","Thomas & Friends","Collectables","Multi",NA,"1","3 Years +",NA,0.941666666666667
"448312","Thomas & Friends Large Talking Engine","Thomas & Friends","Learning Toys","Multi",NA,"1","3 Years +",NA,0.941666666666667
"454666","Thomas and Friends Mini Collector Case","Thomas & Friends","Trains and Playsets","Multi",NA,"1","3 Years +",NA,0.841666666666667
"301198","Vtech Baby Tiny Tot Driver","Vtech","Learning Toys","Multi",NA,"1","12 Months +",NA,0.941666666666667
"419727","Vtech Baby My 1st Key Rattle","Vtech","Pushchair Toys","Multi",NA,"1","From Birth",NA,0.941666666666667
"438849","Vtech Swim and Splash Dolphin","Vtech","Learning Toys","Multi",NA,"1","6 Months +",NA,0.941666666666667
"438854","Vtech Paw Patrol Treat Time Marshall","Vtech","Learning Toys","Multi",NA,"1","18 Months +",NA,0.941666666666667
"438855","Vtech Paw Patrol Pups To The Rescue","Vtech","Learning Toys","Multi",NA,"1","12 Months +",NA,0.941666666666667
"448319","Vtech Peek and Play Phone","Vtech","Learning Toys","Multi",NA,"1","18 Months +",NA,0.941666666666667
"448320","Vtech Little Singing Puppy","Vtech","Pushchair Toys","Multi",NA,"1","18 Months +",NA,0.941666666666667
"448321","Vtech Little Friendlies Hippo Teether","Vtech","Pushchair Toys","Multi",NA,"1","6 Months +",NA,0.941666666666667
"448323","Vtech Toot Toot Driver Fire Engine Book","Vtech","Learning Toys","Multi",NA,"1","12 Months +",NA,0.941666666666667
"448324","Vtech Toot Toot Driver Drive and Discover Police Car","Vtech","Learning Toys","Multi",NA,"1","6 Months +",NA,0.941666666666667
"448326","Vtech Sing Along Microphone","Vtech","Musical Toys","Multi",NA,"1","12 Months +",NA,0.941666666666667
