"Article","Web Description","DQ Score"
"448344","Paw Patrol Ryder's Pup Pad",1
"425035","Smoby Bon Appetit Kitchen",1
"330600","Vtech Baby Toot Toot Drivers Deluxe Track Set",1
"419721","Vtech Baby Little Friendlies Sing AlongSpinning Wheel",1
"428481","Vtech Sort And Discover Drum",1
"438491","Vtech Sit and Discover Ride On",1
"438840","Vtech Toot Toot Friends Kingdom Fairy",1
"438845","Vtech Babys Laptop",1
"438846","Vtech Push and Play Spinning Top",1
"438847","Vtech Cosy Kitten Carrier",1
"438852","Vtech Teletubbies Time To Rhyme Book",1
"450516","Vtech Toot Toot Drivers Assortment",1
"402734","Wilko Play Kettle",1
