"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","DQ Score"
"441966","Fairy Original Fabric Conditioner 2.905L","Fairy","Fabric Conditioners",NA,"1","2.905L",1
"297018","Febreze Fabric Freshener Lavender 500ml","Febreze","Fabric Fresheners",NA,"1","500ml",1
"400324","Lenor Unstoppables Fresh 375g","Lenor","Fabric Fresheners",NA,"1","375g",1
"400325","Lenor Unstoppables Lavish 375g","Lenor","Fabric Fresheners",NA,"1","375g",1
"400341","Lenor Fabric Conditioner Fresh Meadow 44 Washes1.1L","Lenor","Fabric Conditioners",NA,"1","1.1L",1
"400344","Lenor Fabric Conditioner Ocean Escape 37 Washes925ml","Lenor","Fabric Conditioners",NA,"1","925ml",1
"422363","Lenor Unstoppables Uplift 275g","Lenor","Fabric Fresheners",NA,"1","275g",1
"428910","Lenor Gold Orchid Fabric Conditioner 1.8L","Lenor","Fabric Conditioners",NA,"1","1.8L",1
"428911","Lenor Ocean Escape Fabric Conditioner 1.8L","Lenor","Fabric Conditioners",NA,"1","1.8L",1
"432514","Lenor Unstoppables Spring 375g","Lenor","Fabric Fresheners",NA,"1","375g",1
"338144","Persil Small and Mighty Washing LiquidColour Protect 770ml","Persil","Liquid and Gel Detergents",NA,"1","770ml",1
"351784","Persil Colour Protect Washing Powder1.61kg","Persil","Washing Powder",NA,"1","23 Washes",1
"351785","Persil Non-Bio Washing Powder1.61kg","Persil","Washing Powder",NA,"1","23 Washes",1
"434075","Persil Bio Capsules 22 Washes","Persil","Liquitabs",NA,"1","22 tabs",1
"434079","Persil Non Bio Capsules 22 Washes","Persil","Liquitabs",NA,"1","22 tabs",1
"434092","Persil Colour Protect Capsules 22 Washes","Persil","Liquitabs",NA,"1","22 tabs",1
"434094","Persil Powder Non Bio 45 Washes","Persil","Washing Powder",NA,"1","3.185kg",1
"434071","Surf Bio Capsules Tropical Lily and Ylang Ylang33 Washes","Surf","Liquitabs",NA,"1","33 tabs",1
"434096","Surf Bio Herbal Extract 33 Washes","Surf","Liquitabs",NA,"1","33 tabs",1
"206458","Vanish Oxi Action Stain Remover 500g","Vanish","Stain and Pre-Treatment Agents",NA,"1","500g",1
"243084","Vanish Oxi Action Crystal White Fabric StainRemover 500g","Vanish","Stain and Pre-Treatment Agents",NA,"1","500g",1
"347226","Vanish Pre Treat Stain Remover Gel 200ml","Vanish","Stain and Pre-Treatment Agents",NA,"1","200ml",1
"347229","Vanish Gold Oxi Stain Remover  470g","Vanish","Stain and Pre-Treatment Agents",NA,"1","470g",1
"411870","Vanish White Gold Stain Remover 470g","Vanish","Stain and Pre-Treatment Agents",NA,"1","470g",1
"411871","Vanish White Gold Stain Remover 940g","Vanish","Stain and Pre-Treatment Agents",NA,"1","940g",1
"454173","Vanish White Platinum Powder 470g","Vanish","Stain and Pre-Treatment Agents ",NA,"1","470g",1
"454174","Vanish Pink Platinum Powder 470g","Vanish","Stain and Pre-Treatment Agents",NA,"1","470g",1
"454176","Vanish Pink Platinum Gel 940ml","Vanish","Stain and Pre-Treatment Agents ",NA,"1","940ml",1
"454177","Vanish White Platinum Gel 940ml","Vanish","Stain and Pre-Treatment Agents",NA,"1","940ml",1
"454178","Vanish Gold Oxi Action Stain Remover Gel 940ml","Vanish","Stain and Pre-Treatment Agents",NA,"1","940ml",1
"203195","Wilko Laundry Water Softening 15pk","Wilko","Water Softener",NA,"15","225g",1
"332009","Wilko Original Citric Acid 250g","Wilko","Limescale Remover",NA,NA,NA,1
"412410","Wilko Original Liquid Soapflakes 750ml","Wilko","Liquid and Gel Detergents",NA,NA,NA,1
"432770","Wilko Bio Liquid Tabs 18 Washes","Wilko","Liquitabs",NA,"18","18 tabs",1
"432771","Wilko Non Bio Liquid Tabs 18 Washes","Wilko","Liquitabs",NA,"18","18 tabs",1
"432773","Wilko Bio Liquid Detergent Eucalyptus Leaf andWhite Rose 1L","Wilko","Liquid and Gel Detergents",NA,"1","1L",1
"432774","Wilko Non Bio Liquid Detergent White Lily andFresh Apple 1L","Wilko","Liquid and Gel Detergents",NA,"1","1L",1
"432775","Wilko Fragrance Boost Exotic Ylang andFressia 480g","Wilko","Fabric Fresheners",NA,"1","400g",1
"433035","Wilko Colour Collector 10pk","Wilko","Stain and Pre-Treatment Agents",NA,"10","Colour Collectors, 3.5(l)x12(w)x16(h)",1
"433454","Wilko Fabric Conditioner Exotic Ylang andFressia 22 Washes 750ml","Wilko","Fabric Conditioners",NA,"1","750ml",1
"433455","Wilko Fabric Conditioner Blue Fressia andMagnolia Champaca 750ml","Wilko","Fabric Conditioners",NA,"1","750ml",1
"433563","Wilko Ironing Water Exotic Ylang andFressia 1L","Wilko","Ironing Water",NA,"1","1L",1
"438813","Wilko Fabric Freshener Exotic Ylang andFreesia 750ml","Wilko","Fabric Fresheners",NA,"1","750ml",1
"454106","Wilko Fragrance Boost Rose & Cherry 480g","Wilko","Fabric Fresheners",NA,"1","480g",1
"454107","Wilko Ironing Water Rose & Cherry 1L","Wilko","Ironing Water",NA,"1","1L",1
"454108","Wilko Antibacterial Laundry Cleanser White CottonFleur 1L","Wilko","Laundry Cleanser",NA,"1","1L",1
"454109","Wilko Bio Gel Detergent Eucalyptus Leaf and WhiteRose 770ml","Wilko","Liquid and Gel Detergents",NA,"1","770ml",1
"454110","Wilko Non Bio Gel Detergent White Lily and FreshApple 770ml","Wilko","Liquid and Gel Detergents",NA,"1","770ml",1
"454144","Wilko Concentrated Fabric Conditioner MidnightIris and Amethyst 945ml","Wilko","Fabric Conditioners",NA,"1","954ml",1
"454145","Wilko Premium Fabric Conditioner Rose & Cherry954ml","Wilko","Fabric Conditioners",NA,"1","954ml",1
"454146","Wilko Skin Kind Fabric Conditioner Silk Pashmina750ml","Wilko","Fabric Conditioners",NA,"1","750ml",1
"454271","Wilko Fabric Conditioner Blue Skies 1.5L","Wilko","Fabric Conditioners",NA,"1","1.5L",1
"454272","Wilko Fabric Conditioner Sunny Day 1.5L","Wilko","Fabric Conditioners",NA,"1","1.5L",1
"275080","Woolite Detergent Hand and Machine Wash 750ml","Woolite","Delicate Wash",NA,"1","750ml",1
