"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","DQ Score"
"289099","Febreze Pet Odour Fabric Refresh 500ml","Febreze","Pet Odour Spray",NA,NA,"500ml",0.9125
"450171","Febreze Fabric Refresher Lenor Orcid 500ml","Febreze","Fabric Fresheners",NA,"1",NA,0.9125
"224579","Lenor Tumble Dryer Sheets Summer Breeze 34pk","Lenor","Fabric Fresheners",NA,"34s",NA,0.9125
"400321","Lenor Unstoppables Fresh 275g","Lenor","Fabric Fresheners",NA,NA,"275g",0.9125
"400330","Lenor Fabric Conditioner Spring Awakening44 Washes 1.1L","Lenor","Fabric Conditioners",NA,"1",NA,0.9125
"400334","Lenor Fabric Conditioner Summer Breeze 44 Washes1.1L","Lenor","Fabric Conditioners",NA,"1",NA,0.9125
"400338","Lenor Fabric Conditioner Moonlight Harmony44 Washes 1.1L","Lenor","Fabric Conditioners",NA,"1",NA,0.9125
"400350","Lenor Fabric Conditioner Ruby Jasmine 37 Washes925ml","Lenor","Fabric Conditioners",NA,NA,"925ml",0.9125
"400353","Lenor Fabric ConditionerGold Orchid 37 Washes925ml","Lenor","Fabric Conditioners",NA,NA,"925ml",0.9125
"400356","Lenor Fabric Softener Emerald 37 Washes 925ml","Lenor","Fabric Conditioners",NA,NA,"925ml",0.9125
"441964","Lenor Spring Awakening Fabric Conditioner2.905L","Lenor","Fabric Conditioners",NA,"1",NA,0.9125
"441965","Lenor Fabric Conditioner Summer Breeze83 Washes","Lenor","Fabric Conditioners",NA,"1",NA,0.9125
"441980","Lenor Unstoppables Dreams 375g","Lenor",NA,NA,"1",NA,0.825
"450762","Lenor Premium Peony Fabric Conditioner 1.8L","Lenor","Fabric Conditioners",NA,NA,NA,0.775
"321121","Persil Silk and Wool Liquid 15 Washes 750ml","Persil","Delicate Wash",NA,NA,"750ml",0.9125
"338143","Persil Small and Mighty Non Bio Washing Liquid22 Washes 770ml","Persil","Liquid and Gel Detergents",NA,NA,"770ml",0.9125
"338145","Persil Small and Mighty Bio Washing Liquid25 Washes 770ml","Persil","Liquid and Gel Detergents",NA,NA,"770ml",0.9125
"339702","Persil Small and Mighty Washing LiquidColour Protect 38 Washes","Persil","Liquid and Gel Detergents",NA,"38s",NA,0.9125
"339704","Persil Small and Mighty Bio Washing Liquid1.33L","Persil","Liquid and Gel Detergents",NA,"38s",NA,0.9125
"339705","Persil Small & Mighty Non-Bio Washing Liquid38 Washes 1.33L","Persil","Liquid and Gel Detergents",NA,"38s",NA,0.9125
"435753","Persil Ultimate Non Bio Dual Capsules30 Washes","Persil","Liquitabs",NA,"1",NA,0.9125
"435754","Persil Ultimate Bio Dual Capsule28 Washes","Persil","Liquitabs",NA,"1",NA,0.9125
"454164","Persil Bio Capsules 38 Washes","Persil","Liquitabs",NA,"38 Caps",NA,0.8625
"454165","Persil Caps Colour 38 Washes","Persil","Liquitabs",NA,"38 Caps",NA,0.8625
"454168","Persil Non Bio Capsules 38 Washes","Persil","Liquitabs",NA,"38 Caps",NA,0.8625
"152911","Shout Stain Remover Spray 500ml","Shout","Stain and Pre-Treatment Agents",NA,NA,"500ml",0.9125
"286484","Surf Liquid Detergent Tropical Lily and YlangYlang 23 Washes","Surf","Liquid and Gel Detergents",NA,NA,"805ml",0.9125
"321025","Surf Liquid Detergent Herbal Extracts 805ml","Surf","Liquid and Gel Detergents",NA,NA,"805ml",0.9125
"351762","Surf Tropical Lily Washing Powder 23 Washes","Surf","Washing Powder",NA,"23s",NA,0.9125
"351769","Surf Lavender & Jasmine Washing Powder23 Washes","Surf","Washing Powder",NA,"23s",NA,0.9125
"414171","Surf Bio Capsules Herbal Extract 18 Washes","Surf","Liquitabs",NA,"1",NA,0.9125
"414173","Surf Bio Tropical Lilly 18 Washes","Surf","Liquitabs",NA,"1",NA,0.9125
"453718","Surf Liquid Tropical Oasis 37 Washes","Surf","Liquid and Gel Detergents",NA,"37",NA,0.9125
"347228","Vanish Gold Oxi Stain Remover 940g","Vanish","Stain and Pre-Treatment Agents",NA,NA,"940g",0.9125
"412313","Vanish Oxi Action Spray 500ml","Vanish","Stain and Pre-Treatment Agents",NA,NA,NA,0.825
"454179","Vanish White Gold Gel 940ml","Vanish",NA,NA,"1","940ml",0.9125
"168723","Wilko Laundry Water Softening Powder40 Washes","Wilko","Water Softener",NA,NA,"1kg",0.9125
"333369","Wilko Oxi Plus Stain Remover 1kg","Wilko","Stain and Pre-Treatment Agents",NA,NA,"1kg",0.9125
"349695","Wilko Fabric Conditioner Thai Orchid and SpicedJasmine 750ml","Wilko","Fabric Conditioners",NA,NA,"750ml",0.9125
"433665","Wilko Tumble Dryer Sheets Vanilla andLavender 50pk","Wilko","Fabric Fresheners",NA,"50",NA,0.9125
"275324","Woolite Detergent Extra Dark Protection12 Washes 750ml","Woolite","Delicate Wash",NA,NA,"750ml",0.9125
