"Article","Web Description","Brand","Type","Size","Pack Qty","DQ Score"
"431999","Nu Era Bright A4 Notebook","NU","Notebooks","A4","1",1
"432000","Nu Era Bright A5 Notebook","NU","Notebooks","A5","1",1
"432001","Nu Era Bright A4 Study Book","NU","Project Books","A4","1",1
"432002","Nu Era Bright A5 Study Book","NU","Project Books","A5","1",1
"431964","Nu Elite Prestige A7 PU Notebook","NU ELITE","Notebooks","A7","1",1
"431968","Nu Elite Prestige A5 Wiro Journal","NU ELITE","Notebooks","A5","1",1
"431970","Nu Elite Prestige A6 Wiro Journal","NU ELITE","Notebooks","A6","1",1
"431979","Nu Elite A5 Wiro Kraft Notebook","NU ELITE","Notebooks","A5","1",1
"431980","Nu Elite Kraft A6 Gluebound Notebook","NU ELITE","Notebooks","A6","1",1
"432016","Silvine Exercise Book 120 Pages","Silvine","Exercise Books","148mmx210mm","1",1
"432017","Silvine A4 Exercise Book 120 Pages","Silvine","Exercise Books","A4","1",1
"432022","Silvine A4 Perfecto Notebook 160 Pages","Silvine","Notebooks","A4","1",1
"432024","Silvine A5 Perfecto Notebook 160 Pages","Silvine","Notebooks","A5","1",1
"432035","Silvine A4 Wirebound PP Cover Notebook","Silvine","Notebooks","A4","1",1
"432036","Silvine A5 Wirebound PP Cover Notebook","Silvine","Notebooks","A5","1",1
"432037","Silvine A6 Wirebound PP Cover Notebook","Silvine","Notebooks","A6","1",1
"261628","Wilko Reporters Notebook 150 Sheets 80GSM","Wilko","Notebooks","150Sheets","150s",1
"262257","Wilko Wiro Notebook A4 lined 100 Sheets 80GSM","Wilko","Notebooks","A4","1",1
"262258","Wilko Wirobound Notebook A4 lined 100 Sheets 80GSM","Wilko","Notebooks","A4","1",1
"262803","Wilko Wiro Notebook A4 80 Sheets 80GSM","Wilko","Notebooks","A4","1",1
"317374","Wilko Shopping List Lined 100 Sheets 70GSM","Wilko","Journals, Planners and Organisers","70gsm","1",1
"317393","Wilko Wiro Notebook A5 Ruled 80 Sheets 80GSM","Wilko","Notebooks","A5","1",1
"317395","Wilko Notebook A7 80 Sheets 80GSM","Wilko","Notebooks","A7","1",1
"319418","Wilko Notebook A5 Ruled 100 Sheets 80GSM","Wilko","Notebooks","A5","1",1
"348725","Wilko Notebook PP Cover Pink A7","Wilko","Notebooks","A7","1",1
"348726","Wilko Notebook PP Cover Pink A6","Wilko","Notebooks","A6","1",1
"348727","Wilko Notebook PP Cover Blue A7","Wilko","Notebooks","A7","1",1
"348728","Wilko Notebook PP Cover Blue A6","Wilko","Notebooks","A6","1",1
"348729","Wilko Project Book Lined A5","Wilko","Project Books","A5","1",1
"416975","Wilko A5 PU Journal Square Paper","Wilko","Notebooks","A5","1",1
"416976","Wilko A5 PU Journal Plain Paper","Wilko","Notebooks","A5","1",1
"432059","Wilko A7 Vibrant Glitter Notebook","Wilko","Notebooks","A7","1",1
"432501","Wilko A5 Metallic Notebook","Wilko","Notebooks","A5","1",1
"432502","Wilko A6 Metallic Notebook","Wilko","Notebooks","A6","1",1
"432503","Wilko A5 Pastel Casebound Notebook","Wilko","Notebooks","A5","1",1
"432504","Wilko A6 Pastel Casebound Notebook","Wilko","Notebooks","A6","1",1
"432505","Wilko A7 Pastel Casebound Notebook","Wilko","Notebooks","A7","1",1
"432508","Wilko A5 Chunky Map Wiro Notebook","Wilko","Notebooks","A5","1",1
"432509","Wilko Refill Pad A4 80GSM","Wilko","Refill Pads","A4","1",1
"432510","Wilko Colour Refill Pad A4","Wilko","Refill Pads","A4","1",1
"439920","Wilko Notebook A4 Hard Back Wiro Lime","Wilko","Notebooks","A4","1",1
"439922","Wilko Notebook A5 Hard Back Wiro Lime","Wilko","Notebooks","A5","1",1
"439923","Wilko Notebook A4 Wiro Pp Cover Lime","Wilko","Notebooks","A4","1",1
"439925","Wilko Notebook A5 Wiro Pp Cover Lime","Wilko","Notebooks","A5","1",1
"94600","Wilko Refill Pad A4 Plain 80 Sheets 70GSM","Wilko","Refill Pads","A4","1",1
"240102","Wilko Functional Reporters Notebook 60 Sheets","Wilko Functional","Notebooks","60Sheets","60s",1
"432511","Wilko Functional Refill Pad 60GSM","Wilko Functional","Refill Pads","A4","1",1
"433205","Wilko Functional A5 Notebook","Wilko Functional","Notebooks","A5","1",1
