"Article","Web Description","Brand","Type","Colour","Size","Material","DQ Score"
"214469","Korbond Iron on Mender 3.8 x 50cm 3pk","Korbond","Labelling & Repair ","Multi","3.8x50cm",NA,1
"228239","Korbond Embroidery Floss 7m 20pk","Korbond","Thread Selection Packs ","Multi","7m",NA,1
"228328","Korbond General Purpose Scissors 5in","Korbond","Scissors","Silver","12.5cm",NA,1
"249440","Korbond Polyester Thread Selection Dark  32m 12pk","Korbond","Thread Selection Packs ","Multi","12x32m",NA,1
"249441","Korbond Thread Polyester Dark Assorted 32m 12pk","Korbond","Thread Selection Packs ","Multi","12x32m",NA,1
"287099","Korbond Nylon Thread Smoke and Clear 2pk","Korbond","Thread Selection Packs ","Clear","110mx2",NA,1
"287101","Korbond Buttons Asstorted 20pk","Korbond","Pins, Buttons & Fasteners ","Multi","Assorted",NA,1
"287102","Korbond Needles Easy Thread 6pk","Korbond","Needles","Silver","41855",NA,1
"288143","Korbond Knitting Needles 3.25mm x 35cm","Korbond","Knitting Needles ","White","3.25x35cm","Aluminium",1
"288145","Korbond Knitting Needles 6mm x 35cm","Korbond","Knitting Needles","White","0.6x35cm","Aluminium",1
"288146","Korbond Lint Roller Blue 5m","Korbond","Lint Remover",NA,"5m",NA,1
"288153","Korbond Sew on Snap Fastners 24pcs","Korbond","Pins, Buttons & Fasteners ","Silver","12Pack",NA,1
"288157","Korbond Threaded Needle Kit Assorted","Korbond","Sewing Kits ","Multi","Assorted",NA,1
"83781","Korbond Tape Measure 150 x 60cm","Korbond","Sewing Tools ","Multi","150x60cm",NA,1
"83786","Korbond Berry Pins Assorted 38 x 0.6mm 40pk","Korbond","Pins, Buttons & Fasteners ","Multi","38x0.6mm",NA,1
"83790","Korbond Safety Pins Nickel Plated Assorted 50pk","Korbond","Pins, Buttons & Fasteners ","Silver","Assorted",NA,1
"83791","Korbond Safety Pins Gilt Assorted 36pk","Korbond","Pins, Buttons & Fasteners ","Metal","Assorted",NA,1
"83795","Korbond Needles Multi Purpose Assorted 7pk","Korbond","Needles ","Silver","Assorted",NA,1
"83796","Korbond Needles Crewel size 3-9 16pk","Korbond","Needles ","Silver","41885",NA,1
"83797","Korbond Needles Darning 1-5 10pk","Korbond","Needles","Silver","41760",NA,1
"83798","Korbond Needles Tapestry 18-24 6pk","Korbond","Needles","Silver","18-24",NA,1
"83800","Korbond Needles Dispenser Assorted 30pk","Korbond","Needles","Silver","Assorted",NA,1
"83801","Korbond Home Needle Kit 45pk","Korbond","Needles","Silver","Assorted",NA,1
"83803","Korbond Dressmaking Scissors Comfort Grip 9in","Korbond","Scissors","Black","22.5cm",NA,1
"83804","Korbond Dressmaking Scissors Comfort Grip 7in","Korbond","Scissors","Black","17.5cm",NA,1
"83807","Korbond Elastic white 2m","Korbond","Repair & Alterations ","White","12mmx2m",NA,1
"300228","Yarnfair DK  Acrylic Yarn Cream 100g","Yarnfair","Yarn","Cream","100g","Acrylic",1
"329119","Yarnfair DK 100g 100% Acrylic Shade 070 Jade","Yarnfair","Yarn","Green","100g","Acrylic",1
"329122","Yarnfair DK 100g 100% Acrylic Shade 070Teal","Yarnfair","Yarn","Green","100g","Acrylic",1
