"Article","Web Description","DQ Score"
"256633","Cadbury Dairy Milk Chocolate Block 360g",1
"405637","Cadbury Dairy Milk Caramel Nibbles Bag 120g",1
"407927","Cadbury Twirl Bites Bag 109g",1
"435353","Cadbury Time Out 6pk 127.2g",1
"435354","Cadbury Crunchie 4pk 104g",1
"435355","Cadbury Wispa 4pk 102g",1
"435356","Cadbury Twirl 5pk 108g",1
"435357","Cadbury Flake 4pk 80g",1
"435358","Cadbury Dairy Milk 4pk 130g",1
"435359","Cadbury Decker 4pk 160g",1
"435361","Cadbury Picnic 4pk 128g",1
"282627","Guylian Belgian Chocolates Sea Shells Box 250g",1
"138041","Haribo Tangfastics Bag 160g",1
"90736","Haribo Star Mix Bag 160g",1
"420354","Mars Snacksize 4pk 135g",1
"338494","Terrys Chocolate Orange Minis Bag 136g",1
"437488","Thorntons Classic Collection 123g",1
"439305","Thorntons Classic Dark Collection 248g",1
