"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Material","DQ Score"
"232233","Wilko Firenze Pair of Holdbacks Black 2pk","Wilko","Holdbacks","Black","2pk","2 Pack",NA,0.941666666666667
"232247","Wilko Firenze Pair of Holdbacks Silver Effect 2pk","Wilko","Holdbacks","Silver","2pk","2 Pack",NA,0.941666666666667
"232405","Wilko Voile Pair of Holdbacks Silver Effect 2pk","Wilko","Holdbacks","Silver","2pk","2 Pack",NA,0.941666666666667
"287753","Wilko Palma Hook Pair of Tieback Satin SilverEffect 2pk","Wilko","Tiebacks","Silver","2pk","Pack",NA,0.941666666666667
"287754","Wilko Palma Hook Pair of Tieback Antique BrassEffect 2pk","Wilko","Tiebacks","Metal","2pk","Pack",NA,0.941666666666667
"287755","Wilko Palma Hook Pair of Tieback Chrome Effect 2pk","Wilko","Tiebacks","Metal","2pk","Pack",NA,0.941666666666667
"287757","Wilko Palma Hook Pair of Tieback Cream 2pk","Wilko","Tiebacks","Cream","2pk","Pack",NA,0.941666666666667
"287819","Wilko Voile Pair of Holdbacks Satin Silver Effect2pk","Wilko","Holdbacks","Silver","2pk","Single",NA,0.941666666666667
"287820","Wilko Voile Pair of Holdbacks Antique Brass Effect2pk","Wilko","Holdbacks","Metal","2pk","Single",NA,0.941666666666667
"287869","Wilko Sorrento Ball Pair Holdbacks Satin SilverEffect 2pk","Wilko","Holdbacks","Silver","2pk","Single",NA,0.941666666666667
"287870","Wilko Sorrento Ball Pair Holdbacks Antique BrassEffect 2pk","Wilko","Holdbacks","Metal","2pk","Single",NA,0.941666666666667
"287871","Wilko Sorrento Ball Pair Holdbacks Chrome Effect2pk","Wilko","Holdbacks","Metal","2pk","Single",NA,0.941666666666667
"287930","Wilko Voile Pair of Holdbacks Black 2pk","Wilko","Holdbacks","Black","2pk","2 Pack",NA,0.941666666666667
"327720","Wilko Palma Hook Tieback Black 2pk","Wilko","Tiebacks","Black","2pk","Pack",NA,0.941666666666667
"433210","Wilko Crackled Glass Ball Holdback Pair","Wilko","Holdbacks",NA,NA,NA,"Steel, glass",0.825
"433211","Wilko Acrylic Ball Holdback 2pk","Wilko","Holdbacks",NA,"1","17 x 17 x 5cm","Steel, acrylic",0.941666666666667
"453352","Wilko Curtain Holdback Antique BrassEffect","Wilko","Holdbacks",NA,"1",NA,"Metal",0.883333333333333
"453353","Wilko Curtain Holdbacks Satin Silver Effect","Wilko","Holdbacks",NA,"1",NA,"Metal",0.883333333333333
"453354","Wilko Curtain Holdbacks Chrome Effect","Wilko","Holdbacks",NA,"1",NA,"Metal",0.883333333333333
"453355","Wilko Holdback Polished Graphite","Wilko","Holdbacks",NA,"1",NA,"Metal",0.883333333333333
"453360","Wilko Crystal Ball Tieback Hooks Antique Brass","Wilko","Tiebacks",NA,"1","3x4cm","Metal",0.941666666666667
"453361","Wilko Crystal Ball Tieback Hooks Satin Silver 2pk","Wilko","Tiebacks",NA,"2","3x4cm","Metal",0.941666666666667
"453362","Wilko Crystal Ball Tieback Hooks Chrome 2pk","Wilko","Tiebacks",NA,"2","3x4cm","Metal",0.941666666666667
"454227","Wilko Basic Tieback Mink and Taupe","Wilko","Tiebacks",NA,"1","46 x 60cm","Cotton, Viscose",0.941666666666667
"454228","Wilko Basic Tieback Silver Colour","Wilko","Tiebacks",NA,"1","46 x 60cm",NA,0.883333333333333
"454229","Wilko Basic Tieback Duck Egg","Wilko","Tiebacks",NA,"1",NA,"Cotton, Viscose",0.883333333333333
"454230","Wilko Basic Tieback Cream","Wilko","Tiebacks",NA,"1","46 x 60cm","Cotton, Viscose",0.941666666666667
"454231","Wilko Basic Tieback Black","Wilko","Tiebacks",NA,"1","46 x 60cm","Cotton, Viscose",0.941666666666667
"454233","Wilko Tieback Slate Heart Cream","Wilko","Tiebacks",NA,"1","38 x 56cm","Viscose, Cotton, Polyester",0.941666666666667
"454234","Wilko Tieback Acrylic Heart Cream","Wilko","Tiebacks",NA,"1","38 x 56cm","Viscose, Cotton, Polyester",0.941666666666667
"454235","Wilko Tieback Wooden Heart Silver Colour","Wilko","Tiebacks",NA,"1","39 x 56cm","Viscose, Cotton, Polyester",0.941666666666667
"454236","Wilko Rope Tieback Cream","Wilko","Tiebacks",NA,"1","67 x 67cm","Viscose, Cotton, Polyester",0.941666666666667
"454237","Wilko Rope Tieback Taupe","Wilko","Tiebacks",NA,"1","67 x 67cm","Polyester, Cotton , Viscose",0.941666666666667
"454238","Wilko Large Acrylic Tieback Cream","Wilko","Tiebacks",NA,"1","65 x 80cm","Cotton, Viscose",0.941666666666667
"454239","Wilko Large Acrylic Tieback Mink","Wilko","Tiebacks",NA,"1","65 x 80cm","Cotton, Viscose",0.941666666666667
"454240","Wilko Large Acrylic Tieback Silver Effect","Wilko","Tiebacks",NA,"1","65 x 80cm","Cotton, Viscose",0.941666666666667
"454241","Wilko Beaded Tieback Clear","Wilko","Tiebacks",NA,"1","65 x 65cm","100% Polyester",0.941666666666667
"454242","Wilko Beaded Tieback Black","Wilko","Tiebacks",NA,"1","65 x 65cm","100% Polyester",0.941666666666667
