"Article","Web Description","Brand","Type","Colour","Size","Assembly","Material","Capacity","Pack Qty","DQ Score"
"a200069","Blythe Memory Foam No Turn Mattress Double","Airsprung","Mattresses",NA,"Double","No","100% Polyester",NA,NA,0.841666666666667
"439531","Amber Bedroom Set White","Amber","Bedroom Set",NA,NA,"Yes",NA,NA,NA,0.825
"439532","Amber Bedroom Set Beech Wood","Amber","Bedroom Set",NA,NA,"Yes",NA,NA,NA,0.825
"p200120","Boston-Lyon Wardrobe White and Ash 2 Door","Boston-Lyon","Wardrobes","Wood",NA,"Yes","Ash Veneer Top and Plywood",NA,NA,0.941666666666667
"p200121","Boston-Lyon Wardrobe White + Ash 3 Door","Boston-Lyon","Wardrobes","Wood",NA,"Yes","Ash Veneer Top and Plywood",NA,NA,0.941666666666667
"p200123","Boston-Lyon 3 + 2 Drawer Chest White And  Ash","Boston-Lyon","Drawer Chests","Wood",NA,"Yes","Ash Veneer Top and Plywood",NA,NA,0.941666666666667
"p200125","Boston-Lyon 3 Drawer Chest White + Ash","Boston-Lyon","Drawer Chests","Wood",NA,"Yes","Ash Veneer Top and Plywood",NA,NA,0.941666666666667
"1141040","Brasso Metal Polish 75g","Brasso","Multi-Purpose Cleaner",NA,"75g",NA,NA,NA,NA,0.9125
"42549","Brasso Metal Polish 175ml","Brasso","Multi-Purpose Cleaner",NA,"175ml",NA,NA,NA,NA,0.9125
"s100013","Cara Coffee Table Black Glass Split Shelf","Cara","Coffee Tables","Black",NA,"Yes","Glass",NA,NA,0.941666666666667
"440339","Caxton 1 Door 5 Display Unit Oak Effect","Caxton","Display Units","Wood","60.5cm x 39cm x 183cm","Yes",NA,NA,NA,0.941666666666667
"440341","Caxton 2 Door 2 Drawer Sideboard Oak Effect","Caxton","Sideboards","Wood","80.5cm x 39cm x 75.5cm","Yes",NA,NA,NA,0.941666666666667
"440343","Caxton 3 Door 3 Drawer Sideboard Oak Effect","Caxton","Sideboards","Wood","120cm x 39cm x 85cm","Yes",NA,NA,NA,0.941666666666667
"440344","Caxton 3 Drawer Display Unit Oak Effect","Caxton","Display Units","Wood","60.5cm x 39cm x 183cm","Yes",NA,NA,NA,0.941666666666667
"440346","Caxton 2 Drawer TV Unit Oak Effect","Caxton","TV Units","Wood","100cm x 39cm x 40.5cm","Yes",NA,NA,NA,0.941666666666667
"s100011","Charisma Dining Set Blk Gloss 4 chairs","Charisma","Dining Sets 4 Seat","Black",NA,"Yes","Black Gloss",NA,NA,0.941666666666667
"s100101","Charisma Coffee Table Black Gloss","Charisma","Coffee Tables","Black",NA,"Yes","Black Gloss",NA,NA,0.941666666666667
"s100102","Charisma Lamp Table Black Gloss","Charisma","Side Tables","Black",NA,"Yes","Black Gloss",NA,NA,0.941666666666667
"s100105","Charisma Coffee Table White Gloss","Charisma","Coffee Tables","White",NA,"Yes","White Gloss",NA,NA,0.941666666666667
"s100108","Charisma Nest of Tables Black Gloss","Charisma","Nested Tables","Black",NA,"Yes","Black Gloss",NA,NA,0.941666666666667
"s100110","Charisma Nest of Tables White Gloss","Charisma","Nested Tables","White",NA,"Yes","White Gloss",NA,NA,0.941666666666667
"s200077","Charisma Sideboard Black Gloss","Charisma","Sideboards","Black",NA,"Yes","Gloss, Chrome",NA,NA,0.941666666666667
"s200097","Charisma Sideboard White Gloss","Charisma","Sideboards","White",NA,"Yes","Gloss, Chrome",NA,NA,0.941666666666667
"s200103","Charisma TV Unit Black","Charisma","TV Units","Black",NA,"Yes","Gloss, Chrome",NA,NA,0.941666666666667
"s200104","Charisma TV Unit White","Charisma","TV Units","White",NA,"Yes","Gloss, Chrome",NA,NA,0.941666666666667
"420764","Diamante Kingsize Bed Frame White","Diamante","King Bed",NA,"2115 x 1600 x 995","Yes","FAUX LEATHER",NA,NA,0.941666666666667
"420765","Diamante Kingsize Bed Frame Black","Diamante","King Bed",NA,"2115 x 1600 x 995","Yes","FAUX LEATHER",NA,NA,0.941666666666667
"440631","Value Folding Bed With Memory Foam Mattress Single","Jay-Be","Folding Guest Beds",NA,NA,"No",NA,NA,"1",0.833333333333333
"440632","Value Folding Bed With Memory Foam Mattress Double","Jay-Be","Folding Guest Beds",NA,NA,"No",NA,NA,"1",0.833333333333333
"440633","Advance Folding Bed With Airflow Mattress Single","Jay-Be","Folding Guest Beds",NA,NA,"No",NA,NA,"1",0.833333333333333
"440634","Jubilee Folding Bed With Airflow Mattress Single","Jay-Be","Folding Guest Beds",NA,NA,"No",NA,NA,"1",0.833333333333333
"440635","Jubilee Folding Bed With Airflow Mattress Double","Jay-Be","Folding Guest Beds",NA,NA,"No",NA,NA,"1",0.833333333333333
"440636","Royal Folding Bed With Pocket Sprung MattressSingle","Jay-Be","Folding Guest Beds",NA,NA,"No",NA,NA,"1",0.833333333333333
"440637","Impression Folding Bed With Memory Foam MattressSingle","Jay-Be","Folding Guest Beds",NA,NA,"No",NA,NA,"1",0.833333333333333
"440638","Revolution Folding Bed With Airflow Fibre MattressSingle","Jay-Be","Folding Guest Beds",NA,NA,"No",NA,NA,"1",0.833333333333333
"440639","Inspire Folding Bed With Contract Fibre MattressSingle","Jay-Be","Folding Guest Beds",NA,NA,"No",NA,NA,"1",0.833333333333333
"440640","Revolution Folding Bed With Pocket Sprung MattressSingle","Jay-Be","Folding Guest Beds",NA,NA,"No",NA,NA,"1",0.833333333333333
"440641","Revolution Folding Bed With Memory Foam MattressSingle","Jay-Be","Folding Guest Beds",NA,NA,"No",NA,NA,"1",0.833333333333333
"440642","J-Bee Folding Bed With Performance AirflowMattress Single","Jay-Be","Folding Guest Beds",NA,NA,"No",NA,NA,"1",0.833333333333333
"440643","J-Bee Folding Bed With Performance AirflowMattress Double","Jay-Be","Folding Guest Beds",NA,NA,"No",NA,NA,"1",0.833333333333333
"ck00015","Clovelly Compact Side board Rustic Oak","Kingston Furniture","Sideboards","Wood",NA,"No","MDF , Chipboard",NA,NA,0.891666666666667
"ck00016","Clovelly Long Entertainment Unit","Kingston Furniture","Entertainment Units","Wood",NA,"No","MDF , Chipboard",NA,NA,0.891666666666667
"ck00017","Clovelly Coffee Table Rustic Oak","Kingston Furniture","Coffee Tables","Wood",NA,"No","MDF , Chipboard",NA,NA,0.891666666666667
"ck00018","Clovelly Large Bookcase Vanilla","Kingston Furniture","Bookcases","Wood",NA,"No","MDF , Chipboard",NA,NA,0.891666666666667
"ck00019","Clovelly Large Side board Vanilla","Kingston Furniture","Sideboards","Wood",NA,"No","MDF, Chipboard",NA,NA,0.891666666666667
"ck00020","Clovelly Compact Side board","Kingston Furniture","Sideboards","Wood",NA,"No","MDF, Chipboard",NA,NA,0.891666666666667
"ck00021","Clovelly Long Entertainment Unit","Kingston Furniture","Entertainment Units","Wood",NA,"No","MDF, Chipboard",NA,NA,0.891666666666667
"ck00022","Clovelly Coffee Table Vanilla","Kingston Furniture","Coffee Tables","Wood",NA,"No","MDF, Chipboard",NA,NA,0.891666666666667
"ck00028","Penrose Corner TV Unit Oak","Kingston Furniture","TV Stands","Wood",NA,"No","MDF, Chipboard",NA,NA,0.891666666666667
"ck00029","Penrose Long Enter tainment Unit Oak","Kingston Furniture","TV Stands","Wood",NA,"No","MDF, Chipboard",NA,NA,0.891666666666667
"ck00030","Penrose Storage Coffee Table Oak","Kingston Furniture","Coffee Tables","Wood",NA,"No","MDF, Chipboard",NA,NA,0.891666666666667
"ck00046","Clovelly 3 Drawer Narrow Chest","Kingston Furniture","Drawer Chests","Wood","3 Drawer","No",NA,NA,NA,0.891666666666667
"168718","Lord Sheraton Caretaker Wood Balsam Original  75ml","Lord Sheraton","Furniture Polish",NA,"75ml",NA,NA,NA,NA,0.9125
