"Article","Web Description","Brand","DQ Score"
"448045","Cadiz 4 Drawer Deep Chest of Drawers White","Other",0.891666666666667
"448046","Cadiz 5 Drawer Chest Of Drawers White","Other",0.891666666666667
"448047","Cadiz 6 Drawer Midi Chest Of Drawers White","Other",0.891666666666667
"448048","Cadiz Blanket Box White","Other",0.85
"448049","Cadiz 6 Drawer Kneehole Vanity White","Other",0.891666666666667
"448050","Cadiz Large Mirror White","Other",0.88
"448051","Cadiz Sliding Wardrobe White","Other",0.891666666666667
"448052","Cadiz Small Mirror White","Other",0.88
"448053","Cadiz Stool White","Other",0.891666666666667
"448054","Cadiz 3 Drawer Vanity White","Other",0.891666666666667
"448055","Altea 2 Drawer Bedside Cabinet White","Other",0.891666666666667
"448056","Altea 2 Door 2 Drawer Wardrobe White","Other",0.891666666666667
"448057","Altea 2 Door Midi Wardrobe White","Other",0.891666666666667
"448058","Altea 2 Door Wardrobe White","Other",0.891666666666667
"448059","Altea 3 Drawer Chest Of Drawers White","Other",0.891666666666667
"448060","Altea 3 Drawer Bedside Cabinet White","Other",0.891666666666667
"448061","Altea 4 Drawer Chest Of Drawers White","Other",0.891666666666667
"448062","Altea 4 Drawer Deep Chest of Drawers White","Other",0.891666666666667
"448063","Altea 5 Drawer Chest Of Drawers White","Other",0.891666666666667
"448064","Altea 6 Drawer Midi Chest Of Drawers White","Other",0.891666666666667
"448065","Altea Blanket Box White","Other",0.85
"448066","Altea Childs White Wardrobe","Other",0.891666666666667
"448067","Altea 6 Drawer Kneehole Vanity White","Other",0.891666666666667
"448068","Altea Large Mirror White","Other",0.88
"448069","Altea Sliding Wardrobe White","Other",0.891666666666667
"448070","Altea Small Mirror White","Other",0.88
"448071","Altea Stool White","Other",0.891666666666667
"448072","Altea 3 Drawer Vanity White","Other",0.891666666666667
"448073","Javea 2 Drawer Bedside Cabinet Grey","Other",0.891666666666667
"448074","Javea 2 Door 2 Drawer Wardrobe Grey","Other",0.891666666666667
"448075","Javea 2 Door Midi Wardrobe Grey","Other",0.891666666666667
"448076","Javea 2 Door Wardrobe Grey","Other",0.891666666666667
"448077","Javea 3 Drawer Chest Of Drawers Grey","Other",0.891666666666667
"448078","Javea 3 Drawer Bedside Cabinet Grey","Other",0.891666666666667
"448079","Javea 4 Drawer Chest Of Drawers Grey","Other",0.891666666666667
"448080","Javea 4 Drawer Deep Chest of Drawers Grey","Other",0.891666666666667
"448081","Javea 5 Drawer Chest Of Drawers Grey","Other",0.891666666666667
"448082","Javea 6 Drawer Midi Chest Of Drawers Grey","Other",0.891666666666667
"448083","Javea Blanket Box Grey","Other",0.85
"448084","Javea Childs Wardrobe Grey","Other",0.891666666666667
"448085","Javea 6 Drawer Kneehole Vanity Grey","Other",0.891666666666667
"448086","Javea Large Mirror Grey","Other",0.88
"448087","Javea Sliding Wardrobe Grey","Other",0.891666666666667
"448088","Javea Small Mirror Grey","Other",0.891666666666667
"448089","Javea Stool Grey","Other",0.891666666666667
"448090","Javea 3 Drawer Vanity Grey","Other",0.891666666666667
"448091","Valencia 2 Drawer Cream Bedside Cabinet","Other",0.891666666666667
"448092","Valencia 2 Door 2 Drawer Cream Wardrobe","Other",0.891666666666667
"448093","Valencia 2 Door Midi Cream Wardrobe","Other",0.891666666666667
"448094","Valencia 2 Door Cream Wardrobe","Other",0.891666666666667
"448095","Valencia 3 Drawer Cream Chest Of Drawers","Other",0.891666666666667
