"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Power","DQ Score"
"451221","Disney Princess 2 Sheet 2 Tag","Disney","Gift Wrap","Multi","2","Sheet 50 x 70cm Tag 10 x 6.5cm",NA,0.941666666666667
"410972","Disney Frozen Roll Wrap 4m","Disney Frozen","Gift Wrap","Multi","1","4m x 69cm",NA,0.941666666666667
"453513","Emoji Wrap 2 Sheet 2 Tag","Emoji","Gift Wrap","Multi","1",NA,NA,0.883333333333333
"410970","Marvel Roll Wrap 2m","Marvel","Gift Wrap","Multi","1","2m x 69cm",NA,0.941666666666667
"410971","Marvel Gift Wrap 2 Sheet 2 Tag","Marvel","Gift Wrap",NA,"2","Sheet 50 x 70cm Tag 7.3 x 7.3cm",NA,0.883333333333333
"410964","Despicable Me Roll Wrap","Minions","Gift Wrap","Multi","1",NA,NA,0.783333333333333
"449644","My Little Pony Roll Wrap 2m","My Little Pony","Gift Wrap","Multi","1","200 x 70cm",NA,0.941666666666667
"449646","My Little Pony Gift Bag Large","My Little Pony","Gift Bag","Multi","1","26 x 33cm",NA,0.941666666666667
"449645","Paw Patrol Gift Bag Large","Paw Patrol","Gift Bag","Multi","1","26 x 33cm",NA,0.941666666666667
"449647","Shopkins Wrap 2 Sheet 2 Tag","Shopkins","Gift Wrap","Multi","1","70 x 50cm",NA,0.941666666666667
"209659","Wilko Tissue Paper 10 Sheets 50 x 66cm","Wilko","Decorative Tissue","White","10s","50x66cm",NA,0.941666666666667
"209778","Wilko Gift Bag Foil/ Holographic Large","Wilko","Gift Bag","Multi",NA,"Large",NA,0.883333333333333
"209863","Wilko Gift Bag Foil Holographic Medium","Wilko","Gift Bag","Multi",NA,"Medium",NA,0.883333333333333
"337945","Wilko Butterfly Gift Bag Medium","Wilko","Gift Bag",NA,"1","Medium",NA,0.883333333333333
"337952","Wilko Blue Spots Gift Bag Medium","Wilko","Gift Bag","Multi","1","Medium",NA,0.941666666666667
"337958","Wilko Birthday Gift Bag Large","Wilko","Gift Bag","Multi","1","26.5 x 13.5 x 32.7cm",NA,0.941666666666667
