"Article","Web Description","Brand","Type","Colour","Size","DQ Score"
"457269","British General Double USB Socket White 2.1A","British General","USB Socket","White","3.5 x 18 x 16cm",1
"457270","British General Double USB Socket Brushed Steel 2.1A","British General","USB Socket","Metal","3.5 x 18 x 16cm",1
"457271","British General Double USB Socket Chrome 2.1A","British General","USB Socket","Metal","3.5 x 18 x 16cm",1
"457272","British General Double USB Socket Black Nickel 2.1A","British General","USB Socket","Metal","3.5 x 18 x 16cm",1
"116448","Wilko Ceiling Pendant Set 6in","Wilko","Pendant Sets and Cords","White","6in",1
"116475","Wilko Switched Socket 1 Gang 13amp","Wilko","Power Sockets","White","13AMP",1
"15263","Wilko Ceiling Switch 6amp 2 Way","Wilko","Pendant Sets and Cords","White","6 Amp",1
"15350","Wilko Socket Box  2 Gang","Wilko","Socket Boxes","White","8.5x14.5cm",1
"5314740","Wilko Pattress Box 1gang 45mm","Wilko","Socket Boxes","White","8.5x8.5cm, 45mm",1
"5326640","Wilko Plastic Pattress Box 25mm 1 Gang","Wilko","Socket Boxes","White","25mm",1
"5326643","Wilko Plastic Pattress Box 2 Gang 25mm","Wilko","Socket Boxes","White","25mm",1
"5327840","Wilko Pattress Box White 1 Gang 16mm","Wilko","Socket Boxes","White","8.5x8.5cm, 16mm",1
"5374640","Wilko Pattress Box 2 Gang 45mm","Wilko","Socket Boxes","White","45mm",1
