"Article","Web Description","Brand","DQ Score"
"428876","Resolva Moss Killer 1L","Resolve",0.8625
"100877","Roundup Fast Action Weedkiller 1L","Round Up",0.95
"313328","Roundup Weedkiller Gel 150ml","Round Up",0.95
"263130","Patio Magic 2.5L","Scotts",0.8625
"260566","Big Cheese Multi Catch Mouse Trap","The Big Cheese",0.95
"283371","Big Cheese Block Bait 15g","The Big Cheese",0.88
"342236","Big Cheese All Weather Bait 50 Blocks","The Big Cheese",0.81
"409378","Big Cheese Ultra Power Rat Trap Twinpack","The Big Cheese",0.8625
"428735","Big Cheese Rat Trap Baited Ready To Use","The Big Cheese",0.88
"441548","Big Cheese Ultra Power Bait Mouse Killer","The Big Cheese",0.88
"448694","Big Cheese Fresh Baited Mouse Trap RTU","The Big Cheese",0.88
"448677","Growing Success Slug Killer 575g","Westland",0.88
"416334","Doff Cat & Dog Repellent Spray 1L","Wilko",0.81
"416336","Doff Cat & Dog  Repellent Spikes 4pk","Wilko",0.81
