"Article","Web Description","Brand","Type","Size","DQ Score"
"335637","Boredom Breaker Naturals Dandelion and Nettle Roots 50g","Boredom Breaker","Treats","50g",1
"335639","Boredom Breaker Naturals Little Hearts 100g","Boredom Breaker","Treats","100g",1
"335641","Boredom Breaker Naturals Breakfast Cookies 110g","Boredom Breaker","Treats","110g",1
"335648","Boredom Breaker Naturals Strawberry Sticks 120g","Boredom Breaker","Treats","120g",1
"335650","Boredom Breaker Naturals Rodent Mini Sticks 80g","Boredom Breaker","Treats","80g",1
"335651","Boredom Breaker Naturals Carrotys 200g","Boredom Breaker","Treats","200g",1
"335652","Boredom Breaker Naturals Fenugreek Crunchies 200g","Boredom Breaker","Treats","200g",1
"335653","Boredom Breaker Naturals Healthy Fruit Salad 125g","Boredom Breaker","Treats","125g",1
"335657","Boredom Breaker Naturals Crunch N Munch Millet 3pk","Boredom Breaker","Treats","Small",1
"335660","Boredom Breaker Naturals Dandelion Delight 100g","Boredom Breaker","Treats","100g",1
"335661","Boredom Breaker Naturals Natures Salad 200g","Boredom Breaker","Treats","200g",1
"405711","Harringtons Optimum Rabbit Food 2kg","Harringtons","Food","2kg",1
"442016","Natures Feast Rabbit Nugget Mix 1.5kg","Natures Feast","Food","1.5kg",1
"453100","Rosewood Foraging Pineapple Small","Rosewood","Treats","Small",1
"454038","Rosewood Naturals Meadow Menu for Rabbits 2kg","Rosewood","Food","2kg",1
"454039","Rosewood Naturals Meadow Menu for Guinea Pigs2kg","Rosewood","Food","2kg",1
"454040","Rosewood Naturals Meadow Menu for Chinchillasand Degus 2kg","Rosewood","Food","2kg",1
"182722","Wagg Hamster Gerbil and Mouse Food 1kg","Wagg","Food","1kg",1
"149600","Wilko Small Animal Fruity Stick Treats forRabbits and Guinea Pigs 2pk","Wilko","Treats","50g",1
"165258","Wilko Guinea Pig Food Muesli Mix 1kg","Wilko","Food","1kg",1
"229832","Wilko Rabbit Food Fruity Muesli 1kg","Wilko","Food","1kg",1
"267054","Wilko Small Animal Dandelion and Greet Oat Food100g","Wilko","Treats","100g",1
"280986","Wilko Small Animal Meadow Hay Rolls 7pk 100g","Wilko","Treats","1kg",1
"284302","Wilko Small Animal Corn on the the Cob Treat 3pk","Wilko","Treats","Large",1
"303694","Wilko Small Animal Timothy Hay 1kg","Wilko","Hay","1kg",1
"417682","Wilko Small Animal Edible Treat and Gnaw LogSmall 2pk","Wilko","Treats","Small",1
"417683","Wilko Small Animal Edible Treat and Gnaw Log Large","Wilko","Treats","Large",1
"417686","Wilko Small Animal Treats Carrot and Herb Sticks","Wilko","Treats","140g",1
"417703","Wilko Small Animal Carrot and Hay Cottage Medium","Wilko","Treats","Medium",1
"418587","Wilko Small Animal Rabbit Nugget 1.25kg","Wilko","Food","1.25kg",1
"418589","Wilko Small Animal Treats Fruity Crunch 100g","Wilko","Treats","100g",1
"418776","Wilko Small Animal Treats Chocolate Drops","Wilko","Treats","75g",1
"418779","Wilko Small Animal Treats Berry Drop","Wilko","Treats","75g",1
"437013","Wilko Small Animal Carrot and Hay Cottage Large","Wilko","Treats","Large",1
"437133","Wilko Small Animal Rabbit Nugget Summer Berries1.25kg","Wilko","Food","1.25kg",1
"452699","Wilko Garden Herb/Apple Cushions 50g","Wilko","Treats","50g",1
"454007","Wilko Muesli Pea Feast for Rabbits 7.5kg","Wilko","Food","65cm x 35cm x 10cm",1
"455266","Wilko Rabbit Nuggets 7.5kg","Wilko","Food","65cm x 35cm x 10cm",1
"94067","Wilko Rabbit Food Muesli Fibre Feast 2kg","Wilko","Food","2kg",1
