"Article","Web Description","Brand","Type","Power","Pack Qty","Size","Colour","Model Number","DQ Score"
"162346","EI Carbon Monoxide Alarm Part Number 204EN","Ei Electronics","Smoke and Carbon Monoxide Alarms","Battery","1",NA,NA,NA,0.88
"232730","EI Electronics Smoke Alarm with Escape Light","Ei Electronics","Smoke and Carbon Monoxide Alarms",NA,"1",NA,NA,NA,0.81
"276217","EI Electronics Smoke Alarm Twin Pack","Ei Electronics","Smoke and Carbon Monoxide Alarms","Battery","2pk",NA,NA,NA,0.93
"342843","EI Carbon Monoxide Memory Alarm","Ei Electronics","Smoke and Carbon Monoxide Alarms",NA,"1",NA,NA,NA,0.81
"61895","EI Electronics Standard Smoke Alarm","Ei Electronics","Smoke and Carbon Monoxide Alarms","Battery","1",NA,NA,NA,0.93
"343302","Master Lock Laminated Steel Padlock 45mm","Master Lock","Padlocks",NA,"1","45mm",NA,NA,0.93
"343306","Master Lock Stainless Steel Round Padlock 70mm","Master Lock","Padlocks",NA,"1","70mm",NA,NA,0.93
"343315","Master Lock Aluminium Combination Padlock 40mm","Master Lock","Padlocks",NA,"1","40mm",NA,NA,0.93
"343379","Master Lock Solid Aluminium PadlockExtra Long 50mm","Master Lock","Padlocks",NA,"1","50mm",NA,NA,0.93
"343381","Master Lock Solid Aluminium Padlock 40mm","Master Lock","Padlocks",NA,"1","40mm",NA,NA,0.93
"343383","Master Lock Solid Aluminium Padlock 30mm","Master Lock","Padlocks",NA,"1","30mm",NA,NA,0.93
"343385","Master Lock Nylon Covered  Combination Steel Chain0.9m x 8mm","Master Lock","Security Chain",NA,NA,"0.9x8mm",NA,NA,0.86
"343393","Master Lock Solid Aluminium Padlocks 20mm 2pk","Master Lock","Padlocks",NA,"2","2x20mm",NA,NA,0.93
"448862","Burg-Wächter  Key Locking Safe P1S","Sterling","Safe",NA,NA,"Small","Black","P1 S",0.891666666666667
"448863","Burg-Wächter Key Locking Safe P2S","Sterling","Safe",NA,NA,"Medium","Black","P2S",0.891666666666667
"448864","Burg-Wächter Key Locking Safe P3S","Sterling","Safe",NA,NA,"Large","Black","P3S",0.891666666666667
"448865","Burg-Wächter Electronic Keypad Safe P1 E","Sterling","Safe",NA,NA,"Small","Black","P1E",0.891666666666667
"448866","Burg-Wächter Electronic Keypad Safe P2 E","Sterling","Safe",NA,NA,"Medium","Black","P2E",0.891666666666667
"448867","Burg-Wächter Electronic Keypad Safe P3 E","Sterling","Safe",NA,NA,"P3E","Black",NA,0.833333333333333
"448868","Burg-Wächter Electric Keypad Safe P4 E","Sterling","Safe",NA,NA,"Extra Large","Black","P4E",0.891666666666667
"448869","Burg-Wächter  Finger Scan Lock Safe P2","Sterling","Safe",NA,NA,"Medium","Black","P2",0.891666666666667
"448870","Burg-Wächter Finger Scan Lock Safe P3","Sterling","Safe",NA,NA,"Large","Black","P3E FS",0.891666666666667
"448871","Burg-Wächter Finger Scan Lock Safe P4","Sterling","Safe",NA,NA,"Extra Large","Black","P4EFS",0.891666666666667
"448872","Burg-Wächter Electronic Keypad Laptop Sf","Sterling","Safe",NA,NA,NA,"Black","P3E LAP",0.833333333333333
"448873","Burg-Wächter Finger Scan Laptop Safe","Sterling","Safes",NA,NA,NA,"Black","P3E FS LAP",0.833333333333333
"154207","Wilko Brass Double Locking Padlock 60mm","Wilko","Padlocks",NA,NA,"60mm",NA,NA,0.86
"154208","Wilko Brass Double Locking Padlock 40mm2pk","Wilko","Padlocks",NA,"2pk","40mm",NA,NA,0.93
"154213","Wilko Laminated Double Locking Padlock 50mm","Wilko","Padlocks",NA,"1","50mm",NA,NA,0.93
"188000","Wilko Hasp and Staple 100mm","Wilko","Hasp and Staple",NA,"1","100mm",NA,NA,0.93
"188001","Wilko Hasp and Staple 115mm","Wilko","Hasp and Staple",NA,"1","115mm",NA,NA,0.93
"258320","Wilko Key Minder","Wilko","Key Holders",NA,"1",NA,NA,NA,0.86
"276222","Wilko Key Cabinet with Combination Lock Black","Wilko","Key Holders",NA,"1",NA,NA,NA,0.86
"307597","Wilko Aluminium Combination Padlock 30mm","Wilko","Padlocks",NA,NA,"30mm",NA,NA,0.86
"343328","Wilko 4 Dial Combination Padlock 40mm","Wilko","Padlocks",NA,"1","40mm",NA,NA,0.93
"343330","Wilko Padlock Aluminium 20mm Assorted Colours4pk","Wilko","Padlocks",NA,"4pk","20mm",NA,NA,0.93
"343332","Wilko Padlock Aluminium 40mm","Wilko","Padlocks",NA,"1","40mm",NA,NA,0.93
"343335","Wilko Weatherproof Aluiminium Padlock 48mm","Wilko","Padlocks",NA,NA,"48mm",NA,NA,0.86
